int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.policy_ban_gasoline,self.policy_idle_fee,self.policy_relocation,self.policy_notification,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,50,20,4,100,0,True,True,True,True,1.0,37762563.66666678,28924500.000000093,0.0,0.0,0.0,29.124081979921275,0.4854013663320212,1.4854013663320211
1,50,20,4,100,0,True,True,True,True,1.0,47155533.33333437,36116666.66666746,0.0,0.0,0.0,23.32281966202572,0.388713661033762,1.388713661033762
2,50,20,4,100,0,True,True,True,True,0.9982320478503685,44962324.00000035,34437333.3333336,0.0,0.0,0.0,24.460479400486314,0.4076746566747719,1.4059067045251403
3,50,20,4,100,0,True,True,True,True,1.0,47545809.666667245,36415500.00000043,0.0,0.0,0.0,23.1313759868734,0.3855229331145567,1.3855229331145569
4,50,20,4,100,0,True,True,True,True,1.0,52535600.333334096,40236166.66666726,0.0,0.0,0.0,20.93437579511529,0.3489062632519215,1.3489062632519215
5,50,20,4,100,0,True,True,True,True,1.0,51343222.33333432,39323166.66666742,0.0,0.0,0.0,21.420548808950787,0.3570091468158464,1.3570091468158465
6,50,20,4,100,0,True,True,True,True,0.994095014400358,49358320.00000104,37803333.33333413,0.0,0.0,0.0,22.28195773275867,0.3713659622126445,1.3654609766130026
7,50,20,4,100,0,True,True,True,True,0.9984369230769232,49571415.66666732,37966500.00000049,0.0,0.0,0.0,22.186172922624937,0.3697695487104155,1.3682064717873388
8,50,20,4,100,0,True,True,True,True,0.9936927116995942,51984903.66666776,39814500.00000084,0.0,0.0,0.0,21.156141926356625,0.3526023654392771,1.3462950771388713
9,50,20,4,100,0,True,True,True,True,0.9943019628797768,43269530.333333686,33141166.66666693,0.0,0.0,0.0,25.41742402858354,0.4236237338097257,1.4179256966895024
10,50,20,4,100,0,True,True,True,False,1.0,34678662.33333334,26563166.66666668,0.0,0.0,0.0,31.714026032165187,0.5285671005360865,1.5285671005360864
11,50,20,4,100,0,True,True,True,False,1.0,37609326.33333361,28807166.666666873,0.0,0.0,0.0,29.24274660631806,0.487379110105301,1.487379110105301
12,50,20,4,100,0,True,True,True,False,1.0,45237672.3333336,34648166.666666865,0.0,0.0,0.0,24.31159569608552,0.4051932616014253,1.405193261601425
13,50,20,4,100,0,True,True,True,False,1.0,44488246.00000041,34074333.33333365,0.0,0.0,0.0,24.721136454783807,0.4120189409130634,1.4120189409130637
14,50,20,4,100,0,True,True,True,False,1.0,43406007.333333686,33245666.66666694,0.0,0.0,0.0,25.337506662480045,0.4222917777080007,1.4222917777080006
15,50,20,4,100,0,True,True,True,False,1.0,49748596.33333421,38102166.66666733,0.0,0.0,0.0,22.107156403588323,0.368452606726472,1.3684526067264722
16,50,20,4,100,0,True,True,True,False,0.9732593159545904,43283896.33333391,33152166.6666671,0.0,0.0,0.0,25.408987941619735,0.4234831323603289,1.3967424483149191
17,50,20,4,100,0,True,True,True,False,0.8980070223065745,40872802.666666985,31306000.000000235,0.0,0.0,0.0,26.907868515141494,0.4484644752523583,1.3464714975589327
18,50,20,4,100,0,True,True,True,False,0.9773665248615178,44279939.00000045,33914833.33333369,0.0,0.0,0.0,24.837432589958823,0.4139572098326471,1.391323734694165
19,50,20,4,100,0,True,True,True,False,0.756724811421432,48764525.33333364,37348666.666666895,0.0,0.0,0.0,22.553280124890644,0.3758880020815107,1.1326128135029427
20,50,20,4,100,0,True,True,False,True,1.0,39036349.00000021,29899833.333333485,0.0,0.0,0.0,28.173741350657412,0.4695623558442902,1.4695623558442903
21,50,20,4,100,0,True,True,False,True,1.0,40422668.00000048,30961333.333333712,0.0,0.0,0.0,27.207506441682344,0.4534584406947057,1.4534584406947058
22,50,20,4,100,0,True,True,False,True,1.0,49882679.00000046,38204833.3333337,0.0,0.0,0.0,22.04773324223404,0.3674622207039006,1.3674622207039009
23,50,20,4,100,0,True,True,False,True,1.0,45853016.00000039,35119333.33333364,0.0,0.0,0.0,23.98533610090099,0.3997556016816831,1.3997556016816832
24,50,20,4,100,0,True,True,False,True,1.0,50414221.00000091,38611833.33333402,0.0,0.0,0.0,21.815273115099412,0.3635878852516568,1.3635878852516568
25,50,20,4,100,0,True,True,False,True,1.0,50146055.6666676,38406500.000000715,0.0,0.0,0.0,21.931934334190196,0.3655322389031699,1.36553223890317
26,50,20,4,100,0,True,True,False,True,0.9928268930707956,43935155.000000685,33650833.33333386,0.0,0.0,0.0,25.03234596532055,0.4172057660886758,1.4100326591594714
27,50,20,4,100,0,True,True,False,True,0.9980717757188344,47840312.666667014,36641000.00000026,0.0,0.0,0.0,22.988980186291535,0.3831496697715256,1.3812214454903602
28,50,20,4,100,0,True,True,False,True,0.9933202853791088,50110140.666667424,38379000.00000058,0.0,0.0,0.0,21.947653416418603,0.3657942236069767,1.3591145089860857
29,50,20,4,100,0,True,True,False,True,0.9955860280419374,45750059.66666705,35040500.000000305,0.0,0.0,0.0,24.039312910476948,0.4006552151746158,1.3962412432165532
30,50,20,4,100,0,True,True,False,False,1.0,31369693.66666647,24029499.99999985,0.0,0.0,0.0,35.05931590172494,0.5843219316954157,1.5843219316954156
