self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
20,2,200,200.0,0.0,0.4127256196667527,76145642.94639152,44673566.66666762,8694386.633995172,0.9998921377539204,0.1959776895409256,28.98118200229695,0.4830197000382825,1.052527471337776
20,2,300,200.0,0.0,0.4192673432566172,85261966.37395425,44845350.000001006,13034052.028933575,0.9993149753158648,0.2924605108240621,38.76680268163254,0.646113378027209,1.299349129943076
20,2,400,200.0,0.0,0.4100827190805377,97166914.67089322,47132983.33333437,17386076.998970173,0.999737096443473,0.370241077965977,45.28737401356811,0.754789566892802,1.4610651483461212
20,2,500,200.0,0.0,0.4100669984214118,103837259.24550256,45449983.33333437,21714209.05099977,0.9988912534782368,0.4801351732755027,52.9780057990028,0.8829667633167133,1.6771419003585275
20,2,600,200.0,0.0,0.4041532109370861,113582144.65768352,46217600.00000105,25980865.002934307,0.99597068553425,0.5642031738973958,58.09343722695776,0.9604403667256026,1.815956116780605
20,2,700,200.0,0.0,0.4040632058909569,117951580.88013904,44582266.66666767,29155672.985262107,0.9580082090766512,0.6571912323588501,65.51602478892644,0.9121904784412336,1.8420066702192703
20,2,800,200.0,0.0,0.4229661554346408,125812299.70458075,46345016.666667625,31868492.567713164,0.9162536847606024,0.6896632899783894,70.43494716569246,0.845687600444838,1.8203843878621904
20,2,900,200.0,0.0,0.4036216306799451,132677205.44218823,47079450.00000095,34750745.27843778,0.8881080645026715,0.7396856752798214,75.08455582422596,0.7826700298899516,1.778040200793754
20,4,200,200.0,0.0,0.5176094494580958,74661152.47846127,43537816.666667424,8693800.510066558,0.9998247309623152,0.2036622716803839,29.773244467935655,0.4962207411322609,1.1767600079346638
20,4,300,200.0,0.0,0.4548048248672563,85186934.2060511,44831600.00000093,13006197.139766645,0.9971793533451616,0.2916950080258965,38.79498749399272,0.6465831248998788,1.3347439561878522
20,4,400,200.0,0.0,0.4365275445681167,94103540.63323893,44783566.66666771,17388499.707126476,0.9998764074115456,0.3912674140583463,46.82446124192205,0.7804076873653676,1.5299491631801614
