int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,100,40,2,900,0,0.9260751472876795,159882647.42462355,62364499.999999456,38289300.679010525,0.9785412210510601,0.613959875875071,61.81909143492075,0.9701367960406655,2.387379844028402
1,100,40,2,900,0,0.9600254712766638,159052947.32376906,61425833.333332755,38482662.59497561,0.9834828784330913,0.6264898741567902,62.14157088130207,0.9649366301654825,2.4261540007675784
2,100,40,2,900,0,0.9851637231979866,167562246.65709776,68027666.66666502,38427662.5949754,0.9820772699157356,0.5648828554310207,58.985840767737955,0.9830973461289659,2.420167353671769
3,100,40,2,900,0,0.8897564103058674,154551594.0785636,58728999.99999995,38004727.54769677,0.9712685225568112,0.6471202906178686,63.95145943933612,0.9362641251496777,2.34371676794984
4,100,40,2,900,0,0.9180367140907775,144102373.0087169,52281166.66666716,37014805.275117725,0.9459695556867749,0.7079950130247802,68.58873864209104,0.8666278405280993,2.351060565038701
5,100,40,2,900,0,0.9808699030230678,150597961.19821975,55918500.00000006,37866552.88671897,0.9677372592776766,0.6771739743862752,65.63037056650963,0.9104288657531776,2.4330379482852655
6,100,40,2,900,0,0.913006591541544,157528136.49043706,60439499.99999984,38367162.59497547,0.9805311005466519,0.6348027795560117,62.74307701595904,0.9553113695134705,2.376160184699824
7,100,40,2,900,0,1.0,155756329.82376972,59082833.33333298,38367162.59497548,0.980531100546652,0.6493791924046022,63.45681110477508,0.9440147212507746,2.4635180751744565
8,100,40,2,900,0,0.911956571979716,154948992.88890782,58903166.66666631,38087664.17223498,0.9733880939359238,0.646614882146719,63.78744266564085,0.9388270102071,2.3680754879041914
9,100,40,2,900,0,0.9142661803687337,161815436.89260468,63581833.333332375,38456676.049752094,0.9828187528094061,0.6048374831870634,61.08069903466492,0.9821495896814886,2.380285756599873
10,100,45,2,900,0,0.9489737693510149,161066009.09128937,63271999.99999926,38289300.679010525,0.9785412210510601,0.6051539492826364,61.36490284798723,0.9775084127167666,2.4106053414938904
11,100,45,2,900,0,0.9990826053351429,164210902.32376546,65376666.666665144,38482662.59497566,0.9834828784330926,0.5886299280320688,60.18966987047342,0.9968438267118918,2.46683037447269
12,100,45,2,900,0,1.0,159024614.99043489,61491833.33333248,38427662.59497563,0.9820772699157415,0.624923026553274,62.15264222205158,0.9647585942212219,2.464697015463841
13,100,45,2,900,0,0.9472796878555694,159115066.15710256,61632999.99999946,38381829.26164213,0.9809059294846117,0.6227480288423808,62.11731069037304,0.9653268681686069,2.410804979098081
14,100,45,2,900,0,0.9752483614850866,151281447.75917307,55958833.33333343,38175310.60314313,0.9756280315686487,0.6822034758255575,65.33385386246536,0.9149392911530152,2.435950433298548
15,100,45,2,900,0,0.9676495211387869,153739911.5592737,57399833.33333306,38456676.04975224,0.98281875280941,0.6699788800156637,64.289096434073,0.9310102979756743,2.434642923126992
16,100,45,2,900,0,0.9562778068269443,162987777.490434,64621333.333332375,38367162.594975494,0.9805311005466525,0.5937228561513648,60.64135699120197,0.989367644182679,2.420623735930715
17,100,45,2,900,0,0.9748258528767585,152304262.1571046,56441000.000000164,38367162.594975494,0.9805311005466525,0.6797746778932936,64.89509787851296,0.9216543984911786,2.4402999936825718
18,100,45,2,900,0,0.9616297739873151,162164745.04027355,63904499.99999904,38422385.57358581,0.9819424076209818,0.6012469477671586,60.94912921760746,0.9843056401078327,2.426932972308875
19,100,45,2,900,0,0.9321370135271618,160297990.55927244,62421333.33333261,38456676.049752064,0.9828187528094054,0.6160822589993674,61.658913910997065,0.9727301579838531,2.397732978710509
20,100,40,4,900,0,0.9260751472876795,160428555.4246227,62782499.99999926,38289300.67901054,0.9785412210510605,0.6098721885718311,61.60873277104274,0.973544043420496,2.3875169415656403
21,100,40,4,900,0,0.9600254712766638,159114172.39260703,61458833.33333298,38491509.38308541,0.9837089715370609,0.6262974302541641,62.11765961118894,0.9653212544742888,2.4263846699542837
22,100,40,4,900,0,0.9851637231979866,168314067.3237644,68603333.33333173,38427662.594975285,0.9820772699157325,0.5601427908504374,58.722364429514904,0.9787060738252484,2.411984029703585
23,100,40,4,900,0,0.8897564103058674,153200665.74523044,58914166.666666634,37227394.214363314,0.9514025888449221,0.6318920612930676,64.51538543857608,0.9275056211533023,2.3227756804936237
24,100,40,4,900,0,0.9180367140907775,145431655.17538345,52686333.33333379,37405305.27511762,0.9559493761599603,0.7099622028821636,67.96182019712711,0.8757303953463567,2.361736871742865
25,100,40,4,900,0,0.9808699030230678,152345576.19146553,57077166.66666654,37980948.3608915,0.9706608093293718,0.665431565352606,64.87749921650627,0.9219247695447472,2.4351399248498997
26,100,40,4,900,0,0.913006591541544,157571234.49043706,60472499.99999984,38367162.594975464,0.9805311005466518,0.6344563660337437,62.72591588155542,0.9555846457061785,2.3761563300747177
27,100,40,4,900,0,1.0,155713231.82376984,59049833.333333,38367162.594975464,0.9805311005466518,0.6497420979733336,63.47437455531139,0.943738425760895,2.4635321041395617
28,100,40,4,900,0,0.911956571979716,154335965.26983994,58925166.66666631,37774457.91597929,0.9653836324544615,0.641058142943669,64.04080852262291,0.9348709237294454,2.3596740100640967
29,100,40,4,900,0,0.9142661803687337,163304712.22593743,64722166.66666558,38456676.04975203,0.9828187528094043,0.5941809125119834,60.523666863485474,0.9913101954591224,2.3809211058374427
30,100,40,2,800,0,0.9330552766632181,142903591.2507595,55685666.66666669,34259774.15849662,0.9850056209935485,0.615235054355638,61.480610270900414,0.9756251462111738,2.400868466358902
31,100,40,2,800,0,0.944155700983574,154695649.08972022,64469166.66666529,34416341.67385354,0.9895071066711275,0.5338418883526379,56.79409894007052,0.9465683156678419,2.3177975273335263
32,100,40,2,800,0,0.931106722889906,148929748.75075558,60118666.66666562,34375274.15849663,0.9883263711157894,0.5717903617040281,58.99291493940311,0.9832152489900517,2.37175426124318
33,100,40,2,800,0,0.9511439355032867,140253885.29166394,54442666.6666668,33758872.27509197,0.9706041492139259,0.6200811668867289,62.642114917027456,0.9569202267638781,2.4041290957765478
34,100,40,2,800,0,0.9157855858292125,136360020.13063166,51560666.666667275,33695439.79044887,0.9687803965634274,0.6535105530788676,64.43090864597471,0.9288124192215863,2.367406447513893
35,100,40,2,800,0,0.8639779159590008,147885658.0840909,59405499.99999946,34320274.15849652,0.9867450615337671,0.577728899824037,59.40941206755972,0.990156867792662,2.3163179036108925
36,100,40,2,800,0,0.8888673545794095,147533775.41742498,59176333.33333304,34294607.49182988,0.9860071170621587,0.5795324846954027,59.55110939947059,0.9925184899911765,2.3450118323269082
37,100,40,2,800,0,0.9434681682763789,154928712.41742134,64775333.333332196,34334940.82516318,0.9871667440889719,0.5300619704799736,56.70866208665437,0.9451443681109062,2.312662112771264
38,100,40,2,800,0,0.929908845735745,149600028.75344503,60653999.999999136,34361186.63744014,0.9879213396242705,0.5665114689458342,58.72859833790425,0.9788099722984042,2.3619279931908164
39,100,40,2,800,0,0.928117410044347,159037031.92305082,67847999.99999799,34381508.34052023,0.9885056106025161,0.5067431367250508,55.24373722122128,0.9207289536870213,2.254240873111409
40,100,45,2,800,0,0.9626270291245483,154899762.25075307,64872499.99999842,34259774.15849662,0.9850056209935487,0.5281093554047933,56.71926071634294,0.9453210119390489,2.330435525387432
41,100,45,2,800,0,1.0,157676953.36912802,66801166.66666494,34385861.250594735,0.9886307614827067,0.5147494118205863,55.720254687012456,0.9286709114502076,2.3404704409066768
42,100,45,2,800,0,0.9796266813245745,155603316.75075352,65229999.99999858,34375274.15849656,0.9883263711157872,0.5269856532040059,56.462806728426976,0.9410467788071163,2.3422619826948954
43,100,45,2,800,0,0.9836054666581203,149276954.58409113,60457833.33333294,34329440.825163044,0.987008613130766,0.5678245304605678,58.855702305011576,0.980928371750193,2.4187934627767675
44,100,45,2,800,0,0.9745558328328628,140306266.75639352,53452666.666667,34416341.67385356,0.9895071066711282,0.6438657567540131,62.618728322764994,0.9572932845484948,2.4469417227845685
45,100,45,2,800,0,0.9661266469034261,156606381.08408704,66084333.33333197,34320274.158496454,0.986745061533765,0.5193405521000513,56.10116228458545,0.9350193714097574,2.316618459993225
46,100,45,2,800,0,0.9496481301547893,151726814.08408877,62388333.33333235,34294607.49182987,0.9860071170621586,0.5496958431089747,57.90538773938012,0.9650897956563352,2.3544946002983043
47,100,45,2,800,0,1.0,149788639.7507567,60840999.999999285,34334940.82516317,0.9871667440889716,0.5643388640088686,58.65464840737774,0.9775774734562958,2.4290485646633906
48,100,45,2,800,0,0.9717722774640315,149060405.92305604,60210333.33333249,34381508.340520136,0.9885056106025133,0.5710233848097052,58.94120538310603,0.9823534230517672,2.4109444083635627
49,100,45,2,800,0,0.9599853269500886,161716851.92304915,69901333.33333094,34381508.34052023,0.9885056106025161,0.49185768998952917,54.32828981966956,0.9054714969944926,2.2589429759362045
