int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,150,30,2,300,0,0.6543072828110713,98052530.28006616,54627833.333333544,13042986.796844333,1.0000000000000053,0.23876082943391405,33.61259511188798,0.5602099185314663,1.4055258648896687
1,150,30,2,300,0,0.6043452477089469,101433328.94673105,57216499.999999925,13042986.796844298,1.0000000000000024,0.22795848744408193,32.49227876303685,0.5415379793839475,1.32825001704816
2,150,30,2,300,0,0.5647167956509017,91307587.61679976,49489000.00000084,13026575.703659553,0.9987417687803929,0.2632216392260771,36.0955763482859,0.6015929391380984,1.3768870461698617
3,150,30,2,300,0,0.622066162047639,91422621.28006926,49551333.33333431,13042986.796844337,1.0000000000000056,0.26322171210012674,36.050158635284134,0.6008359772547356,1.433479508982476
4,150,30,2,300,0,0.5657114235856243,99390962.6133981,55652666.666666634,13042986.796844311,1.0000000000000036,0.2343640939070482,33.159956532664864,0.5526659422110811,1.305868640922344
5,150,30,2,300,0,0.605464983360004,95804251.28006649,52906333.3333336,13042986.79684434,1.000000000000006,0.24652978150399657,34.40139613810374,0.573356602301729,1.3760454108649303
6,150,30,2,300,0,0.595445514324871,103015983.28006278,58428333.33333276,13042986.796844315,1.000000000000004,0.22323051253976856,31.993093644895136,0.533218227414919,1.307248151771605
7,150,30,2,300,0,0.5695399436566072,93845686.61340196,51406666.66666751,13042986.796844339,1.0000000000000058,0.2537216988103513,35.11935517694142,0.585322586282357,1.3578398889872454
8,150,30,2,300,0,0.6461246635385598,105355246.94672967,60219499.999999456,13042986.79684434,1.000000000000006,0.21659075211259574,31.28273242685712,0.521378873780952,1.3407761390095885
9,150,30,2,300,0,0.5395500243264268,97564053.79054737,54261166.666666664,13038296.79057237,0.9996404193038798,0.24028780786576717,33.78088416739525,0.5630147361232541,1.2947950067422949
10,150,20,6,200,0,0.8480840758322358,69787257.63115762,39803500.00000066,8695324.531229507,1.0000000000000002,0.2184562797550306,31.49285520883912,0.5248809201473187,1.5477300197835788
11,150,20,6,200,0,0.49400060718457084,76657746.70101088,45076166.66666782,8687704.425414795,0.9991236548115783,0.19273387840761172,28.670292235070583,0.47783820391784304,1.1260259138285034
12,150,20,6,200,0,0.9040803445947619,62245107.63115779,34028500.00000048,8695324.531229496,0.9999999999999991,0.2555306443489832,35.308799095077084,0.5884799849179514,1.6969848449918998
13,150,20,6,200,0,0.540126008932569,72437784.63115841,41833000.00000091,8695324.531229502,0.9999999999999997,0.20785801953551772,30.340519263404385,0.5056753210567397,1.212087745617723
14,150,20,6,200,0,0.8244816047753312,77377294.29782495,45615166.66666772,8695324.531229502,0.9999999999999997,0.19062353963913975,28.403681208348733,0.4733946868058122,1.450375123292455
15,150,20,6,200,0,0.9571814257691672,69784863.29782456,39801666.66666733,8695324.531229509,1.0000000000000007,0.2184663422276127,31.49393573532318,0.524898928922053,1.6568534284733105
