int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,200,20,8,600,0,0.7771363542409114,112604743.43636113,45340166.66666749,26063113.27624427,0.9991236548115732,0.5748349684696894,58.521513382997426,0.9753585563832904,2.2123628853999535
1,200,20,8,600,0,0.9944092367268247,102843209.94845654,39618333.333334,24946071.229113676,0.9563020962019738,0.6296597845049832,64.07617968461611,0.934319961632049,2.43245702596286
2,200,20,8,600,0,0.7465466219198197,107077576.22680421,41072166.66666754,26085973.593688283,0.9999999999999906,0.6351253345214576,61.542297016902474,0.9746226093166791,2.229269498853665
3,200,20,8,600,0,0.8813551507138839,90614377.84231506,38360666.666667454,19779492.68373777,0.7582424559581474,0.5156191068213283,72.72355841219161,0.8089167218251194,2.102767157996066
4,200,20,8,600,0,0.41952380945160445,101279173.20092408,40082166.6666676,23887114.137426514,0.9157072114496801,0.5959536652815498,65.06569704046393,0.9190375627042395,1.8153243043810838
5,200,20,8,600,0,0.8636845734238501,96345902.70953241,35328333.3333336,24509483.99684301,0.9395656216861713,0.6937628154033918,68.39730403343877,0.8693972989552889,2.288092124701852
6,200,20,8,600,0,0.8912578579960091,105707424.87044021,41911833.33333403,24882090.712756123,0.9538494173273379,0.5936769817455463,62.33999180357251,0.9617508405283749,2.327950283920821
7,200,20,8,600,0,0.831076403726606,108902894.46712232,42718500.00000087,25927460.615154784,0.993923440198065,0.6069375239101152,60.51078837017922,0.9915229946580248,2.3081494175127233
8,200,20,8,600,0,0.8734054345203942,116881022.76969488,48614500.00000088,26063113.276244204,0.9991236548115706,0.5361180980210376,56.38041012855181,0.9396735021425301,2.2419734150797543
9,200,20,8,600,0,0.9002587357989147,110855834.22680324,43965166.66666723,26085973.59368841,0.9999999999999954,0.5933327579869232,59.44477389000323,0.9907462315000539,2.365671173688507
10,200,25,8,600,0,0.489422383992106,129055722.89346585,57902166.66666631,26085973.593688417,0.9999999999999957,0.4505180910389982,51.06166431255289,0.8510277385425482,1.7008645953658528
11,200,25,8,600,0,0.8007517050098514,118547632.14536378,50539500.00000057,25650420.601282448,0.9833031728395423,0.507532140232534,55.587782570971555,0.926463042849526,2.1332404600454042
12,200,25,8,600,0,0.4465269428726063,133166793.22679843,61049999.99999948,26085973.593688272,0.9999999999999902,0.4272886747532923,49.485309665577134,0.8247551610929522,1.6131130437681924
13,200,25,8,600,0,0.41920185681981137,115419994.5601392,47461333.33333458,26085973.593688242,0.999999999999989,0.5496258061373657,57.09409383628421,0.9515682306047368,1.8104707323344407
14,200,25,8,600,0,0.7715014004653593,112650427.20468956,45607833.33333433,25915697.18790572,0.9934724918289419,0.5682290802655645,58.49778082089396,0.974963013681566,2.201047678359377
15,200,25,8,600,0,0.8652079217682556,119248533.5601368,50392833.33333389,26085973.59368827,0.99999999999999,0.5176524491317478,55.26105691418651,0.9210176152364419,2.2003474963100955
16,200,25,8,600,0,0.4420629255291222,116114750.7564445,48306500.00000096,25886348.669159032,0.9923474228856156,0.5358771318385418,56.75247939706109,0.9458746566176848,1.8166392876176405
17,200,25,8,600,0,0.4241341895670198,118013057.56013751,49446833.33333412,26085973.593688346,0.9999999999999929,0.5275559997510039,55.83958365490146,0.930659727581691,1.776838716949514
18,200,25,8,600,0,0.4125685417133237,122672430.22680183,53014500.00000017,26085973.593688354,0.9999999999999933,0.4920535625854864,53.71867165113226,0.8953111941855377,1.7015225859672505
19,200,25,8,600,0,0.40456560473603426,121841596.56013723,52378333.33333407,26085973.593688272,0.9999999999999902,0.4980298519175468,54.084977430080535,0.9014162905013422,1.7044057767714138
20,200,20,6,600,0,0.48194811441034735,111492726.89347178,44452833.33333443,26085973.59368834,0.9999999999999928,0.5868236428953767,59.10520070332814,0.9850866783888023,1.936493707115451
21,200,20,6,600,0,0.43337861229077107,116087452.56013805,47971000.00000095,26085973.59368831,0.9999999999999916,0.5437863207706279,56.765824855931044,0.946097080932184,1.8145047498394575
22,200,20,6,600,0,0.9647056519066075,106876815.36924183,42555333.33333431,25042646.83710978,0.9600043006701817,0.5884725808854951,61.65790005281617,0.9727465949632004,2.4082303115782038
23,200,20,6,600,0,0.7655741774383288,112984396.56013848,45595000.00000107,26085973.59368835,0.9999999999999931,0.5721235572691685,58.324867863434854,0.9720811310572476,2.195354154310911
24,200,20,6,600,0,0.4024192693331142,118312834.10302687,49710833.33333382,26063113.276244204,0.9991236548115706,0.5242944350073381,55.698099449309105,0.928301657488485,1.7501564748274698
25,200,20,6,600,0,0.8821504382996872,95982607.0089812,38941833.33333396,22028992.683737744,0.8444765384975944,0.5656896657939591,68.65618892163853,0.8656541497598087,2.200356320694663
26,200,20,6,600,0,0.8954885331739254,105030097.78312244,40403000.0000005,25513232.365277573,0.9780440923029405,0.6314687613612172,62.74201528029933,0.9553282744654941,2.3559918167283933
27,200,20,6,600,0,0.4053569882182622,116820118.56013776,48532000.00000082,26085973.59368832,0.9999999999999919,0.5375004861470345,56.4098040750373,0.9401634012506217,1.7755207783865115
28,200,20,6,600,0,0.8050534120925565,104794322.32881826,39763166.666667074,25805983.40433537,0.9892666383201084,0.6489921595195328,62.883177767234976,0.953083307792293,2.277330447500476
29,200,20,6,600,0,0.8044458214700634,109570289.44655164,44458333.33333443,25144235.94267797,0.963898696453545,0.5655685685325739,60.142215862398565,0.9976325424851867,2.2545332187813094
30,200,20,10,600,0,0.818559351850872,104625671.24964318,42168500.000000775,24190553.237175822,0.9273394818979921,0.5736640676612964,62.98454214239963,0.951474522221559,2.228965128201468
31,200,20,10,600,0,0.423416068589263,108598438.18079874,43888166.6666675,25033345.948004857,0.9596477531535049,0.5703894204133472,60.68043068012686,0.9887235498722625,1.8684511547922034
