int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,150,35,10,600,4,0.6676051181146525,133224010.31447446,61504666.666666,25825890.181134406,0.9900297601843371,0.419901311246865,51.74592765768893,0.8624321276281488,1.8659582947402933
1,150,35,10,600,4,0.9831900959401835,132227988.10302198,60369833.33333278,26063113.276244275,0.9991236548115734,0.43172412175359964,52.135709685220924,0.8689284947536821,2.1974978880967453
2,150,35,10,600,4,0.7316794761587709,130062464.8934671,58675833.33333322,26085973.59368828,0.9999999999999903,0.44457781188203543,53.00376250478295,0.8833960417463824,1.9707377674107818
3,150,35,10,600,4,0.9415437653380218,127450247.2268006,56675666.66666652,26085973.59368832,0.9999999999999919,0.46026760915069465,54.09012653959255,0.9015021089932093,2.2112599616517867
4,150,35,10,600,4,0.6560958319242223,143544955.8934602,68999333.33333166,26085973.593688216,0.999999999999988,0.3780612410799455,48.02537265828144,0.800422877638024,1.7589677024262027
5,150,35,10,600,4,0.884400239273771,123221854.5601346,53438000.00000001,26085973.593688298,0.9999999999999911,0.48815400265145203,55.9462444759399,0.9324374079323317,2.207360849327264
6,150,35,10,600,4,0.8883781417106521,125211545.56013454,54961500.00000006,26085973.59368827,0.99999999999999,0.47462266484153887,55.057223111179944,0.9176203851863324,2.185696658770216
7,150,35,10,600,4,0.6959028437578413,139819373.2267949,66146666.6666653,26085973.59368834,0.9999999999999928,0.39436565602230716,49.3050415039257,0.821750691732095,1.833146060307782
8,150,35,10,600,4,0.877298283763783,141957051.6339999,67961666.66666579,25972400.341957107,0.9956461946369946,0.3821624985941699,48.5625752341906,0.8093762539031766,1.9924045365422955
9,150,35,10,600,4,0.7303382770266822,141833007.56012756,67688499.99999852,26085973.59368831,0.9999999999999916,0.38538265131726773,48.6050470097907,0.810084116829845,1.8487285149103414
10,150,35,10,800,4,0.6203091083277323,148770197.373293,60611833.33333287,33982174.90155922,0.9770243416307028,0.5606524837266565,61.09960301519225,0.981840196145155,2.0506712914542127
