int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,100,45,2,700,4,0.9576930783912944,144171120.01107815,62929166.66666612,30262385.722017433,0.9943729977555897,0.48089601888924366,55.432738535886436,0.9238789755981073,2.2662888691007965
1,100,45,2,700,4,1.0,130642637.69799541,52543333.33333393,30279670.26093668,0.9949409397195126,0.5762799643647085,61.17298411009216,0.9806401216743991,2.4416640931661657
2,100,45,2,700,4,0.9222697136881106,137992818.9535089,58129499.99999975,30306340.631288238,0.9958172849079369,0.521359045429401,57.91460788037465,0.9652434646729109,2.3046004147045425
3,100,45,2,700,4,0.9740626859139806,150064733.0110734,67505166.66666496,30222052.388684142,0.9930477097249465,0.4476998410791012,53.25568399478829,0.8875947332464715,2.219817292023733
4,100,45,2,700,4,0.9834715575662891,144896146.5110763,63429666.66666562,30297219.055350818,0.9955175646911482,0.477650611259999,55.1553660496353,0.919256100827255,2.284848147401543
5,100,45,2,700,4,0.9456134109554887,142545283.34441084,61643999.999999136,30288052.38868428,0.995216362866006,0.4913382062923351,56.0649908049964,0.9344165134166066,2.273100489405963
6,100,45,2,700,4,0.9815090917795706,148578166.62016985,66234666.66666508,30306340.63128828,0.9958172849079383,0.45756009891027366,53.78852210789828,0.8964753684649713,2.244032539372761
7,100,45,2,700,4,0.8848536957669174,139436364.3444121,59240499.999999486,30302719.05535089,0.9956982857862384,0.511520312207884,57.315034263658866,0.9552505710609811,2.2493205165942056
8,100,45,2,700,4,1.0,138572247.6201751,58573166.66666633,30306340.631288253,0.9958172849079374,0.5174099738154575,57.672442622893946,0.9612073770482324,2.3751353561005986
9,100,45,2,700,4,0.9186603676289279,148865951.17774117,66469333.33333191,30297219.055350903,0.995517564691151,0.45580747595911225,53.684539256784426,0.894742320946407,2.178048669342625
10,100,40,2,700,4,0.9576916288360715,142504103.01107746,61651333.33333257,30262385.72201749,0.9943729977555916,0.4908634426184543,56.08119226839919,0.9346865378066532,2.2850689207374884
11,100,40,2,700,4,0.9846099150681589,128865481.36466238,51181166.66666738,30279670.26093669,0.9949409397195129,0.5916174294763946,62.01660767001581,0.9669484174331331,2.4248522760824076
12,100,40,2,700,4,0.8841373646863531,135040044.95350927,55867166.66666649,30306340.631288312,0.9958172849079394,0.5424714092288269,59.180963711552124,0.9863493951925354,2.30446388726195
13,100,40,2,700,4,0.9424814254890963,146661824.34440795,64898166.66666525,30222052.38868414,0.9930477097249463,0.4656842240846783,54.49134453170819,0.9081890755284697,2.2232178802853086
14,100,40,2,700,4,0.964169296590012,147043302.5110741,65072333.33333175,30297219.055350956,0.9955175646911527,0.4655929410146405,54.34997625545117,0.9058329375908528,2.242476586992577
15,100,40,2,700,4,0.8843597011203929,138136754.6777466,58266999.99999981,30288052.388684157,0.9952163628660019,0.5198148589885229,57.85426202203558,0.9642377003672596,2.264449288678471
16,100,40,2,700,4,0.952967838592191,141116862.953507,60520166.666665934,30306340.63128827,0.9958172849079381,0.5007643286610575,56.63249474751302,0.9438749124585504,2.297454213979587
