int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,200,20,4,500,0,0.4027094129505922,110820873.57789165,50759500.00000058,21738311.328073576,0.9999999999999906,0.428260942839731,49.55564617653035,0.8259274362755059,1.571245603497883
1,200,20,4,500,0,0.3837874238303455,109733846.24455908,49927166.66666748,21738311.32807361,0.9999999999999921,0.43540045989805,50.04654614730867,0.8341091024551445,1.5662168942039298
2,200,20,4,500,0,0.4260953737874238,104035332.91122776,45563833.333334506,21738311.328073643,0.9999999999999937,0.4770957519978876,52.787835116422364,0.8797972519403727,1.6875692273261067
3,200,20,4,500,0,0.4251604388417274,109951730.57789192,50094000.000000656,21738311.328073654,0.9999999999999942,0.43395039980982497,49.94737209806355,0.8324562016343926,1.60477696032398
4,200,20,4,500,0,0.3566040731736016,101779829.19835329,43906500.00000101,21693886.54547701,0.9979563829992903,0.49409282328303344,53.957646060668104,0.899294101011135,1.6511724328111634
5,200,20,4,500,0,0.42487228167343255,106309949.57789348,47305500.00000103,21738311.328073714,0.9999999999999969,0.45953031525030374,51.6583821345541,0.8609730355759017,1.6534695694495771
6,200,20,4,500,0,0.43648819331105804,102634647.91122814,44491333.33333461,21738311.328073613,0.9999999999999923,0.48859653553665117,53.50824611148885,0.8918041018581475,1.7191695235985265
7,200,20,4,500,0,0.40926867275939005,112018353.43021747,51696333.33333374,21725610.263648637,0.9994157290217505,0.4202543751713235,49.025894702345816,0.8170982450390969,1.5625704179355457
8,200,20,4,500,0,0.8431313774652591,104463918.57789476,45892000.000001326,21738311.32807362,0.9999999999999926,0.4736841133110998,52.57126168309467,0.8761876947182444,2.0982663628323834
9,200,20,4,500,0,0.39920690621418425,99845562.76355301,42375666.66666755,21725610.263648685,0.9994157290217528,0.5126907013533293,55.00294502826611,0.9167157504711019,1.7260752177679497
10,200,25,4,500,0,0.4258054116822178,110977066.24455841,50880500.00000068,21738311.328073572,0.9999999999999903,0.42724248637637763,49.48589997772879,0.8247649996288132,1.5923644004121331
11,200,25,4,500,0,0.4142744683270537,116847971.5778893,55375833.33333342,21738311.328073632,0.9999999999999931,0.3925595339978077,46.99953217706685,0.7833255362844475,1.5116476318097474
12,200,25,4,500,0,0.4928091372577677,108142175.57789274,48709833.333334155,21738311.32807363,0.999999999999993,0.44628178419976655,50.78314700673246,0.846385783445541,1.696220348063122
13,200,25,4,500,0,0.42739584133478387,106987382.25252315,47855500.000000775,21719261.063536856,0.9991236548115712,0.4538508857610202,51.33128677770301,0.8555214462950502,1.6459979962386502
14,200,25,4,500,0,0.4186079901211691,110320977.19835103,50447833.33333388,21693886.545477014,0.9979563829992905,0.43002613020334757,49.78019719790958,0.829669953298493,1.5922988475823403
15,200,25,4,500,0,0.46764935348277936,105834291.16206281,47641000.000001006,21293221.97595196,0.979525118331201,0.4469516167996371,51.89055399436153,0.8648425665726922,1.6900532134951813
16,200,25,4,500,0,0.4738244040661854,109190893.57789274,49512833.33333423,21738311.328073617,0.9999999999999925,0.43904397839092,50.29540303269295,0.8382567172115493,1.6633163039904706
17,200,25,4,500,0,0.5274617905534246,120044406.57788727,57823333.333333015,21738311.328073643,0.9999999999999937,0.3759435866963814,45.74807070612497,0.7624678451020829,1.5906845050126126
18,200,25,4,500,0,0.44847167531523113,110502988.2445588,50517500.00000074,21738311.328073654,0.9999999999999941,0.43031249226650836,49.69820352591612,0.828303392098602,1.6210250612270398
19,200,25,4,500,0,0.46348001880661255,110519748.57789163,50530333.33333396,21738311.32807366,0.9999999999999946,0.4302032045716446,49.69066678729831,0.8281777797883052,1.6358203622522334
20,200,20,2,500,0,0.4027094129505922,110763409.57789162,50715500.00000057,21738311.328073572,0.9999999999999903,0.42863249555014393,49.58135562031456,0.8263559270052426,1.57197133639595
21,200,20,2,500,0,0.3837874238303455,109264556.911226,49567833.33333418,21738311.328073606,0.9999999999999919,0.43855681933659735,50.26149517507231,0.8376915862512052,1.5723244655508286
22,200,20,2,500,0,0.4260953737874238,104126317.57789433,45633500.000001155,21738311.328073632,0.9999999999999931,0.4763673908000281,52.741709567244804,0.8790284927874134,1.6862177792148598
23,200,20,2,500,0,0.4251604388417274,109973279.57789208,50110500.0000007,21738311.328073654,0.9999999999999942,0.43380751196003536,49.93758503046422,0.8322930838410704,1.6044995322508262
24,200,20,2,500,0,0.3495769743143794,108100910.91122577,48676833.3333341,21738311.32807358,0.9999999999999908,0.44658433672568204,50.802532131389306,0.8467088688564884,1.5535533125514136
25,200,20,2,500,0,0.42487228167343255,106333892.91122693,47323833.333334394,21738311.32807369,0.9999999999999959,0.459352292426435,51.64675015316933,0.8607791692194888,1.6531332848340694
26,200,20,2,500,0,0.43648819331105804,102586761.2445614,44454666.666667916,21738311.3280736,0.9999999999999917,0.48899953498859483,53.53322332603756,0.8922203887672926,1.7199082100692265
27,200,20,2,500,0,0.40926867275939005,111781314.4302178,51514833.33333386,21725610.263648637,0.9994157290217506,0.42173503936371237,49.129857060576875,0.8188309510096146,1.5654876552599746
28,200,20,2,500,0,0.3767402867119774,101708040.9112271,43781833.333334364,21738311.32807363,0.9999999999999929,0.4965144141536585,53.99573082715611,0.8999288471192685,1.6738806651541727
29,200,20,2,500,0,0.39920690621418425,99867111.7635529,42392166.666667506,21725610.2636487,0.9994157290217535,0.5124911504165062,54.99107667199268,0.9165179445332113,1.7257177710806006
30,200,20,6,500,0,0.4027094129505922,110820873.5778917,50759500.0000006,21738311.328073576,0.9999999999999906,0.4282609428397308,49.55564617653033,0.8259274362755055,1.5712456034978823
31,200,20,6,500,0,0.3837874238303455,109705114.24455917,49905166.666667506,21738311.328073613,0.9999999999999922,0.43559240014707723,50.05965344293296,0.8343275573822161,1.5665889013302232
32,200,20,6,500,0,0.7206481636024098,101020867.24456012,43255666.6666676,21738311.328073643,0.9999999999999937,0.5025540698653704,54.363025677704506,0.9060504279617417,2.028741847456448
33,200,20,6,500,0,0.736834210362552,93797163.5778913,37724500.000000395,21738311.32807366,0.9999999999999946,0.5762385539390432,58.54974490182194,0.9758290816970323,2.173654135210819
34,200,20,6,500,0,0.8694619860393019,98190765.24455878,41088666.6666673,21738311.328073643,0.9999999999999937,0.5290585723899528,55.929903248252025,0.9321650541375337,2.2248738980887977
35,200,20,6,500,0,0.8733201650417594,95485168.57789145,39017000.00000045,21738311.328073677,0.9999999999999951,0.5571497380135179,57.51469135774837,0.9585781892958062,2.27761814474838
36,200,20,6,500,0,0.43648819331105804,102613098.91122825,44474833.333334655,21738311.32807361,0.9999999999999921,0.4887778030588002,53.519482973134046,0.8919913828855675,1.7195018186436657
37,200,20,6,500,0,0.8395241757128591,101135070.58585796,43373000.00000105,21719261.063536838,0.9991236548115703,0.5007553331228255,54.301638078531546,0.9050273013088591,2.145155743519979
38,200,20,6,500,0,0.7815788695489222,101202836.57789424,43395000.00000118,21738311.328073606,0.9999999999999919,0.5009404615295083,54.26527739440433,0.9044212899067389,2.0867525286792676
39,200,20,6,500,0,0.9206893489422012,89582887.15668383,36996666.66666714,20145472.827402964,0.926726668109967,0.5445212945509337,61.304119283347454,0.9784991885859454,2.3348055731688935
40,200,20,4,400,0,0.36521662108643455,93640091.92898247,44425333.33333444,17390649.062458977,0.9999999999999982,0.39145793081556796,46.922209381557415,0.7820368230259569,1.4604197887648458
41,200,20,4,400,0,0.369093082803256,94344025.92898254,44964333.33333447,17390649.062459003,0.9999999999999997,0.38676541545799775,46.572106254056116,0.7762017709009352,1.4547071860705894
42,200,20,4,400,0,0.4359485349917675,90520275.59564936,42036500.00000108,17390649.06245898,0.9999999999999986,0.41370354483504895,48.5394014886448,0.8089900248107467,1.5759013956705534
43,200,20,4,400,0,0.3918251768266117,99807793.73535131,49171833.33333394,17375408.850829583,0.9991236548115778,0.3533610132663219,44.02261422239757,0.7337102370399595,1.4082242244796288
44,200,20,4,400,0,0.7396220429284611,85070672.06868523,37887666.66666717,17375408.850829564,0.9991236548115767,0.45860329704906605,51.64882201062769,0.8608137001771282,1.967318380744842
45,200,20,4,400,0,0.42318050842948046,99036919.2623146,48557666.66666759,17390649.06245902,1.0000000000000009,0.3581442490192148,44.36527340235959,0.7394212233726598,1.4491171310175122
46,200,20,4,400,0,0.40425689738528053,96647273.7353532,46751833.33333437,17375408.85082957,0.9991236548115772,0.3716519248976871,45.46222392192285,0.7577037320320474,1.4592821693354776
47,200,20,4,400,0,0.9301734242415236,82590243.59564702,35964500.000000454,17390649.062459014,1.0000000000000002,0.4835504195097608,53.199988384966794,0.8866664730827799,2.203680232932112
48,200,20,4,400,0,0.3572700177235088,88846636.5956492,40755000.000001,17390649.06245898,0.9999999999999986,0.4267120368656252,49.453757264854794,0.8242292877475799,1.5228689349635889
49,200,20,4,400,0,0.4237303553416483,96142170.26231617,46341166.666667975,17390649.062458992,0.9999999999999991,0.3752743038937698,45.701069447588615,0.7616844907931436,1.4856342892498078
50,200,20,4,600,0,0.38549402299883884,111689062.22680597,44603166.666668,26085973.59368819,0.999999999999987,0.5848457753826316,59.001301189351494,0.9833550198225249,1.836725663127469
51,200,20,4,600,0,0.362175017268493,120227254.8934698,51140833.33333386,26085973.59368819,0.999999999999987,0.5100811209637685,54.81119905664525,0.9135199842774209,1.6837598983169286
52,200,20,4,600,0,0.4504959355650737,109045718.22680445,42579166.66666758,26085973.5936883,0.9999999999999913,0.6126464098723025,60.431533737930536,0.9928335732177767,1.9334466366806924
53,200,20,4,600,0,0.39096461442559993,115949627.10302821,47901333.33333425,26063113.27624416,0.999123654811569,0.5440999542721914,56.83330049991939,0.9472216749986565,1.7734662528420095
54,200,20,4,600,0,0.3972430355961079,116027594.2268047,47925166.66666754,26085973.593688298,0.9999999999999911,0.5443063719553294,56.795110196964025,0.9465851699494005,1.7792733031097718
55,200,20,4,600,0,0.7951767604066335,103040730.22680286,37981166.666667216,26085973.593688257,0.9999999999999896,0.6868133836600038,63.95335112139828,0.9362346070474876,2.2808620743821244
56,200,20,4,600,0,0.403479789644004,108800261.80758703,42399500.000001036,26080696.994102553,0.9997977227276174,0.6151180319131574,60.56786896022405,0.9905801645803088,1.8861543797548388
57,200,20,4,600,0,0.4217087957189223,110654575.96441117,44429000.00000124,25692110.931058764,0.9849013623656715,0.5782734459712812,59.552891894135655,0.9925481982355943,1.8768757507315414
58,200,20,4,600,0,0.37771498549335336,112880205.80758822,45523500.00000132,26080696.99410254,0.9997977227276169,0.5729062351115751,58.3787029165481,0.9729783819424683,1.8090183555250818
59,200,20,4,600,0,0.47991091451343154,110972766.01824588,44832333.33333443,25590323.093333967,0.9809993482292536,0.5708006072997912,59.38213704537671,0.9897022840896118,1.9262536844428761
60,200,25,4,600,0,0.43997380757227283,125988581.89346816,55553666.666666776,26085973.593688294,0.999999999999991,0.4695634898450431,52.30473984993434,0.8717456641655724,1.6873702636138797
61,200,25,4,600,0,0.41842462647990003,127705318.89346743,56868166.66666661,26085973.59368819,0.999999999999987,0.4587095931295168,51.60160952651668,0.8600268254419448,1.6454191264254583
62,200,25,4,600,0,0.5029853252346129,116337024.22680503,48163500.00000095,26085973.59368831,0.9999999999999916,0.5416129142127917,56.64404813340287,0.9440674688900478,1.880343125494894
63,200,25,4,600,0,0.4036607796811938,121106536.22680211,51815500.00000025,26085973.593688253,0.9999999999999893,0.5034395806985964,54.41324808149876,0.9068874680249793,1.7132999122650503
64,200,25,4,600,0,0.47125797327595814,117753121.10302754,49283666.66666734,26063113.276244186,0.9991236548115698,0.5288387621912025,55.962847848714645,0.9327141308119108,1.827043113840831
