int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
0,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14190619.95515127,8825.666666666675,1303.1556638122204,0.9991236548115782,0.14765520985899674
1,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.975,15607171.256700289,9934.833333333378,1287.5283504312051,0.987142263107037,0.1295973779561341
2,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,7947519.345573153,4154.333333333334,1233.6879838489476,0.9458630933732423,0.29696412994839466
3,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16587008.725270825,10750.666666666679,1245.7319303420113,0.9550971336131494,0.11587485399435786
4,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,10524982.261051977,6029.833333333318,1296.1867224916293,0.9937805984785939,0.21496228018877794
5,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,8417801.245730069,4456.833333333328,1270.3970615243668,0.9740077800521408,0.28504477652841
6,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8846328607778994,18275300.328006756,11951.50000000005,1304.2986796844266,1.0,0.10913263437095104
7,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9023809523809511,10929451.725669762,6493.666666666661,1197.9452053049035,0.9184592639430906,0.18447901113468065
8,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,9900732.579187369,5606.3333333333185,1261.45822963433,0.9671544173758869,0.22500592715993822
9,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12251209.95515127,7340.666666666663,1303.1556638122204,0.9991236548115782,0.1775255195457571
10,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.905274725274724,10123065.462826714,5686.999999999989,1318.5505756434422,0.9778941569506211,0.23185345096596538
11,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,16121472.430706052,10299.666666666722,1305.9904493440451,0.9685790238449011,0.12679929279368635
12,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,9683505.970542466,5382.666666666667,1298.003889967042,0.9626558458544784,0.24114513685293076
13,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12451937.555066234,7461.666666666676,1323.9958785096067,0.9819326291594327,0.1774396978123214
14,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12645878.555066245,7610.166666666674,1323.9958785096067,0.9819326291594327,0.17397725128791816
15,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11316459.841078918,6695.333333333327,1258.2826619874304,0.9331968645566161,0.18793428188600494
16,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11306863.97054249,6625.666666666664,1298.0038899670417,0.9626558458544782,0.19590540171560733
17,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.891300366300366,11281922.796160087,6574.333333333328,1318.5505756434425,0.9778941569506213,0.20056034715460788
18,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12923057.50774563,7925.500000000009,1258.2826619874304,0.9331968645566161,0.15876382082990714
19,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,10860520.129493412,6251.666666666662,1318.5505756434425,0.9778941569506213,0.21091184894323278
20,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,8835309.290220356,4775.833333333328,1270.8333936328495,0.9126825211975644,0.2660966798742665
21,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,12456218.29673026,7441.500000000003,1338.9389767676348,0.9615943420818086,0.17992864029666522
22,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,7710755.455652526,3811.4999999999986,1336.6535492041007,0.9599530019965139,0.35068963641718515
23,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,9677499.90609703,5646.666666666651,1126.803272863383,0.8092434910218715,0.19955193734298457
24,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15237330.66607264,9854.166666666719,1158.44590828333,0.8319684842563162,0.11755899280676439
25,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,9278209.717179952,5490.833333333329,1031.2581993720314,0.7406252763927976,0.18781451498655918
26,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,9034610.899526687,4860.166666666655,1314.3484136294437,0.9439339805622905,0.270432786316542
27,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9199836423118865,11899200.25585066,7058.333333333328,1311.3145872054533,0.9417551580955563,0.1857824680810561
28,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.8273351648351648,8450282.169052262,4960.999999999992,964.9013351483397,0.6929693441188458,0.19449734633105045
29,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,7932260.549130062,4093.8333333333303,1264.8027732861933,0.9083514721316933,0.30895316694691877
30,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,15585375.478177853,9821.166666666704,1349.3403993058864,0.9393419736874321,0.13739104987247422
31,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,8061256.720939971,4093.83333333333,1327.758445228562,0.9243177178736627,0.32433133865453645
32,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9304761904761895,7345715.890134408,4013.1666666666633,1029.9594388162182,0.717005236464653,0.2566450696830148
33,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11691066.054273326,6873.166666666659,1327.758445228562,0.9243177178736627,0.19318001579503338
34,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,9134681.207825454,4920.666666666662,1324.6252844438643,0.9221365711171498,0.26919630492694735
35,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14060241.342518505,8631.33333333335,1363.390276159966,0.9491227814517039,0.15795824625318183
36,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,11649147.675851746,6785.166666666656,1363.3902761599659,0.9491227814517038,0.20093688823560732
37,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,8395192.478177747,4315.666666666666,1349.3403993058862,0.9393419736874319,0.3126609405976411
38,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,1.0,14924539.478177777,9315.166666666672,1349.3403993058864,0.9393419736874321,0.14485413386476026
39,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9607415485278091,11517563.155487692,6715.499999999991,1343.5758038820666,0.9353289563304287,0.20007085159438143
40,date ('2024-01-01 23:55:00'),10,30,6,10,true,false,0.9116300366300354,10973586.285468517,4979.333333333334,2184.696739288361,0.8374986394285646,0.43875285967767325
