int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
0,10,6,0,0,0.8747546346783,8989643.666666672,6887833.333333336,0.0,0.0,0.0
1,10,6,0,0,0.7289743589743596,7078965.666666639,5424833.3333333125,0.0,0.0,0.0
2,10,6,0,0,0.6386154461784719,6947277.333333307,5323999.99999998,0.0,0.0,0.0
3,10,6,0,0,0.9114503816793891,6741364.666666662,5166333.333333329,0.0,0.0,0.0
4,10,6,0,0,1.0,6087711.666666653,4665833.333333323,0.0,0.0,0.0
5,10,6,0,0,0.7312977099236634,5896164.999999991,4519166.66666666,0.0,0.0,0.0
6,10,6,0,0,0.6654945054945057,7282483.9999999665,5580666.666666642,0.0,0.0,0.0
7,10,6,0,0,0.8502824858757079,4260835.333333336,3267000.000000002,0.0,0.0,0.0
8,10,6,0,0,1.0,9387103.000000006,7192166.666666671,0.0,0.0,0.0
9,10,6,0,0,0.7000807102502021,8831617.666666672,6766833.333333337,0.0,0.0,0.0
10,10,9,0,0,0.8908974358974363,4602124.999999997,3529166.666666666,0.0,0.0,0.0
11,10,9,0,0,0.8833699633699622,9170512.999999993,7027166.6666666595,0.0,0.0,0.0
12,10,9,0,0,1.0,8816151.66666666,6755833.333333327,0.0,0.0,0.0
13,10,9,0,0,0.4417366946778707,3213411.666666667,2465833.3333333335,0.0,0.0,0.0
14,10,9,0,0,0.996978021978022,10683731.666666666,8185833.333333333,0.0,0.0,0.0
15,10,9,0,0,1.0,5602956.333333323,4295499.999999991,0.0,0.0,0.0
16,10,9,0,0,0.9205743366048706,9060373.666666673,6942833.33333334,0.0,0.0,0.0
17,10,9,0,0,1.0,7702786.666666647,5903333.333333319,0.0,0.0,0.0
18,10,9,0,0,0.9307692307692298,5681969.333333321,4355999.999999991,0.0,0.0,0.0
19,10,9,0,0,0.9292307692307687,6314073.333333315,4839999.999999985,0.0,0.0,0.0
20,10,12,0,0,0.8455470737913471,7409577.99999999,5679666.666666659,0.0,0.0,0.0
21,10,12,0,0,1.0,10158272.666666688,7784333.333333353,0.0,0.0,0.0
22,10,12,0,0,1.0,9262792.000000006,7098666.666666671,0.0,0.0,0.0
23,10,12,0,0,0.8800254452926213,5417492.666666657,4154333.333333326,0.0,0.0,0.0
