int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
0,10,6,30,0,0.6025641025641025,7352403.955151234,3589666.666666666,1303155.6638122203,0.999123654811578,0.36302971412727847
1,10,6,30,0,0.8853689567430031,11817934.566343816,7272833.33333333,1134934.55328313,0.8701492771254863,0.1560512253293944
2,10,6,30,0,1.0,11864569.076658629,7049166.666666657,1300255.7719173417,0.9969003205860308,0.18445524604572788
3,10,6,30,0,1.0,11970780.38365569,7124333.333333332,1304181.413855064,0.9999100928098836,0.1830601338869224
4,10,6,30,0,0.9775641025641028,8063520.955151222,4134166.6666666633,1303155.66381222,0.9991236548115779,0.3152160444617346
5,10,6,30,0,0.9601282051282052,8460927.994673394,4436666.666666668,1304298.6796844269,1.0000000000000002,0.2939816708529887
6,10,6,30,0,0.8178571428571435,9648064.783056853,5565999.999999985,1163853.318557128,0.8923211659147894,0.20910048842205017
7,10,6,30,0,0.8943589743589732,9775416.994673366,5443166.6666666595,1304298.6796844269,1.0000000000000002,0.23962130126784567
8,10,6,30,0,0.5541984732824432,6457067.617062302,3408166.66666667,981878.2904159582,0.752801720732802,0.2880957378109318
9,10,6,30,0,0.5650127226463104,7175170.994673386,3452166.6666666665,1304298.6796844262,0.9999999999999996,0.3778203098588595
10,10,6,60,0,0.9176470588235291,17203175.576969203,9087833.333333353,2606311.3276244393,0.9991236548115777,0.2867912770874356
11,10,6,60,0,0.7369230769230761,12710466.239499116,5688833.333333326,2580144.740279393,0.989092751709162,0.45354549678247963
12,10,6,60,0,0.8784065934065942,15505488.656013506,7784333.333333344,2608597.3593688523,0.9999999999999996,0.3351086403505565
13,10,6,60,0,0.8676923076923064,10300607.869515449,4299166.666666667,2289781.7811202756,0.8777827566590366,0.532610610068682
14,10,6,60,0,0.5841025641025634,11530999.910302484,4744666.666666668,2606311.3276244383,0.9991236548115774,0.5493138951013989
15,10,6,60,0,0.8613595056343131,9458488.12009205,4311999.999999994,1870611.4137426743,0.7170947279480747,0.4338152629273369
16,10,6,60,0,1.0,16705154.243635884,8706500.000000017,2606311.3276244393,0.9991236548115776,0.29935236060695275
17,10,6,60,0,0.7314249363867684,12893912.294693254,6048166.666666653,2440640.944213423,0.9356142815401501,0.4035340093494053
18,10,6,60,0,0.18907563025210072,4594956.666666664,1371333.3333333323,1371333.3333333326,0.5256975854890557,1.0000000000000002
19,10,6,60,0,0.8261172161172147,12549551.037135225,5582499.999999992,2569386.3854572596,0.9849685602989796,0.46025730147017707
20,10,6,90,0,0.682820512820512,8518968.872868953,2762833.333333337,2399499.85661409,0.6132286246977944,0.8684924376958751
21,10,6,90,0,1.0,14854766.244105576,5243333.333333323,3910609.8474567817,0.9994157290217575,0.745825145732382
22,10,6,90,0,0.8161904761904738,15526929.92561332,6554166.666666657,3403150.280924037,0.8697267310345982,0.5192346264601209
23,10,6,90,0,0.7842673992674001,16241672.302680194,6462499.999999999,3810402.132428931,0.973806125794963,0.5896173512462564
24,10,6,90,0,0.6754452926208634,11333065.673627034,3690499.9999999995,3181619.9806216224,0.813111298860731,0.8621108198405698
