int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
0,10,6,30,4,0.8333333333333341,2267615.226903688,677639.9086647853,677639.9086647852,0.5195435058086076,0.9999999999999998,280.1180696194799
1,10,6,30,4,0.821614583333335,4370055.403674586,1304298.6796844269,1304298.6796844269,1.0000000000000002,1.0,145.3528482650102
2,10,6,30,4,1.0,4366220.585423333,1303155.6638122203,1303155.6638122203,0.9991236548115782,1.0000000000000002,145.48051056344266
3,10,6,30,4,0.7620683387858951,3288334.997678873,981878.2904159582,981878.2904159582,0.752801720732802,1.0,193.16766705593156
4,10,6,30,4,0.5109243697478987,3501524.565213167,1045422.1257465972,1045422.1257465972,0.8015204968232703,1.0,181.40669533224596
5,10,6,30,4,0.8236291486291478,4348142.320694042,1297767.2093474541,1297767.2093474541,0.9949923507255616,1.0,146.08537466147396
6,10,6,30,4,1.0,4370055.403674586,1304298.6796844266,1304298.6796844269,1.0000000000000002,1.0000000000000002,145.3528482650102
7,10,6,30,4,0.8173076923076923,4064382.553872855,1213189.0374186353,1213189.0374186356,0.9301466422646114,1.0000000000000002,156.284501170967
8,10,6,30,4,1.0,4304278.994937889,1284693.1927286307,1284693.1927286305,0.9849685602989803,0.9999999999999999,147.57407703985646
9,10,6,30,4,0.8106060606060599,3986120.21360799,1189861.9613337277,1189861.9613337277,0.9122618767210691,1.0,159.35294621359554
10,10,6,60,4,1.0,8614424.656542448,2569386.3854572624,2569386.3854572587,0.9849685602989794,0.9999999999999987,111.97497667675455
11,10,6,60,4,0.7407306434023994,8740864.025478331,2607073.231637853,2607073.231637853,0.9994157290217571,1.0,110.35522314365411
12,10,6,60,4,0.826538461538461,6195477.734849077,1848388.793298284,1848388.793298282,0.7085757357913975,0.9999999999999988,155.69420814382087
13,10,6,60,4,1.0,8738307.837513335,2606311.327624442,2606311.3276244393,0.9991236548115777,0.999999999999999,110.38750498797909
14,10,6,60,4,0.7612087912087906,7169457.609029879,2138695.760267227,2138695.7602672237,0.8198642663598641,0.9999999999999987,134.54295326121928
15,10,6,60,4,0.8325154489276614,8742830.479807358,2607659.3581144637,2607659.358114464,0.9996404193038759,1.0000000000000002,110.33040183357807
16,10,6,60,4,0.8611538461538449,8614424.65654245,2569386.3854572633,2569386.38545726,0.9849685602989797,0.9999999999999987,111.97497667675452
17,10,6,60,4,0.8095419847328248,7008915.7970929975,2090844.251493194,2090844.2514931941,0.8015204968232702,1.0000000000000002,137.62470943081888
18,10,6,60,4,0.8788622319156677,8614424.656542452,2569386.385457264,2569386.38545726,0.9849685602989798,0.9999999999999987,111.97497667675451
19,10,6,60,4,0.7575305250305239,8745977.474015838,2608597.3593688537,2608597.359368852,0.9999999999999993,0.9999999999999992,110.29070253905999
20,10,6,90,4,0.6874358974358982,13121899.544357095,3912896.039053282,3912896.039053284,1.0000000000000009,1.0000000000000007,98.61377124750723
21,10,6,90,4,0.8187022900763359,5159656.77208754,1539649.3111040853,1539649.311104086,0.3934807609855645,1.0000000000000004,250.7918757310018
22,10,6,90,4,0.9718346253229972,12924570.318147,3854079.5781858917,3854079.578185891,0.98496856029898,0.9999999999999999,100.11938255178461
23,10,6,90,4,0.9312977099236628,13121899.544357097,3912896.0390532822,3912896.039053282,1.0000000000000002,0.9999999999999999,98.61377124750722
24,10,6,90,4,0.29985459832788086,5068570.833333329,1512499.9999999986,1512499.9999999998,0.3865423422713645,1.0000000000000007,255.29878984625043
25,10,6,90,4,1.0,10843026.772087554,3233649.3111040895,3233649.311104086,0.8264081843294929,0.999999999999999,119.33937148721738
26,10,6,90,4,0.60602564102564,9895798.438754225,2951315.977770758,2951315.977770754,0.7542536137721718,0.9999999999999987,130.7625663566871
27,10,6,90,4,0.7806410256410259,9340960.684167977,2785939.597864275,2785939.597864268,0.7119891686512382,0.9999999999999973,138.52964847536555
28,10,6,90,4,0.6181570338058879,7038869.832864686,2099772.429070448,2099772.429070447,0.5366287292361809,0.9999999999999997,183.83633036631488
29,10,6,90,4,0.8793893129770977,13110395.08960333,3909466.9914366603,3909466.9914366603,0.9991236548115779,1.0,98.70030545655749
30,10,6,120,4,0.582315521628499,9668987.315112516,2883712.0661040787,2883712.0661040735,0.5527323056866438,0.9999999999999982,167.89762434196643
31,10,6,120,4,0.9292984369320233,12392795.2221451,3695577.3141018674,3695577.314101875,0.7083456748948053,1.000000000000002,130.99546719686714
32,10,6,120,4,1.0,17475797.92764431,5210630.281463778,5210630.281463802,0.998741768780389,1.0000000000000044,92.8941846730789
33,10,6,120,4,0.9871148459383753,14368275.23129499,4284394.008334325,4284394.008334328,0.8212064604272488,1.0000000000000009,112.98502943931187
