int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
0,10,6,30,4,1.0,9309535.53463098,5086442.730952739,1304298.6796844266,1.0,0.2564264946398245,68.2311161106899
1,10,6,30,4,0.8522900763358774,5226797.138887853,1962096.3632490686,1303155.6638122203,0.999123654811578,0.6641649657075469,121.52757857657289
2,10,6,30,4,0.8816793893129771,7568589.14008877,3758232.394781317,1301222.2055495621,0.9976412809559778,0.34623250210828893,83.9258134168649
3,10,6,30,4,0.6806615776081425,5605592.598054372,2541170.91364958,1118931.211075983,0.8578795857914285,0.4403211153825919,113.31540580035546
4,10,6,30,4,0.9533898305084745,4767439.969466294,1639334.061433382,1284693.1927286307,0.9849685602989804,0.7836677239569678,133.23712601904234
5,10,6,30,4,1.0,2868578.37982659,856764.5444093164,856764.5444093164,0.6568775678103188,1.0,221.43372635974438
6,10,6,30,4,1.0,4370055.403674585,1304298.6796844266,1304298.6796844266,1.0,1.0000000000000002,145.35284826501024
7,10,6,30,4,0.981153846153846,5551325.428185513,2244455.674082985,1281568.0744264526,0.9825725459881063,0.5709928198738259,114.42312439024481
8,10,6,30,4,0.8192307692307692,4447112.048552137,2325953.334742527,690719.2093924176,0.5295713475379245,0.29696176577372185,142.83426931120488
9,10,6,30,4,0.860351089588377,5394227.551020788,2180390.1167049557,1245731.9303420114,0.9550971336131494,0.5713344235042597,117.75550697333793
10,10,6,60,4,0.8683333333333327,6225973.689511618,1937029.093600559,1806774.2117793802,0.6926228784562317,0.9327553301850204,154.9315895158667
11,10,6,60,4,0.9888888888888886,15209652.438053345,7561399.076889383,2606311.3276244393,0.9991236548115776,0.34468638688709796,63.42025262764369
12,10,6,60,4,0.6052162849872775,5164946.417629094,2166705.1660241755,1142555.4599649503,0.4379960962014429,0.5273239192305512,186.75895585433545
13,10,6,60,4,1.0,7725261.292754161,2986238.749522179,1869741.411686116,0.7167612145933082,0.6261191982674824,124.86309050863274
14,10,6,60,4,0.661864406779661,8740398.107745718,2890211.408170607,2426378.074837268,0.9301466422646103,0.8395157765891847,110.36110576532823
15,10,6,60,4,0.5511450381679386,8745977.474015843,2608597.3593688556,2608597.3593688523,0.9999999999999997,0.9999999999999989,110.29070253905992
16,10,6,60,4,0.9536163522012575,9856190.423644137,3520202.4398995955,2569386.38545726,0.9849685602989798,0.7298973366800305,97.8674273262831
17,10,6,60,4,0.7203017084696467,10182152.382887276,3905681.793953834,2482771.4136897144,0.9517649033771994,0.635681948676196,94.73439050285316
18,10,6,60,4,0.8829516539440198,9203108.66423464,2962207.825879651,2606311.3276244393,0.9991236548115777,0.8798543116570408,104.81241015317504
19,10,6,60,4,0.7831684981684981,8825621.699781371,2731099.2822711375,2569386.38545726,0.9849685602989797,0.9407883492688703,109.29541655109635
20,10,6,90,4,1.0,14001841.392106915,4586664.682047014,3912896.0390532785,0.9999999999999996,0.8531027032276896,92.41641608149129
21,10,6,90,4,0.8814393939393946,15216411.29357015,5516656.949629929,3912896.0390532804,1.0,0.7092875404035712,85.03976233520929
22,10,6,90,4,1.0,12678338.986470258,4398501.672121025,3386902.1324289287,0.8655742699589803,0.7700126963452336,102.06384301452245
23,10,6,90,4,1.0,13123144.099179769,4102097.2739895955,3792909.578338717,0.9693356379732506,0.9246269225229341,98.60441904930987
24,10,6,90,4,0.8823155216284991,15653190.779350905,5887637.220515836,3889606.264530938,0.9940479444662228,0.660639594263275,82.66685164963272
25,10,6,90,4,0.6912271062271068,10264062.49199567,3968016.1426713374,2483016.142671343,0.6345724797922576,0.6257575708852164,126.07093935847656
26,10,6,90,4,0.7331932773109252,9354525.105420895,2789982.6444374253,2789982.6444374193,0.7130224305965592,0.9999999999999978,138.328775156115
27,10,6,90,4,0.6366666666666673,12511079.166666672,3730833.333333334,3730833.333333333,0.9534711109360327,0.9999999999999997,103.42832802526024
28,10,6,90,4,0.916410256410256,11026136.814101536,3508594.18722795,3147769.3861632487,0.8044602654265375,0.8971597221536244,117.35751349875133
29,10,6,90,4,1.0,14584633.6239813,5032906.819776258,3912896.0390532804,1.0,0.7774624445018498,88.72351773528919
30,10,6,120,4,0.6511450381679381,13187670.833333328,3932499.999999998,3932499.9999999995,0.7537575674291609,1.0000000000000002,123.09982714283959
31,10,6,120,4,0.7584745762711866,12683302.499999987,3782166.666666663,3782166.6666666684,0.7249425928234778,1.0000000000000016,127.99505491570525
32,10,6,120,4,0.6020808323329331,9266046.18725964,2839721.249717094,2715098.5367475757,0.5204134948224608,0.9561144556065375,175.1987813563994
33,10,6,120,4,1.0,16851284.826977108,5203388.367239182,4910456.947793783,0.941206378622928,0.9437037178908821,96.33686788090543
34,10,6,120,4,0.6575124197261599,18484232.581047665,5972486.423446253,5217194.718737713,1.000000000000001,0.8735381462327844,87.82620500374529
35,10,6,120,4,0.6788797313797311,17889783.484621447,5921666.666666664,4959469.733831845,0.9506008499203153,0.8375124796788933,90.74453032902939
36,10,6,120,4,0.7324427480916035,16465836.424121408,4909598.536747563,4909598.536747577,0.9410418436395732,1.0000000000000027,98.59201550319192
37,10,6,120,4,0.9364145658263305,15227840.700067032,4540598.320934039,4540598.320934046,0.8703141373325314,1.0000000000000018,106.607366860152
38,10,6,120,4,0.8519083969465623,12172783.333333328,3629999.999999998,3630000.0000000005,0.6957762160884564,1.0000000000000007,133.363090062941
39,10,6,120,4,0.8396703296703301,14206843.214746173,4649787.79323554,3972712.0661040754,0.761465170513181,0.8543856715103284,114.26887560179247
40,10,6,150,4,0.904358974358972,16442658.169312395,5651722.00316937,4425268.862781789,0.6785667932827284,0.7829947864208799,118.76425209912777
41,10,6,150,4,0.8876190476190476,17576952.691186134,6165746.948072255,4651221.983245714,0.7132142438986554,0.7543647221363726,111.1000316328564
42,10,6,150,4,0.9661016949152538,13145073.757271117,3937385.83705543,3908596.642627339,0.5993407343742798,0.9926882465626938,148.55755365540043
43,10,6,150,4,0.6911218724778038,11389176.262720983,3403673.055096451,3391823.2891321043,0.5200991677692647,0.9965185357781049,171.46103940738004
44,10,6,150,4,1.0,15448741.628196303,4606799.368795595,4606211.966430432,0.7063124479348395,0.9998724923057988,126.40511745214529
