int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
0,10,6,30,4,0.8057692307692308,6020011.957808544,2603327.4425539123,1281568.0744264526,0.9825725459881063,0.492280783998962,105.51474057723149
1,10,6,30,4,0.9312499999999994,6607625.190815713,3048357.967520226,1284693.1927286305,0.9849685602989801,0.4214377728655342,96.1313606109042
2,10,6,30,4,1.0,9141455.021270938,4988503.320089321,1284693.1927286305,0.9849685602989803,0.2575307883538961,69.48565611513429
3,10,6,30,4,1.0,10198460.672272807,5768883.14225747,1303155.6638122203,0.9991236548115782,0.22589392637658312,62.283909347903645
4,10,6,30,4,0.5661538461538457,4079617.079529887,1377298.7727095129,1116023.2059726354,0.8556500312050117,0.8102985554667422,155.70088751398134
5,10,6,30,4,0.9561341330425299,8375923.055001328,4375164.57254806,1302013.0746316512,0.9982476367657379,0.29759179410098613,75.83641776899051
6,10,6,30,4,0.9166666666666655,5656955.933230224,2524647.4042954706,1154530.546552955,0.885173438059672,0.4573036791548081,112.28653846650867
7,10,6,30,4,0.8242124542124535,5261569.471925366,1999655.0874476891,1296186.7224916292,0.9937805984785937,0.6482051482918738,120.72443467472858
8,10,6,30,4,0.917430025445291,9448707.905424107,5193006.567700925,1304298.6796844269,1.0000000000000002,0.2511644579455775,67.2261230168157
9,10,6,30,4,0.8261904761904774,7929413.79947338,4031481.248842896,1303155.6638122203,0.9991236548115782,0.3232448778439062,80.1068043695974
10,10,6,30,4,0.788040712468193,10796433.22150432,6271833.33333332,1274419.4996767566,0.9770917655035123,0.20319728410248347,58.834245251923534
11,10,6,30,4,0.794358974358973,7447724.756553674,3895833.333333334,1154530.546552955,0.885173438059672,0.29635008681573166,85.28779201205732
12,10,6,30,4,0.8187912087912076,8677083.025444506,4717166.66666666,1231005.380890448,0.9438063536093497,0.2609628762089778,73.2043243261995
13,10,6,30,4,0.6402035623409676,6400979.107312407,3014000.0000000014,1205740.250843861,0.9244356907081959,0.4000465331266955,99.23481850992992
14,10,6,30,4,0.9368686868686855,10007633.392336369,5787833.333333315,1197945.2053049034,0.9184592639430905,0.20697645151695923,63.47154967591265
15,10,6,30,4,0.8166121410396215,8239602.9131154725,4275333.333333327,1299113.8342844464,0.9960248020788959,0.30386258403659316,77.09109367259846
16,10,6,30,4,1.0,12108767.738970248,7245333.333333336,1294401.6946332513,0.9924120255541699,0.1786531599144163,52.457856463437174
17,10,6,30,4,1.0,9691615.328006703,5378999.999999995,1304298.6796844269,1.0000000000000002,0.2424797694152125,65.54118983286587
18,10,6,30,4,1.0,9011676.95515121,4860166.6666666595,1303155.6638122203,0.9991236548115782,0.26812983035126825,70.48632603689929
19,10,6,30,4,0.967231638418079,12478671.62181797,7514833.333333343,1303155.6638122203,0.9991236548115782,0.17341111984903884,50.90285402569638
20,10,6,60,4,1.0,8084887.958750281,3251865.481610825,1875948.417000099,0.7191406562851012,0.5768837695189163,119.30901268161826
21,10,6,60,4,0.9579487179487168,9873457.079615884,3471904.86748527,2608597.3593688514,0.9999999999999992,0.7513447110255301,97.69627722304605
22,10,6,60,4,0.45644257703081226,3850705.833333331,1149499.9999999993,1149500.0,0.44065827018935566,1.0000000000000007,250.4995296316889
23,10,6,60,4,0.8682783882783872,12902736.79491875,5828895.534896885,2584707.610058625,0.9908419176978666,0.4434300794351686,74.75933325865184
24,10,6,60,4,0.8045197740112995,8727222.161151133,2836274.069060723,2454326.4488162454,0.94086058931305,0.865334727552981,110.52772373480725
25,10,6,60,4,1.0,10787656.596256576,4171904.497378611,2608597.3593688505,0.9999999999999989,0.625277342999569,89.41701020912417
26,10,6,60,4,0.5745787545787541,10006719.598196918,3579093.063938682,2605315.1407318963,0.9987417687803873,0.7279260679142071,96.39522628112898
27,10,6,60,4,1.0,12316989.119346343,5404428.087451082,2569386.38545726,0.9849685602989798,0.47542243950350593,78.3145938226818
28,10,6,60,4,0.9076923076923077,3783046.6666666646,1129333.3333333326,1129333.3333333328,0.43292742334392814,1.0000000000000002,254.97967246857485
29,10,6,60,4,0.8801282051282043,10168905.851633802,4614908.71682687,2024256.5808319151,0.7759942612690834,0.43863415400852357,94.85779631296529
30,10,6,60,4,0.7283351508542343,11689248.984212238,5221333.333333322,2379723.9226674545,0.9122618767210687,0.45576939274785355,82.52027151640027
31,10,6,60,4,0.8062522719011285,15424681.44453707,7804500.00000002,2556306.0572004113,0.97995424553328,0.32754257892246846,62.53613751884844
32,10,6,60,4,0.9727098466505248,11188020.716541361,4867499.999999994,2360630.7385105146,0.9049425470098865,0.4849780664633831,86.21721611346767
33,10,6,60,4,0.7964689265536719,12158810.777870271,5303833.333333324,2556306.057200411,0.9799542455332799,0.48197330054371035,79.33341653409288
34,10,6,60,4,0.9303525990548902,12534120.989346758,5509166.66666666,2608597.3593688523,0.9999999999999997,0.4735012602091403,76.95792954446917
35,10,6,60,4,0.9192307692307692,13415946.51340039,6236999.999999994,2575056.7008624095,0.9871422631070365,0.41286783723944387,71.89951145351678
36,10,6,60,4,1.0,16760348.302333105,8816500.000000043,2563136.148852904,0.9825725459881056,0.2907203707653707,57.55250324157786
37,10,6,60,4,0.785366300366301,12304865.111203633,5415666.666666664,2556306.0572004104,0.9799542455332797,0.47202056820343663,78.39175734821566
38,10,6,60,4,0.7764102564102551,9228296.547958149,3287166.6666666684,2411480.5016877213,0.9244356907081955,0.7336045738541966,104.52633321730728
39,10,6,60,4,0.6729007633587778,10810552.691146325,4411000.000000001,2467375.967697895,0.9458630933732423,0.5593688432776909,89.22763040505713
40,10,6,90,4,1.0,13580949.340094902,4264388.991379335,3912896.039053284,1.0000000000000009,0.9175748382625014,95.28052624272271
41,10,6,90,4,0.6556888404216635,9966154.680195998,3918257.8091215575,2369339.506173702,0.605520689158652,0.6046920906168982,129.83944575648025
42,10,6,90,4,0.9118320610687013,12543992.480135156,4618166.666666656,3181324.29484392,0.8130357318702587,0.688871694000634,103.15694959552923
43,10,6,90,4,0.7554578754578747,8695615.60511896,2823333.33333334,2447149.3111040844,0.6254061663483829,0.8667589059400514,148.81062580989027
44,10,6,90,4,0.34433962264150986,4053683.33333333,1209999.999999999,1210000.0,0.3092338738170917,1.0000000000000009,319.2158571833849
45,10,6,90,4,0.719230769230769,14178312.352048451,4828774.935080962,3844704.223279358,0.9825725459881062,0.7962069624218041,91.26615127879064
46,10,6,90,4,0.7694871794871795,7842596.666666676,2339333.3333333363,2339333.3333333316,0.5978521560463769,0.999999999999998,164.99637237496574
47,10,6,90,4,1.0,7702253.128957936,2716314.30564973,2030557.9855764,0.518939927181835,0.7475416159878818,168.00278805885853
48,10,6,90,4,0.9533805888767725,17731746.86402944,7442641.306796271,3912896.0390532827,1.0000000000000007,0.5257402416370932,72.97645347199287
49,10,6,90,4,0.7231552162849876,7949130.272087558,2568149.311104091,2245482.644437418,0.5738671873788677,0.874358291680497,162.78510424514363
50,10,6,90,4,0.46895674300254425,7707278.33333334,2299000.000000002,2298999.999999999,0.587544360252474,0.9999999999999988,167.89324895710038
51,10,6,90,4,0.9609890109890109,16055819.055702824,6251666.666666647,3854079.5781858927,0.9849685602989805,0.616488335620246,80.59383302157903
52,10,6,90,4,0.7858778625954191,10290906.030697187,3186333.333333337,2994349.1283701845,0.7652513888650777,0.9397476080249546,125.74208686194117
53,10,6,90,4,0.7734615384615378,12273954.864030456,4799666.666666652,2933849.1283701845,0.7497896951742232,0.6112610170921995,105.42649165120713
54,10,6,90,4,0.7622682660850612,7709692.938452282,3144166.666666669,1761482.6444374186,0.4501736378520311,0.5602383178703686,167.84066633135845
55,10,6,90,4,0.8355870592511807,13479804.085039478,4194666.666666664,3907972.711097846,0.9987417687803876,0.9316527442223097,95.99546045599745
56,10,6,90,4,0.9666666666666665,12971422.372868897,4874833.333333319,3226333.1899474254,0.8245384384728076,0.6618345632221481,99.75775692159543
57,10,6,90,4,0.7864776444929124,8703803.271785617,3146000.0000000033,2245482.644437418,0.5738671873788677,0.7137579925103037,148.6706396725039
58,10,6,90,4,0.8137179487179477,11327063.105118953,3730833.333333337,3152982.6444374197,0.8057925927416869,0.8451148477384185,114.23967430844563
59,10,6,90,4,0.5681025081788439,12968933.664029708,5252499.999999983,2984399.868568294,0.7627087044434653,0.5681865527973925,99.77690020799507
60,10,6,120,4,0.9307692307692298,14534685.578098005,4739166.666666671,4075744.5476320097,0.781213806913101,0.8600129166798677,111.69144260308359
