int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
0,10,6,30,2,0.6469230769230766,5544968.619886315,3358666.6666666684,568285.3196126461,0.42146498116603104,0.16919967832849717,87.14206213305977
1,10,6,30,2,0.6995310245310251,6389746.6066379305,3333000.000000002,996932.7834575862,0.7393684867491346,0.29910974601187684,75.62115209670945
2,10,6,30,2,0.950256410256409,10837574.637209121,6266333.333333327,1298003.889967042,0.9626558458544784,0.20713929836167505,44.585621430555896
3,10,6,30,2,0.8027989821882928,14583708.462826794,9102500.00000002,1318550.5756434423,0.9778941569506211,0.1448558720838714,33.132862003629235
4,10,6,30,2,0.8927480916030531,8927238.715018481,4779499.999999997,1313361.8261030577,0.9740459557885638,0.27479063209604737,54.12647913033876
5,10,6,30,2,0.6353846153846153,6175318.462451315,3347666.6666666684,882934.3398981534,0.6548223086066437,0.2637461933380921,78.24697672485576
6,10,6,30,2,0.404615384615384,3755893.6520405607,1754500.0000000002,717610.2092275381,0.5322107801813178,0.4090112335295172,128.65113998568077
7,10,6,30,2,0.954317998385796,11911632.462826785,7056500.000000001,1318550.5756434426,0.9778941569506213,0.18685617170600755,40.56538862393093
8,10,6,30,2,1.0,8630282.264682503,4541166.666666662,1320344.199454621,0.9792243859741556,0.29074999804483914,55.98889876144466
9,10,6,30,2,0.7473809523809526,9448861.303875778,5202999.999999992,1298003.8899670418,0.962655845854478,0.24947220641303935,51.13843715769209
10,10,6,30,4,0.8346153846153841,5902744.937933508,2420000.0000000005,1341186.727476903,0.9632086235404458,0.5542093915193813,107.61095162996779
11,10,6,30,4,0.8529411764705882,5052723.169052285,2359500.000000001,964901.3351483397,0.6929693441188458,0.4089431384396437,125.71438781577685
12,10,6,30,4,0.7742307692307704,7389062.721074719,3635499.999999998,1291833.2785463124,0.9277641424420996,0.3553385445045559,85.96489486932003
13,10,6,30,4,0.8008905852417314,11984981.49127637,7239833.333333333,1237494.301908085,0.8887391731220057,0.17092856215494165,52.999664660504436
14,10,6,30,4,0.6993820428934943,7172359.943447637,4399999.999999997,698792.8795091785,0.5018565378126975,0.1588165635248134,88.56220337635058
15,10,6,30,4,0.6553846153846146,7073102.637168918,3327499.9999999995,1333945.4874746643,0.9580081360375583,0.40088519533423433,89.8050024980615
16,10,6,30,4,0.41076923076923094,5622083.260037762,2379666.6666666656,1229919.5998232148,0.883299201029065,0.5168453284030882,112.98302970983278
17,10,6,30,4,0.7050890585241733,3221278.5402150936,1829666.666666667,408785.0367081948,0.2935797562449497,0.22342049738105013,197.1887845369578
18,10,6,30,4,0.8596153846153841,10293458.290220352,5892333.333333323,1270833.39363285,0.9126825211975647,0.21567574706672832,61.70909543622412
19,10,6,30,4,0.8281868131868124,11283990.030225677,6796166.666666663,1178166.4373966083,0.8461313023886013,0.17335749624493352,56.29214473767983
20,10,6,30,6,0.8352564102564118,9053634.144844403,4819833.333333327,1349340.3993058864,0.9393419736874321,0.27995582128826474,86.94851011273428
21,10,6,30,6,0.701272264631043,5567727.156561602,2823333.333333336,920605.4123450123,0.6408785399624429,0.32607039398288484,141.38623856096822
22,10,6,30,6,0.837820512820513,10636344.675851738,6009666.666666656,1363390.2761599661,0.9491227814517039,0.22686620602806068,74.01038834207979
23,10,6,30,6,1.0,9872135.874492118,5485333.333333324,1324625.2844438644,0.9221365711171498,0.2414849205962324,79.73958320751925
24,10,6,30,6,0.7409669211195916,6204936.077646438,3245000.0,962827.1080102997,0.6702711313048966,0.29671097319269635,126.8667380532611
25,10,6,30,6,0.858124318429662,13533488.009185163,8228000.000000007,1363390.276159966,0.9491227814517038,0.16570129754010265,58.166822881560776
26,10,6,30,6,1.0,7633970.503962754,3730833.3333333367,1350594.8449468417,0.9402152547697037,0.3620088929944625,103.11803007247259
27,10,6,30,6,1.0,12670114.197445054,7595500.000000001,1345172.2128412295,0.9364402948357338,0.1771012063512908,62.13045815788622
28,10,6,30,6,0.6923076923076921,6721175.301997652,3347666.666666665,1149335.9209359002,0.800109055474184,0.34332448101241686,117.12237289303111
29,10,6,30,6,0.9012820512820522,10530994.009185074,5928999.999999987,1363390.2761599661,0.9491227814517039,0.22995282107606158,74.75077844630893
30,10,6,60,2,0.9608142493638675,18019194.549739745,9678166.666666716,2628294.558194033,0.9908162723726496,0.27156946648235925,45.09635532026245
31,10,6,60,2,0.8824063976735719,13782091.08464464,6444166.66666666,2621706.2394556617,0.9883326034881234,0.40683402138197294,58.96057390778391
32,10,6,60,2,0.8807692307692307,12891027.081527201,5868499.999999993,2553749.511075591,0.9627142297460083,0.4351622239201831,63.03609439813008
33,10,6,60,2,0.6588983050847458,8763454.30412792,3215666.666666666,2230190.485177122,0.840738727824515,0.693539074897001,92.7259927192448
34,10,6,60,2,1.0,12555275.65577673,5565999.999999991,2582697.0826956714,0.9736269050081584,0.46401313020044477,64.72179681902242
35,10,6,60,2,0.6369230769230773,9943087.283686321,3811499.9999999953,2426127.3549795016,0.9146031424323492,0.6365282316619453,81.72511985620777
36,10,6,60,2,0.8563553113553105,10743947.740811897,4673166.666666653,2267769.029190796,0.8549051129371501,0.4852745880789192,75.63327927529491
37,10,6,60,2,0.9115415657788537,10033952.486081153,4013166.6666666637,2341934.351430531,0.8828640066204303,0.5835626939899164,80.98503567036204
38,10,6,60,2,1.0,9184239.13746126,3569500.0000000005,2210023.818510455,0.8331362840913519,0.6191410053258032,88.47766133239229
39,10,6,60,2,0.5922480620155042,13188296.417977905,5989499.999999979,2621706.2394556613,0.9883326034881232,0.4377170447375692,61.615236285733396
40,10,6,60,4,1.0,10775619.072243057,4520999.999999993,2380214.611473769,0.8826350706012328,0.5264796751766807,89.51689861464344
41,10,6,60,4,0.7012904398400576,10956965.54029555,5004999.999999992,2160225.5768483398,0.8010583774021738,0.43161350186780084,88.03532295986221
42,10,6,60,4,0.7231188658669583,11581450.671549171,4909666.66666666,2525765.0910440176,0.9366083372101563,0.5144473673115664,83.2883571632026
43,10,6,60,4,0.5208683473389356,5586318.452052714,1875499.9999999993,1533812.6494482104,0.5687709123407776,0.8178153289513255,172.67186041740138
44,10,6,60,4,0.899615384615384,11234356.33826089,4579666.666666657,2566704.8991024517,0.9517897037146176,0.5604567069879447,85.86161689698751
45,10,6,60,4,0.7614285714285711,12133173.25928135,5155333.33333333,2638445.3843897968,0.9783926276658138,0.511789483587831,79.50104885068899
46,10,6,60,4,0.5889743589743587,8123709.376555577,2944333.3333333367,2090911.0345968257,0.7753550456106021,0.710147526750874,118.73886118867867
47,10,6,60,4,0.9560439560439573,14502411.920285508,7179333.333333348,2504670.206744154,0.9287858977529821,0.3488722546305342,66.51307419083501
48,10,6,60,4,1.0,4074462.8217507144,1829666.6666666677,825175.6084678922,0.30599296715833124,0.4509977820010339,236.74286456871653
49,10,6,60,4,1.0,10948160.040295564,4713499.999999994,2341725.57684834,0.8683625039048397,0.49681246989463096,88.1061289248343
50,10,6,60,6,1.0,17791414.515036963,9439833.333333353,2669037.9933480946,0.9738268092462087,0.28274206748156805,62.76060844157563
51,10,6,60,6,0.9971794871794871,15019040.455015143,7371833.333333338,2634110.682454098,0.9610832095641433,0.357320976119115,74.34562836050861
52,10,6,60,6,1.0,11406454.506909879,4654833.333333324,2602786.159220715,0.9496541251571214,0.5591577555703507,97.89194348897622
53,10,6,60,6,0.836025641025641,11228177.003858477,4416499.999999994,2667688.9558443916,0.9733345986103695,0.6040278401096784,99.44624132807036
54,10,6,60,6,0.631538461538462,9800387.512997603,3892166.666666663,2305068.088334609,0.8410285305614202,0.5922326266435861,113.93427030503922
55,10,6,60,6,1.0,7847496.84441735,2803166.6666666716,2046084.8435418901,0.7465357479358901,0.7299190832541363,142.28740987571607
56,10,6,60,6,0.9560439560439551,13543612.893059762,6280999.9999999935,2609318.477172494,0.9520375106180313,0.41543042145717185,82.44476631284894
57,10,6,60,6,0.8790076335877854,11556485.478564644,5487166.666666655,2145491.6928085317,0.782805390810894,0.39100173607663996,96.62107065951037
58,10,6,60,6,0.8401960784313712,11681297.297507456,5164499.999999991,2412067.82048519,0.8800685172570349,0.46704769493371956,95.58869803256006
59,10,6,60,6,1.0,12530809.893059716,5505499.999999985,2609318.477172494,0.9520375106180314,0.47394759371038075,89.10836646068961
60,10,6,90,2,0.8865546218487395,11496191.666666675,3428333.3333333363,3428333.33333333,0.8664070632397382,0.9999999999999983,99.33724429031926
61,10,6,90,2,0.8053435114503811,12172783.33333334,3630000.0000000014,3629999.9999999986,0.917372184606782,0.9999999999999993,93.81584874453523
62,10,6,90,2,0.7162486368593236,16037184.623398688,6291999.999999989,3819277.3499587066,0.9652062826861766,0.607005300374875,71.20950633278805
63,10,6,90,2,0.5948717948717956,11031515.950681422,3549333.333333337,3124428.152276591,0.7896042643804156,0.8802859181846132,103.52158353444234
64,10,6,90,2,0.8199152542372882,10143008.333333353,3025000.0000000056,3024999.999999998,0.7644768205056515,0.9999999999999974,112.58987101952802
65,10,6,90,2,0.9469465648854959,14031085.111061875,5477999.999999982,3359045.279516154,0.8488966132955466,0.6131882584001762,81.39071147816402
66,10,6,90,2,1.0,15959343.758673675,6110499.999999986,3896972.8771792995,0.9848414660306756,0.6377502458357431,71.55682697663175
67,10,6,90,2,1.0,13065910.588938981,4174499.9999999963,3718828.821671867,0.9398209697839633,0.8908441302364044,87.40301659241159
68,10,6,90,2,0.777824858757062,13066900.4703408,5081999.999999987,3140885.864815764,0.7937634510761985,0.6180412957134538,87.39639538788155
69,10,6,90,2,0.6559249084249086,12979696.46461756,4981166.666666652,3162596.127192582,0.7992500601189003,0.6349107224932428,87.98356749813628
70,10,6,90,4,0.830219780219779,16081634.292985879,6229666.6666666595,3880700.9726627134,0.9699296148174696,0.6229387831338303,80.46445879971213
71,10,6,90,4,0.9726890756302521,13632614.890352359,4403666.666666668,3849337.672207102,0.9620907748386597,0.8741210367588603,94.91942744716926
72,10,6,90,4,0.901553980370775,14072718.494665837,6968500.00000001,2429343.172929459,0.6071820283442678,0.3486178048259245,91.95096174846967
73,10,6,90,4,0.7360959651035989,18036042.771472454,7613833.333333341,3952290.436703642,0.9878224495840101,0.51909337434542,71.74522795248164
74,10,6,90,4,0.7619592875318054,12818017.764341611,4476999.999999991,3405037.7896575443,0.851043926091369,0.7605623832158926,100.95164664225798
75,10,6,90,4,0.8493638676844775,14448980.173792927,6324999.999999994,3023131.6937333453,0.7555915747956597,0.4779654851752328,89.55649356810757
76,10,6,90,4,0.8015384615384611,13583102.758094821,4436666.66666666,3804139.9502659044,0.950794205135951,0.8574319948007308,95.26542079856117
77,10,6,90,4,0.7562271062271058,13281180.136372097,5206666.666666662,3166002.9948131326,0.7913003570494253,0.6080671564942002,97.43110075408333
78,10,6,90,4,0.9095238095238084,14316087.630088171,5388166.66666665,3555397.0864266576,0.888624233315975,0.6598528416765137,90.387823365959
79,10,6,90,4,0.8873949579831923,13998564.292985898,4634666.666666664,3880700.9726627134,0.9699296148174696,0.837320405493969,92.4380509970133
80,10,6,90,6,0.8907586763518965,17743121.234340377,7467166.6666666595,3902815.146090977,0.9648321921360024,0.5226634572806705,81.49637151784681
81,10,6,90,6,0.9103053435114504,12969328.279548772,3952666.6666666665,3813085.5439476697,0.942649740368557,0.9646868470098675,111.49382364545322
82,10,6,90,6,0.8526007326007309,18193724.665198542,7703666.666666663,3971987.6355288206,0.9819326291594329,0.5155970276745475,79.47795333882064
83,10,6,90,6,1.0,9009307.038460359,2783000.0000000056,2625952.027880431,0.6491732138637133,0.9435688206541235,160.50069043346906
84,10,6,90,6,1.0,17357807.171792902,7071166.666666659,3967169.434745212,0.9807415004356304,0.5610346385196054,83.30545360302223
85,10,6,90,6,0.8950980392156861,15897607.388480203,5971166.666666656,3955651.7269303272,0.9778941569506211,0.6624587702454017,90.9570833311563
86,10,6,90,6,0.8391025641025641,13735524.388480227,4315666.666666662,3955651.7269303305,0.9778941569506219,0.9165795304542367,105.27446634747618
87,10,6,90,6,0.6061538461538458,8828661.24378705,3351333.333333331,2175542.497374518,0.5378254819291817,0.649157299793471,163.78474154477118
88,10,6,90,6,1.0,15237464.192015203,5565999.9999999795,3891720.2824216406,0.9620893818222068,0.6991951639277137,94.89767994058609
89,10,6,90,6,1.0,17646885.777150024,7381000.000000004,3910769.3722873013,0.9667985915708903,0.5298427546792168,81.94080350836437
90,10,6,120,2,0.7764631043256999,16270976.311231993,5041666.666666647,4730320.30806836,0.8990862330113595,0.93824535036067,90.43095951066441
91,10,6,120,2,1.0,22140532.783657078,8743166.666666703,5235638.742633952,0.9951314938428188,0.5988263683219959,66.45729867377476
92,10,6,120,2,0.5824336604870957,15057689.51549456,4819833.333333318,4279577.281028771,0.8134140535722784,0.8879098062233378,97.71751492723436
93,10,6,120,2,0.8620865139949104,18362448.20575297,5848333.333333317,5236891.9175628945,0.9953696832787954,0.8954503136328712,80.13092717881754
94,10,6,120,2,1.0,16943843.858463466,6660499.9999999935,4026889.958579873,0.7653860812417791,0.6045927420733994,86.83979929766848
95,10,6,120,2,0.8061138014527837,13931921.666666642,4154333.333333326,4154333.3333333367,0.7896090886211963,1.0000000000000027,105.61357113573607
96,10,6,120,2,0.8169230769230764,17406146.686553475,5928999.999999982,4718760.055256326,0.8968889898065594,0.7958778976650936,84.53335631927541
97,10,6,120,2,0.8505002000800317,18452052.359578643,6049999.999999985,5152083.468152939,0.9792502443525406,0.8515840443228021,79.74180710777041
98,10,6,120,2,0.554194139194139,16202647.575433247,4960999.999999985,4748388.600341617,0.9025204513684552,0.9571434388916814,90.81231898365573
99,10,6,120,2,0.7588461538461528,14762481.366999237,4638333.333333318,4251188.238327296,0.808018182722321,0.9165335763551512,99.67159066423878
100,10,6,120,4,0.7980804724990754,16995036.666666646,5067333.3333333265,5067333.333333337,0.9551433853846512,1.000000000000002,95.52200632694537
101,10,6,120,4,0.8729487179487188,11969805.833333341,3569500.000000003,3569500.0,0.6728162703849184,0.9999999999999993,135.6245892877543
102,10,6,120,4,0.8909669211195924,22497117.766145885,8983333.333333356,5256589.116388071,0.9908162723726505,0.5851490667593385,72.16035480077919
103,10,6,120,4,0.9507692307692307,6868827.836951474,2278833.3333333363,1902654.060656318,0.35863191173091585,0.8349246225362313,236.34309063138465
104,10,6,120,4,0.8856410256410255,15076107.766709732,4869333.333333326,4257015.666199658,0.8024063324002305,0.8742502052710155,107.68031279165479
105,10,6,120,4,0.6698473282442747,11969805.833333332,3569499.9999999995,3569499.9999999995,0.6728162703849183,1.0,135.6245892877544
106,10,6,120,4,0.8734278444202103,19692878.967581857,7500166.66666668,4833346.982714412,0.911039218486093,0.6444319436520615,82.43588977885958
107,10,6,120,4,0.8493638676844769,12103688.731610294,5120499.999999994,2646257.8810527013,0.4987940490283165,0.5167967739581495,134.1244009159198
108,10,6,120,4,1.0,13052352.500000002,3892166.666666667,3892166.666666666,0.7336358202502217,0.9999999999999997,124.37604638704018
109,10,6,120,4,1.0,15015581.138828997,6117833.333333336,3431702.036194403,0.6468426852681465,0.5609342146502414,108.11436367268048
110,10,6,120,6,0.5079698291530348,16183126.666666614,4825333.333333317,4825333.33333334,0.9020376650275326,1.0000000000000047,109.70685928430018
111,10,6,120,6,0.8281135531135535,18148125.70529643,7170166.666666681,4289777.7966307495,0.8019220393395449,0.5982814620716498,97.82828424435364
112,10,6,120,6,0.8378151260504204,10143008.333333347,3025000.0000000047,3024999.999999997,0.5654871380301769,0.9999999999999977,175.0368275026884
113,10,6,120,6,0.6696655761541254,17616270.833333306,5252499.999999991,5252500.000000006,0.9818913033069454,1.0000000000000027,100.7818292984352
114,10,6,120,6,0.7916999878831934,23476156.67696494,9729500.00000003,5258807.390742553,0.9830703936670915,0.5405012992181034,75.62566668938796
115,10,6,120,6,0.9218466012359138,17498905.12737773,5996833.333333324,4720794.270722842,0.8824953525224193,0.7872145194501846,101.45777619094102
116,10,6,120,6,0.7062886223191557,10914547.783983631,3428333.3333333335,3144466.1382708442,0.5878198866656476,0.9171996514159001,162.66363344941152
117,10,6,120,6,0.7579395371380079,9993322.752527805,4592499.999999997,1952847.4471422597,0.3650611946757073,0.4252253559373459,177.65862706184623
118,10,6,120,6,0.9550000000000001,15546197.90000486,5142499.999999982,4312327.753378036,0.8061374808283803,0.838566408046291,114.20155663909598
119,10,6,120,6,0.7202564102564094,14845784.342870738,4621833.333333325,4302360.505712109,0.8042742245121346,0.9308774668880567,119.58950493933214
120,10,6,150,2,0.6760256410256422,14134899.166666659,4214833.33333333,4214833.333333336,0.6419617755601795,1.000000000000001,127.40097957307685
121,10,6,150,2,0.6311523082515447,19349453.82729796,6735666.6666666595,5153020.901560757,0.7848572377234353,0.7650350227486657,93.06722639682235
122,10,6,150,2,0.6532051282051292,8316210.833333346,2480500.0000000037,2480499.999999998,0.3778052554732152,0.9999999999999977,216.54092664197094
123,10,6,150,2,0.4783333333333334,12861676.666666655,3835333.3333333298,3835333.333333334,0.5841600845897761,1.000000000000001,140.01284954294462
124,10,6,150,2,0.6707692307692316,13661284.99999998,4073666.66666666,4073666.66666667,0.620460663460078,1.0000000000000024,131.8177609207335
125,10,6,150,2,0.9751908396946561,19141677.49999993,5707166.666666646,5707166.666666664,0.8692592463326825,1.0000000000000033,94.07743913771438
126,10,6,150,2,1.0,11902146.666666688,3549333.33333334,3549333.333333333,0.540599389945414,0.999999999999998,151.3004376801493
127,10,6,150,2,0.9948717948717949,19014945.331526216,6636666.666666663,5052867.414117246,0.7696028479189082,0.7613562150854719,94.70445318684808
128,10,6,150,2,0.8643584151217731,15717451.011119235,5263499.999999984,4318783.151676896,0.6577943849839583,0.8205154653133673,114.57328537089333
129,10,6,150,2,0.7802564102564096,16632137.499999965,4959166.666666656,4959166.666666671,0.7553312757243523,1.0000000000000029,108.2723131647994
130,10,6,150,4,0.8788804071246806,21374429.99999992,6372666.666666644,6372666.666666666,0.9641516436426374,1.0000000000000033,91.36150063416929
131,10,6,150,4,1.0,19876631.47431423,7230666.666666677,5094801.10996301,0.7708171666811127,0.7046101479757058,98.24602335277608
132,10,6,150,4,0.8091731266149867,12375760.833333327,3690499.999999997,3690500.0000000014,0.5583536417297554,1.000000000000001,157.79231889648813
133,10,6,150,4,0.6352053798618681,11153181.793571608,3512666.6666666735,3207177.0588441114,0.48522937013351447,0.9130319962547272,175.08904957736286
134,10,6,150,4,0.6882951653944022,17222617.49999999,5135166.666666663,5135166.666666669,0.7769242675037482,1.000000000000001,113.38578471013487
135,10,6,150,4,1.0,19480766.266959082,6996000.000000001,5051174.686981824,0.7642167135860881,0.722008960403348,100.2424634246602
136,10,6,150,4,0.9089102564102561,19935621.210689947,7676166.666666685,4839636.022786681,0.7322120032433145,0.6304756309946374,97.95531222036176
137,10,6,150,4,0.7410941475826975,17179561.666666623,5122333.333333319,5122333.3333333405,0.774982650269716,1.0000000000000042,113.66995490862863
138,10,6,150,4,1.0,19453308.248141028,6231499.999999985,5525054.131189721,0.8359122327337243,0.8866330949514136,100.38395398307694
139,10,6,150,4,0.9969230769230769,19762748.572673213,6390999.99999999,5574411.537013137,0.8433797540148076,0.8722283738089729,98.81216637549187
140,10,6,150,6,0.8349339735894352,16986707.53707217,5908833.333333316,4526909.6488070125,0.680362937260634,0.7661257973328676,123.90865006690893
141,10,6,150,6,0.7261541257724459,12511079.166666659,3730833.33333333,3730833.333333334,0.5607182210419152,1.000000000000001,168.23488781110353
142,10,6,150,6,0.8015384615384608,13815055.833333308,4119499.9999999925,4119500.0000000033,0.6191321094256432,1.0000000000000027,152.35551889131614
143,10,6,150,6,1.0,5136229.999999999,1532666.6666666665,1532666.6666666658,0.23034910702262443,0.9999999999999996,409.7947327125149
144,10,6,150,6,1.0,25911524.987878714,9520500.000000015,6580584.994897669,0.9890160138720056,0.6912016170261708,81.23026340536171
145,10,6,150,6,0.8389830508474576,1753271.666666667,524333.3333333335,524333.3333333335,0.07880364187616105,1.0,1200.498496620128
146,10,6,150,6,0.8711538461538473,11157895.833333336,3327500.0000000014,3327499.9999999995,0.5001000349833296,0.9999999999999994,188.63771731154503
147,10,6,150,6,0.7998534798534805,24191027.98680707,8308666.666666679,6513311.853004893,0.9789053299910091,0.7839178191051372,87.00746413702979
148,10,6,150,6,1.0,20224224.166666597,6029833.3333333125,6029833.333333333,0.9062418815758518,1.0000000000000033,104.07321352129365
149,10,6,150,6,0.8575063613231543,18301691.188718908,6009666.666666644,5104408.58405027,0.767156998182644,0.8493663404598628,115.00576522116113
150,10,9,30,2,1.0,12739969.637209212,7723833.3333333535,1298003.8899670418,0.9626558458544782,0.16805177351061068,37.92787689138078
151,10,9,30,2,1.0,9853609.712655762,5677833.333333322,1193424.1317662846,0.8850949722945669,0.21019006048662112,49.03786674028589
152,10,9,30,2,1.0,12365670.603382021,7474500.0000000065,1274250.985870501,0.9450396644537149,0.1704797626423841,39.07592361936638
153,10,9,30,2,1.0,11141276.292680189,6896999.999999999,1044783.2890906911,0.7748564920862918,0.15148373047566932,43.37025555298921
154,10,9,30,2,0.8679487179487189,9990277.129493378,5586166.666666655,1318550.5756434426,0.9778941569506213,0.23603853130831137,48.36702663367495
155,10,9,30,2,0.7361757105943157,6481769.274914349,2937000.0,1294784.7445490563,0.9602683883289402,0.44085282415698207,74.54754705170913
156,10,9,30,2,0.8431297709923651,9847957.048351802,5485333.333333324,1313361.8261030577,0.9740459557885638,0.23943154340721806,49.06601416187843
157,10,9,30,2,1.0,10942995.94942517,6634833.333333321,1115114.8280910237,0.8270174044610087,0.1680697573047842,44.156097857770135
158,10,9,30,2,0.9457692307692309,12722773.08114026,7824666.666666674,1225341.66966336,0.908766399383034,0.15659985554187938,37.97914156908738
159,10,9,30,2,0.6323809523809515,7101879.055302845,4126833.3333333316,839044.1135364518,0.6222714177275407,0.20331427168606733,68.03833129757444
160,10,9,30,4,1.0,12296437.497928236,7322333.33333332,1337450.8693321622,0.9605256184766338,0.18265364446654045,51.65723813153376
161,10,9,30,4,0.8724827335514368,10693618.85025481,6110499.999999987,1327609.8179216685,0.9534580078381623,0.21726696962960007,59.39991025440975
162,10,9,30,4,0.9243589743589735,10932862.327437168,6299333.333333326,1324011.5474721899,0.9508738150067221,0.21018280465745445,58.100063915183384
163,10,9,30,4,1.0,9120099.610554088,5014166.666666662,1258450.2735744761,0.9037892569098985,0.25097894769642226,69.6483620929891
164,10,9,30,4,1.0,10098439.970502218,5644833.333333319,1333945.4874746648,0.9580081360375585,0.23631264356337678,62.9008046644268
165,10,9,30,4,1.0,13254989.448792372,8046500.00000001,1343693.0773347863,0.965008624798484,0.16699099948235688,47.92157718826939
