int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
0,30,6,30,4,0.84103845687815,4370055.403674586,1304298.6796844266,1304298.6796844266,1.0,1.0,145.3528482650102
1,30,6,30,4,0.8309966115309637,4133156.5191465523,1233687.9838489476,1233687.9838489476,0.9458630933732423,1.0,153.68399359121324
2,30,6,30,4,0.5099228435180154,4366220.585423333,1303155.6638122203,1303155.6638122203,0.999123654811578,1.0,145.48051056344266
3,30,6,30,4,0.5408014741668588,4370055.403674586,1304298.6796844266,1304298.6796844269,1.0000000000000002,1.0000000000000002,145.3528482650102
4,30,6,30,4,0.7692223806727625,4370055.403674586,1304298.6796844266,1304298.6796844269,1.0000000000000002,1.0000000000000002,145.3528482650102
5,30,6,30,4,0.6260887076724178,4366220.585423333,1303155.6638122203,1303155.6638122203,0.9991236548115782,1.0000000000000002,145.48051056344266
6,30,6,30,4,0.7627847978993006,4366220.585423333,1303155.6638122203,1303155.6638122203,0.999123654811578,1.0,145.48051056344266
7,30,6,30,4,0.844356434164125,4366220.585423333,1303155.6638122203,1303155.6638122203,0.9991236548115782,1.0000000000000002,145.48051056344266
8,30,6,30,4,0.507679375332048,4226325.693756511,1261458.2296343301,1261458.2296343301,0.9671544173758868,1.0,150.29603632734023
9,30,6,30,4,0.8054394105436335,4369661.976817072,1304181.4138550637,1304181.413855064,0.9999100928098836,1.0000000000000002,145.3659352531175
10,30,6,30,4,0.754999551928582,16089885.278067607,10279928.016526036,1303155.6638122203,0.9991236548115782,0.1267670028153178,39.4782180868531
11,30,6,30,4,0.5261089196750955,9538773.648337346,5261969.617404763,1304298.6796844266,1.0,0.2478727120297808,66.59136943780173
12,30,6,30,4,0.6724017712567326,16091379.235118164,10281071.934635205,1303155.6638122203,0.999123654811578,0.1267528981508346,39.47455284713732
13,30,6,30,4,0.5864539797128476,11553468.81606573,6814862.535053165,1297767.2093474541,0.9949923507255616,0.19043189832109061,54.97915908309024
14,30,6,30,4,0.8459768640280549,14243270.242934663,8865383.142257508,1303536.6158189273,0.9994157290217577,0.14703669259431362,44.59649990247775
15,30,6,30,4,0.5053370182337641,17161848.994937956,11129693.192728674,1284693.1927286305,0.9849685602989803,0.1154293447700746,37.01232892722445
16,30,6,30,4,0.41898176413219046,9060445.566403752,4922026.526061949,1287528.3504312052,0.987142263107037,0.26158500845409716,70.10692745126461
17,30,6,30,4,0.6216699331203158,10408729.397213079,5929885.228735476,1303155.6638122203,0.999123654811578,0.21976068904289955,61.02570023292889
18,30,6,30,4,0.6148769556043934,14008162.0360512,8714925.230334502,1284693.1927286305,0.9849685602989803,0.14741299079158257,45.344992324136356
19,30,6,30,4,0.760874565750728,18613661.614262283,12210582.14874088,1304298.6796844266,1.0,0.10681707586062326,34.125472632063584
20,30,6,30,4,0.62965700965701,9343185.180039978,5112208.156227628,1304298.6796844266,1.0,0.25513411031503996,67.9853805484868
21,30,6,30,4,0.6952766037381423,11175017.31178001,6516629.420593758,1303155.6638122203,0.9991236548115782,0.1999738790875551,56.841075255463956
22,30,6,30,4,0.7167255259360532,10766135.31861827,6203549.79336424,1303155.6638122203,0.999123654811578,0.21006612459307872,58.999815737177805
23,30,6,30,4,0.6954911114526489,12465636.96021999,7503059.442735995,1304298.6796844269,1.0000000000000002,0.17383557862481944,50.95608046560584
24,30,6,30,4,0.9192929292929282,6334818.242748285,2810504.5591605706,1303155.6638122203,0.9991236548115782,0.46367320756150676,100.27122731218664
25,30,6,30,4,0.8381834404911312,10532109.393116076,6024356.894817394,1303155.6638122203,0.9991236548115782,0.21631448577246362,60.31080539432823
26,30,6,30,4,0.8484795103115719,12095525.994673427,7219666.66666667,1304298.6796844266,1.0,0.18065912733982542,52.515285427002226
27,30,6,30,4,0.7698733317964078,9683467.155473555,5372760.970495287,1304298.6796844269,1.0000000000000002,0.24276134502298366,65.59633959629376
28,30,6,30,4,0.545699959373061,8852308.268988086,5142499.999999991,1045422.1257465972,0.8015204968232703,0.2032906418564121,71.75529598593725
29,30,6,30,4,0.6430256766134633,7785396.8121157,3921207.9047711557,1303155.6638122203,0.999123654811578,0.33233526389319906,81.58864799434454
30,30,6,30,4,0.6214990501922328,15171161.651166542,9610333.333333367,1281568.0744264524,0.9825725459881062,0.13335313458705364,41.86890988345366
31,30,6,30,4,0.688924755634159,25836657.288484346,17742999.99999986,1303155.6638122203,0.9991236548115782,0.07344618518921439,24.585223734926224
32,30,6,30,4,0.8371843942117847,21833331.955151115,14677666.666666651,1303155.6638122203,0.999123654811578,0.08878493383227727,29.09313160743374
33,30,6,30,4,0.4496444575979827,14016614.192479681,8691833.333333345,1303536.6158189273,0.9994157290217577,0.14997257377449238,45.31764884709484
34,30,6,30,4,0.7648836320592035,16959969.59003362,10970666.666666698,1287528.3504312052,0.987142263107037,0.11736099450940705,37.45289734323992
35,30,6,30,4,0.7688858215575771,23533256.328006506,15977499.99999992,1304298.6796844266,1.0,0.08163346453978615,26.991589737798414
36,30,6,30,4,0.6140704135189434,18110143.621818013,11826833.333333403,1303155.6638122203,0.999123654811578,0.11018635564427326,35.074266293214215
37,30,6,30,4,0.8390661902200374,20983291.32800665,14025000.000000006,1304298.6796844269,1.0000000000000002,0.09299812332865785,30.271704761215936
38,30,6,30,4,0.5946016395996312,17226582.32800684,11148500.000000067,1304298.6796844266,1.0,0.11699319905677165,36.873245540254196
39,30,6,30,4,0.6604700642868576,17655167.99467352,11476666.66666674,1304298.6796844269,1.0000000000000002,0.11364786636808759,35.97813400538793
40,30,6,60,4,0.7331028244631173,8738307.837513335,2606311.327624442,2606311.3276244393,0.9991236548115777,0.999999999999999,110.38750498797909
41,30,6,60,4,0.693679602839909,8745977.474015841,2608597.359368855,2608597.3593688523,0.9999999999999997,0.999999999999999,110.29070253905994
42,30,6,60,4,0.49528574329710756,8745977.474015841,2608597.3593688547,2608597.3593688523,0.9999999999999997,0.9999999999999991,110.29070253905994
43,30,6,60,4,0.8185239119854493,8730641.064111717,2604026.1492633037,2604026.149263301,0.9982476367657374,0.9999999999999989,110.48444128176303
44,30,6,60,4,0.649107004107004,8745977.474015841,2608597.359368855,2608597.3593688523,0.9999999999999996,0.9999999999999989,110.29070253905994
45,30,6,60,4,0.7257723192837691,8738307.837513335,2606311.327624442,2606311.3276244397,0.9991236548115778,0.9999999999999991,110.38750498797909
46,30,6,60,4,0.6142203852127506,8711187.161381967,2598227.6685688924,2598227.668568893,0.9960248020788959,1.0000000000000002,110.73117614510915
47,30,6,60,4,0.739704628181277,8738307.837513335,2606311.327624442,2606311.3276244393,0.9991236548115777,0.999999999999999,110.38750498797909
48,30,6,60,4,0.8558813324080499,8745977.474015841,2608597.3593688547,2608597.359368853,0.9999999999999998,0.9999999999999992,110.29070253905994
49,30,6,60,4,0.5467729548933922,8745977.474015841,2608597.359368855,2608597.3593688523,0.9999999999999997,0.999999999999999,110.29070253905994
50,30,6,60,4,0.803491334789045,17537293.744682472,9343666.539851911,2606311.327624441,0.9991236548115783,0.27893882091234695,55.00278515278213
51,30,6,60,4,0.8684494377676175,20713517.36194366,11775690.749087133,2606311.32762444,0.9991236548115779,0.2213298041838,46.56862391571561
52,30,6,60,4,0.8612947309101163,15596868.727030525,7906925.125291,2575056.700862409,0.9871422631070363,0.3256710617665851,61.84574717412842
53,30,6,60,4,0.7917527976688276,18208980.16168935,9867074.023766194,2600511.543834682,0.9969003205860303,0.26355447801151544,52.97386187665047
54,30,6,60,4,0.7880109207032281,18789029.224194303,10298529.78676425,2608597.3593688533,1.0,0.253298035096373,51.3384692998349
55,30,6,60,4,0.6712720257721196,18052386.896488488,9734485.125427464,2608597.3593688523,0.9999999999999996,0.2679748672639019,53.43337728860841
56,30,6,60,4,0.7197354808041827,17529558.1578865,9337743.425919285,2606311.3276244393,0.9991236548115776,0.27911575728135324,55.027057231675236
57,30,6,60,4,0.6190455693296607,13644669.05078176,6363096.330127088,2606311.3276244393,0.9991236548115777,0.40959796809682814,70.69427601431887
58,30,6,60,4,0.619086447903242,14127549.21600736,6790768.130836229,2569386.385457261,0.9849685602989801,0.3783646173677942,68.27794299290427
59,30,6,60,4,0.6049815276421153,17007810.26005901,8996174.749558745,2569386.385457261,0.9849685602989801,0.2856087678358279,56.71512000961452
60,30,6,60,4,0.7891989689699594,14396670.381906474,6935314.746727686,2608597.3593688523,0.9999999999999996,0.37613251231311107,67.00160345494159
61,30,6,60,4,0.7318008963047135,13354270.634334523,6137152.61229283,2608597.359368854,1.0000000000000004,0.4250501045295477,72.23157493303778
62,30,6,60,4,0.704308265949488,12531436.151412591,5568629.490258324,2569386.38545726,0.9849685602989797,0.46140372419319786,76.97441764416337
63,30,6,60,4,0.7214166240883804,12547076.929746935,5519086.988565747,2608597.3593688523,0.9999999999999997,0.47265016202376486,76.87846383671254
64,30,6,60,4,0.6546079313591662,13201775.104502391,6020387.275514778,2608597.3593688523,0.9999999999999997,0.4332939460519676,73.0659318435919
65,30,6,60,4,0.8133068427299213,15949458.778560067,8185798.423755519,2569386.38545726,0.9849685602989797,0.3138834176518196,60.478541208975436
66,30,6,60,4,0.486273467025412,14911588.774058243,7329586.103658574,2608597.3593688514,0.9999999999999992,0.3558996814385967,64.68794268777845
67,30,6,60,4,0.7524320438234444,17350524.479990266,9197071.330252724,2608597.359368852,0.9999999999999993,0.28363348132227334,55.594861187766305
68,30,6,60,4,0.5878355740951164,14702810.504450288,7169725.254035351,2608597.3593688523,0.9999999999999996,0.3638350518244266,65.60650426039513
69,30,6,60,4,0.5668686804382002,15349646.13456005,7665005.215834525,2608597.3593688523,0.9999999999999997,0.34032558177259403,62.84183958014399
70,30,6,60,4,0.6457622343985979,21079601.243635938,12056000.000000056,2606311.3276244393,0.9991236548115777,0.21618375312080518,45.759878891979454
71,30,6,60,4,0.46042496270381267,19240648.65601362,10644333.33333339,2608597.3593688523,0.9999999999999996,0.24506911590224892,50.133444939680686
72,30,6,60,4,0.6346551661259912,27134765.656013258,16688833.33333326,2608597.3593688523,0.9999999999999997,0.15630795198599048,35.54849200572468
73,30,6,60,4,0.806657507039185,20753971.910302676,11806666.66666675,2606311.3276244393,0.9991236548115776,0.22074912430472224,46.47785032035982
74,30,6,60,4,0.7895229240649085,22702854.656013392,13295333.333333347,2608597.3593688523,0.9999999999999997,0.19620398330508323,42.48804895310831
75,30,6,60,4,0.5651312656257941,21771458.98934682,12582166.666666713,2608597.3593688523,0.9999999999999997,0.20732497259630772,44.3057123765567
76,30,6,60,4,0.6715264379386515,20199446.037135355,11440000.00000004,2569386.385457262,0.9849685602989806,0.2245967120154942,47.753784842745006
77,30,6,60,4,0.66287626707474,19498808.357239325,10862500.00000005,2595534.4186949073,0.9949923507255614,0.23894448043221134,49.469689753726556
78,30,6,60,4,0.8488665278741617,24920111.9103022,14996666.666666618,2606311.3276244393,0.9991236548115777,0.17379270911032105,38.70769134071286
79,30,6,60,4,0.5800647084044035,22120257.825041648,12983666.666666733,2522916.4592686594,0.9671544173758864,0.1943146357681687,43.60708666370094
80,30,6,90,4,0.6302494643403734,13121899.544357112,3912896.039053287,3912896.0390532822,1.0000000000000004,0.9999999999999989,98.61377124750712
81,30,6,90,4,0.5293634395907114,12069304.671075953,3599156.8815924344,3599156.881592434,0.9198191941903074,0.9999999999999998,107.21412999881149
82,30,6,90,4,0.49615621867530174,12924570.318147007,3854079.5781858936,3854079.5781858917,0.9849685602989802,0.9999999999999996,100.11938255178455
83,30,6,90,4,0.7065863483158407,13069714.075406292,3897341.502853341,3897341.502853341,0.9960248020788963,1.0,99.00752170508167
84,30,6,90,4,0.8122105167559701,13056160.295415461,3893301.6280423626,3893301.6280423617,0.9949923507255615,0.9999999999999999,99.11030277825058
85,30,6,90,4,0.6225893063679319,12978711.738789381,3870217.11041909,3870217.110419094,0.9890927517091631,1.0000000000000009,99.70172895763079
86,30,6,90,4,0.6996094486569084,13110395.089603337,3909466.9914366617,3909466.991436663,0.9991236548115786,1.0000000000000002,98.70030545655743
87,30,6,90,4,0.6907117691468838,13110395.089603337,3909466.9914366617,3909466.9914366645,0.9991236548115789,1.0000000000000007,98.70030545655743
88,30,6,90,4,0.7330827251628768,12924570.318147002,3854079.578185892,3854079.578185896,0.9849685602989813,1.0000000000000009,100.1193825517846
89,30,6,90,4,0.8172717908035674,13110395.08960333,3909466.9914366603,3909466.9914366603,0.9991236548115779,1.0,98.70030545655749
90,30,6,90,4,0.7099779271558637,22565696.291820105,11143980.838029463,3912896.0390532804,1.0,0.35112192814441157,57.34367702489487
91,30,6,90,4,0.6464473297993731,19535682.372449774,8946969.657205902,3834459.085800618,0.9799542455332803,0.42857629261236396,66.23776816851125
92,30,6,90,4,0.7550139193829375,23823337.5916296,12106952.73681163,3912896.0390532804,1.0,0.32319412854036983,54.31648672328141
93,30,6,90,4,0.7383564590625651,19092950.132900905,9094818.433349283,3524150.280924037,0.9006501184163074,0.3874898995236152,67.77370657718231
94,30,6,90,4,0.5138950631766075,16907207.91634121,6812536.26483186,3912104.5491154254,0.999797722727628,0.5742508218724293,76.5354046867383
95,30,6,90,4,0.6896967135428683,20360846.361592755,9548012.230135081,3854079.578185891,0.98496856029898,0.4036525598513362,63.5533502399443
96,30,6,90,4,0.8499389499389484,15061435.952281343,5397992.82919437,3912896.03905328,0.9999999999999999,0.7248798141951709,85.9147828998336
97,30,6,90,4,0.7627335423291312,25231401.53242231,13190482.644437445,3909466.9914366603,0.9991236548115779,0.29638543917006105,51.28530011847388
98,30,6,90,4,0.7286815457270002,26474337.282201193,14142194.55085321,3909466.9914366603,0.9991236548115779,0.276439910183586,48.87752188871453
99,30,6,90,4,0.6932865443193242,24536597.420208473,12776154.226699611,3834459.0858006175,0.9799542455332801,0.30012623656243625,52.73754864373553
100,30,6,90,4,0.5051310013142079,14202727.318376718,4771224.310248547,3893301.6280423617,0.9949923507255615,0.8159963512257399,91.10926169269692
