int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
0,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.5607015905864965,38175468.650686175,23096.333333332994,3912.8960390532798,0.9999999999999999,0.16941633040107393
1,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.670253262900227,33645389.98401968,19627.66666666648,3912.896039053284,1.0000000000000009,0.19935614892515607
2,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.6282922415887469,34928752.65068628,20610.333333333114,3912.89603905328,1.0,0.18985117687179515
3,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.666226855474308,36820432.86545303,22064.16666666637,3909.466991436665,0.9991236548115792,0.17718625183079886
4,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.5264494838820043,26089030.86545362,13847.166666666668,3909.466991436665,0.9991236548115792,0.28232974192819216
5,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.6186002883288332,31856927.244105153,18261.83333333319,3910.6098474567816,0.9994157290217575,0.21414114213378424
6,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.6838763522811574,31969356.65068639,18344.33333333318,3912.8960390532798,0.9999999999999999,0.21330271141242416
7,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.644495418841586,31804304.532120045,18223.333333333238,3909.4669914366596,0.9991236548115777,0.21453083911304258
8,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.7262968597070834,36376835.70383084,21721.33333333305,3911.4890371716956,0.9996404193038756,0.18007591786132282
9,date ('2024-01-01 23:55:00'),50,30,6,10,90,0,true,false,0.6815515743935234,32091467.65068637,18437.833333333176,3912.8960390532843,1.0000000000000009,0.21222103315031507
