int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,10,6,60,4,false,false,1.0,8333802.304776921,3202833.3333333405,2028681.6193802976,0.7776905899617771,0.6334021812083966,115.74548624066747,0.04014921479474124,false,false,1.6735513960031378
1,10,6,60,4,false,false,0.7669230769230775,11040056.989346772,4365166.666666666,2608597.3593688514,0.9999999999999991,0.5975939886301825,87.37273738086694,0.0882995310020086,false,false,1.4528165965552686
2,10,6,60,4,false,false,1.0,7954486.344845431,2682166.66666667,2175423.789578046,0.8339438747666243,0.811069579162882,121.26490111144238,0.03444231183175699,false,false,1.8455118909946389
3,10,6,60,4,false,false,0.9664102564102564,13674052.635666259,6453333.33333333,2563136.148852904,0.9825725459881056,0.3971801883553055,70.54236411844853,0.14092744233782176,false,false,1.5045178871033835
4,10,6,60,4,false,false,0.9742857142857144,12778447.576969123,5699833.3333333265,2606311.3276244393,0.9991236548115777,0.4572609715414678,75.48647785185736,0.12284319098407659,false,false,1.5543898768112587
5,10,6,60,4,false,false,1.0,6824526.791525946,2038666.6666666665,2034111.6600907482,0.7797721839996413,0.9977656933080845,141.34313329940318,0.0197184970501877,false,false,2.0174841903582723
6,10,6,60,4,false,false,0.8810439560439544,14763349.910302497,7219666.666666667,2606311.3276244393,0.9991236548115776,0.36100161516567325,65.33747461522,0.16284933180129535,false,false,1.404894903010923
7,10,6,60,4,false,false,0.8647582697201012,9511616.161538506,3831666.666666663,2202697.0041671633,0.8443990009635303,0.5748665517617657,101.41283916612292,0.05978363544928375,false,false,1.4994084569311505
8,10,6,60,4,false,false,0.8396153846153831,13051489.486650554,5917999.999999986,2600511.5438346816,0.9969003205860302,0.43942405269257995,73.90727326460487,0.1283518686303582,false,false,1.4073913059383212
9,10,6,60,4,false,false,0.8464689265536725,16253120.777870433,8438833.333333362,2556306.057200411,0.9799542455332799,0.30292173766520675,59.348602227417075,0.19232429715769167,false,false,1.3417149613765709
10,10,9,60,4,false,false,1.0,12759647.239499105,5727333.333333322,2580144.7402793937,0.9890927517091623,0.4504966954276683,75.59770124474589,0.1224642478736888,false,false,1.5729609433013572
11,10,9,60,4,false,false,0.7908805031446539,4593856.666666662,1371333.3333333319,1371333.333333333,0.5256975854890558,1.0000000000000007,209.97607674597327,0.00293024629869141,false,false,1.7938107494433457
12,10,9,60,4,false,false,0.9002801120448176,9612596.848350516,3710666.666666666,2329640.238336025,0.8930624076456468,0.6278225579417963,100.34749352517802,0.06157924631383837,false,false,1.589681916300452
13,10,9,60,4,false,false,0.8708974358974356,10047602.110818155,4658499.999999991,1937807.6024816276,0.7428542375548818,0.4159724380125859,96.0030054296661,0.06947765069755286,false,false,1.3563475246075745
14,10,9,60,4,false,false,0.8211721611721589,11601729.91030245,4799666.6666666595,2606311.3276244393,0.9991236548115776,0.5430192362576102,83.14277331550579,0.09930876132209918,false,false,1.4635001587518681
15,10,9,60,4,false,false,0.7560256410256405,7729452.990682612,3125833.3333333386,1783348.620798401,0.6836427302180049,0.5705194201434491,124.79537700310318,0.0312249367033763,false,false,1.357769997872466
16,10,9,60,4,false,false,1.0,14917776.989346832,7335166.666666676,2608597.3593688523,0.9999999999999996,0.3556289145034899,64.66110873549361,0.16593785813111492,false,false,1.5215667726346047
17,10,9,60,4,false,false,0.6490094511086859,11984358.50332078,5520166.666666652,2333815.277364975,0.8946628995782002,0.4227798576187279,80.48824638654762,0.10690821441565727,false,false,1.178697523143071
18,10,9,60,4,false,false,1.0,11141579.443008656,4537499.999999993,2548838.9993535117,0.9770917655035118,0.5617276031633094,86.5765940039396,0.09027403612274773,false,false,1.652001639286057
19,10,9,60,4,false,false,1.0,11026322.742310697,4557666.666666659,2479734.8669159226,0.9506008499203155,0.54407990936501,87.48156774865603,0.08803299878735235,false,false,1.6321129081523622
20,10,6,30,4,false,false,0.8561068702290064,10829906.678619578,6260833.33333332,1297767.2093474541,0.9949923507255616,0.20728346216118038,58.652398293884936,0.1960798536892825,false,false,1.2594701860794693
21,10,6,30,4,false,false,0.7621611721611706,10284327.317833107,5868499.999999987,1281568.0744264526,0.9825725459881063,0.21838085957680078,61.763884050885665,0.17984436412572125,false,false,1.1603863958636926
22,10,6,30,4,false,false,0.9200549450549456,6499518.573231798,3437500.000000002,983899.5802335106,0.7543514346511213,0.28622533243156656,97.73031538306005,0.06622276566984939,false,false,1.2725030431563613
23,10,6,30,4,false,false,0.904688644688644,11133155.233010447,6748499.999999993,1134934.5532831303,0.8701492771254864,0.16817582474374032,57.054804923279555,0.20497737079280362,false,false,1.2778418402251879
24,10,6,30,4,false,false,0.6387131952017442,6728229.141871119,3408166.6666666684,1114216.7603080128,0.8542650373437439,0.32692554950599406,94.40819963265268,0.07262471487583762,false,false,1.0382634595835758
25,10,6,30,4,false,false,0.7474358974358976,4164203.602321445,1552833.3333333335,1045422.1257465974,0.8015204968232704,0.6732352425114934,152.53817071910007,0.01444840272112597,false,false,1.435119542668517
26,10,6,30,4,false,false,0.9206214689265536,9272154.449723529,5278166.666666656,1163853.318557128,0.8923211659147894,0.22050332853398538,68.5061927564138,0.14912807197305566,false,false,1.2902528694335946
27,10,6,30,4,false,false,0.7688295165394406,8696969.768091047,4867499.999999998,1144890.8905601383,0.8777827566590368,0.23521127695123548,73.0369332006341,0.1314927318469585,false,false,1.1355335253376346
28,10,6,30,4,false,false,0.7938596491228074,7703104.8167943,4062666.666666667,1172830.0716419227,0.8992036026025015,0.2886847895410049,82.46025662472327,0.10120949686217535,false,false,1.1837539355259876
29,10,6,30,4,false,false,0.19935897435897434,2270863.402067424,846999.9999999999,571277.729982475,0.43799609620144286,0.6744719362248821,279.7173971017832,0.00042224379508379,false,false,0.8742531543789402
30,10,6,90,4,false,false,1.0,6853683.971300856,2929666.666666669,1480432.392045312,0.3783469781127895,0.5053245165702507,188.80356979086005,0.00527622918822061,false,false,1.5106007457584714
31,10,6,90,4,false,false,0.7194111232279158,15912957.317353444,6049999.999999983,3912896.039053281,1.0000000000000002,0.6467596758765771,81.3173801823036,0.10447409676247725,false,false,1.4706448958669702
32,10,6,90,4,false,false,0.8283898305084743,10120088.10511895,3186333.3333333367,2910982.6444374183,0.7439458179782682,0.9135838407063758,127.86449945484841,0.02867322118558235,false,false,1.7706468924004324
