int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,150,40,10,400,0,0.7103507929552708,113512908.26230834,59647499.99999959,17390649.06245902,1.0000000000000009,0.2915570487021106,38.70749210166215,0.6451248683610358,1.588721300277995
1,150,40,10,400,0,0.750241139297004,122783766.92897296,66746166.66666536,17390649.06245898,0.9999999999999986,0.2605490312171634,35.784860734413634,0.5964143455735605,1.5550947098442953
2,150,40,10,400,0,0.7065450422132002,119235364.92897344,64029166.66666585,17390649.06245899,0.9999999999999988,0.2716051132290109,36.84980544670883,0.6141634241118138,1.5379925569082227
3,150,40,10,400,0,0.8995620383992623,116283051.06867841,61792499.9999993,17375408.85082954,0.9991236548115755,0.28118960797555914,37.78538625895669,0.6297564376492782,1.754270162428988
4,150,40,10,400,0,0.7690225463020082,122324054.92897199,66394166.66666522,17390649.062458985,0.9999999999999987,0.261930376350222,35.91934556577019,0.5986557594295032,1.577222606811689
5,150,40,10,400,0,0.8128099549939771,121840399.59563969,66023833.333332196,17390649.062459014,1.0000000000000004,0.26339956625449873,36.06193031689007,0.6010321719481678,1.624561779945744
6,150,40,10,400,0,0.7704082834794781,129162270.92897254,71630166.66666518,17390649.062458996,0.9999999999999994,0.24278386986571335,34.01767380209805,0.5669612300349676,1.5315966094070164
7,150,40,10,400,0,0.750222565834528,114054027.59564199,60061833.33333304,17390649.06245902,1.0000000000000009,0.2895457580514377,38.523847799373,0.64206412998955,1.623923302265228
8,150,40,10,400,0,0.734465907033414,123916286.59563917,67613333.3333319,17390649.062459007,1.0,0.25720739098490497,35.4578088216745,0.5909634803612416,1.5311953001825795
9,150,40,10,400,0,0.6972395274174985,125664149.92897144,68951666.66666485,17390649.062459014,1.0000000000000002,0.25221506459780235,34.96462596916851,0.5827437661528084,1.4817553452485488
10,150,40,10,500,0,0.7735516219956461,126446142.57788463,62729333.33333236,21738311.328073602,0.9999999999999918,0.34654140531926486,43.43192989550725,0.7238654982584543,1.7746502445095123
