int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,150,20,10,200,2,0.9915046619376445,70088477.27267326,36905000.000000335,10689790.437289037,0.9992102747422761,0.2896569689009332,33.52619562354455,0.5587699270590759,1.7820001641174672
1,150,20,10,200,2,0.9245480692529378,68937936.812078,36349500.00000042,10482344.14124437,0.9798195793230284,0.2883765702759117,34.0857314370382,0.5680955239506367,1.7233448494243038
2,150,20,10,200,2,1.0,72359295.00481185,38672333.33333381,10671576.869111855,0.9975077919322413,0.2759486162143062,32.47405879014907,0.5412343131691512,1.761993206140596
3,150,20,10,200,2,0.9732826564088832,78909146.351335,43721333.33333415,10650033.358385986,0.9954940483141983,0.24358894266077097,29.77855050589133,0.49630917509818884,1.664462985635689
4,150,20,10,200,2,1.0,67514089.5085305,34934166.666667044,10689556.454463322,0.9991884035891474,0.30599145405300077,34.80458696999979,0.5800764494999965,1.824869612742397
5,150,20,10,200,2,0.9854398662635943,76956415.00481227,42192333.33333405,10671576.869111858,0.9975077919322416,0.2529269188504628,30.53416664293758,0.5089027773822931,1.6966841787262577
6,150,20,10,200,2,1.0,71893787.42695084,39460666.666667365,9941918.054473065,0.9293041551144324,0.2519450099121376,32.68432619977856,0.5447387699963093,1.7462947779260194
7,150,20,10,200,2,0.9173866937957166,68115546.60600692,35394333.33333376,10689790.437289061,0.9992102747422784,0.3020198272027236,34.49726409143691,0.5749544015239485,1.7339569570818438
8,150,20,10,200,2,0.9479934425306115,73705261.18895023,39695333.333334066,10676422.249364614,0.9979607057439753,0.2689591282610319,31.881034841950715,0.5313505806991786,1.6945113258386155
9,150,20,10,200,2,0.8481456963935597,74872355.27267396,40568000.00000071,10689790.437289068,0.9992102747422792,0.26350301807554927,31.384080164733412,0.5230680027455569,1.5820161135995559
10,150,20,10,200,4,0.9406425153275577,89219412.26833439,51551500.00000033,10691062.27509433,0.9984219832834338,0.2073860561786614,28.04098274572399,0.4673497124287332,1.57390107269922
11,150,20,10,200,4,0.967503208575404,75539762.08074386,41547000.0000008,10391514.599353317,0.9704476831806269,0.25011467974470164,33.11898172681356,0.551983028780226,1.7195779811513914
12,150,20,10,200,4,0.9407632893897346,66814013.405633524,34532666.66666692,10603798.961590614,0.9902725956646533,0.3070657434001778,37.44424069859957,0.6240706783099929,1.8104865624198698
13,150,20,10,200,4,0.4908789820490094,84238514.59836796,47767500.00000088,10672031.689458083,0.996644745945826,0.22341616558241242,29.699004213548537,0.4949834035591423,1.1645953180740816
14,150,20,10,200,4,0.9349890653461297,74970734.6016698,40641333.333333805,10691062.275094327,0.9984219832834333,0.2630588467019012,33.37035462293947,0.5561725770489913,1.701608719756642
15,150,20,10,200,4,0.7662981668319399,76662843.93170254,41966833.333334394,10672031.689458095,0.9966447459458272,0.25429680635401347,32.63380109181451,0.5438966848635752,1.513632296778726
16,150,20,10,200,4,0.9738611989694207,74970066.65541697,41167500.00000055,10355366.026719712,0.9670718231722358,0.2515422609271773,33.3706519363116,0.5561775322718601,1.7312725399830227
17,150,20,10,200,4,1.0,72564786.94489148,39369000.00000079,10327821.512065548,0.9644994830022927,0.262333854354069,34.47677730935756,0.5746129551559593,1.7844800386392146
18,150,20,10,200,4,1.0,73004302.5983682,39165500.00000054,10672031.689458076,0.9966447459458252,0.2724855214272237,34.26921305944946,0.5711535509908244,1.7891419681326033
19,150,20,10,200,4,1.0,70431233.23896694,37334000.000000305,10583632.294923913,0.9883892614541241,0.28348508852316456,35.521172709153255,0.5920195451525543,1.818807615971086
20,150,20,10,200,6,0.9221147066327728,73096183.26399998,39204000.00000058,10692334.11289962,0.9976351217222733,0.2727357951458898,36.30558917714383,0.6050931529523972,1.7453964957018817
21,150,20,10,200,6,0.9744160904495213,66365748.19192468,34081666.66666722,10672486.509804333,0.9957832654558315,0.31314450124125853,39.98749463843025,0.6664582439738375,1.8913899354163655
22,150,20,10,200,6,0.9669127397305746,84742220.59733292,48121333.33333389,10692334.11289962,0.9976351217222733,0.22219530034287283,31.316148919556664,0.5219358153259444,1.6666047953308172
23,150,20,10,200,6,0.9154014276414905,69813552.26399916,36690500.00000027,10692334.11289964,0.9976351217222751,0.29141968937189633,38.012676821896775,0.6335446136982796,1.7820817928372872
24,150,20,10,200,6,0.8653649541606471,76371979.13850331,41713833.3333344,10691335.353099339,0.9975419336639498,0.2563019147069293,34.74834657862197,0.5791391096436995,1.64954559556989
25,150,20,10,200,6,0.993794478879706,70001947.32754928,36835333.333333835,10691964.532722017,0.9976006384970414,0.2902638191425408,37.910373944063075,0.6318395657343846,1.8578450999281233
26,150,20,10,200,6,0.9579968817287231,64934382.94140896,33357500.00000033,10435491.105290806,0.9736706998800675,0.3128379256626157,40.868949234407204,0.6811491539067868,1.8894163761656024
27,150,20,10,200,6,1.0,82601722.52525784,46513500.0000009,10672486.509804303,0.9957832654558286,0.2294492246294967,32.127659313503116,0.5354609885583853,1.7190203682619827
28,150,20,10,200,6,0.9210186727844353,67682595.59733316,35058833.333333746,10692334.11289963,0.9976351217222741,0.30498259914237985,39.209489183723996,0.6534914863953999,1.818496238493739
29,150,20,10,200,6,0.9525449757782387,65298069.63875136,33295166.666667145,10652716.108060453,0.9939386123668059,0.3199478234997162,40.641323927056696,0.6773553987842783,1.88585863336229
30,150,20,10,200,8,0.9823616942889305,74001452.92632988,39895166.66666733,10693605.950704936,0.9968496861717461,0.268042643863411,37.91547177855058,0.6319245296425097,1.8287203390221691
31,150,20,10,200,8,0.9460999344021174,71033235.7854801,37654833.333333775,10672941.330150537,0.9949233462065866,0.2834414704659538,39.49981961223754,0.6583303268706256,1.8311834376455058
32,150,20,10,200,8,0.8612015678220795,73133625.36070396,39897000.00000067,10268900.289914554,0.9572589525477577,0.2573852743292574,38.36538919220061,0.6394231532033435,1.7065329404888288
33,150,20,10,200,8,0.8941709918799555,76347899.5929965,41691833.33333411,10693605.950704921,0.9968496861717447,0.25649162187729946,36.75019240814033,0.6125032068023388,1.7118674961841338
