int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,50,35,4,200,2,1.0,56186872.99797531,31322500.00000029,7466091.425723258,0.9973792013638925,0.23836192595492664,41.82115634170769,0.6970192723617948,1.887708813125736
1,50,35,4,200,2,1.0,67421068.38903996,39920833.333334215,7468420.394845095,0.9976903233727572,0.1870807739028059,34.852606998763996,0.5808767833127333,1.730541402434978
2,50,35,4,200,2,1.0,54369573.99797482,29931000.000000138,7466091.425723255,0.9973792013638919,0.24944343408917913,43.21902540725308,0.7203170901208846,1.9198718373922279
3,50,35,4,200,2,1.0,59031324.38903947,33496833.333333783,7468420.3948450945,0.997690323372757,0.2229589979603543,39.80598477706346,0.6634330796177242,1.8418002779860077
4,50,35,4,200,2,1.0,60558909.05570567,34666500.00000042,7468420.394845106,0.9976903233727585,0.21543623944860357,38.801887891317776,0.646698131521963,1.8190471230808458
5,50,35,4,200,2,1.0,63827174.055706225,37169000.000000596,7468420.394845103,0.9976903233727582,0.20093143196871002,36.81504053350651,0.6135840088917752,1.7743291544667432
6,50,35,4,200,2,1.0,58411192.0557056,33022000.000000272,7468420.394845093,0.9976903233727569,0.22616499287883932,40.22859176986223,0.6704765294977038,1.8514085238007751
7,50,35,4,200,2,1.0,63559025.33130856,36967333.33333387,7466091.425723257,0.9973792013638921,0.20196456580737446,36.970359248767636,0.6161726541461273,1.7777443067920267
8,50,35,4,200,2,1.0,59895695.33130862,34162333.33333374,7466091.425723261,0.9973792013638928,0.21854746726091617,39.23153386904109,0.6538588978173514,1.8286968716260843
9,50,35,4,200,2,1.0,56220377.055705175,31344500.000000082,7468420.394845093,0.9976903233727569,0.23826892739858901,41.79623337765475,0.6966038896275791,1.8872190315464503
10,50,35,4,200,4,1.0,63494135.995168984,36908666.66666723,7471815.842769144,0.9924726136958679,0.20244068717651761,39.40206384083015,0.6567010640138359,1.8186536137550502
11,50,35,4,200,4,1.0,61480851.972087875,35339333.33333369,7489514.871686981,0.9948235551349511,0.21193141367560903,40.69234436009133,0.6782057393348555,1.8477508702753427
12,50,35,4,200,4,1.0,55717112.800911665,30919166.66666682,7493906.52395175,0.9954068932007409,0.242370908787485,44.9018241296786,0.7483637354946434,1.9422604625246316
13,50,35,4,200,4,1.0,55223880.13424523,30541500.00000021,7493906.523951743,0.9954068932007399,0.24536799187831937,45.3028652444976,0.75504775407496,1.9513421475776156
14,50,35,4,200,4,1.0,62473342.39572746,36094666.666667126,7492455.374520457,0.9952141387084936,0.2075779073876204,40.04588043573442,0.6674313405955736,1.83349366650567
15,50,35,4,200,4,1.0,49326670.35211583,26033333.33333324,7489248.585708063,0.994788184677883,0.28767920303616223,50.71901229377602,0.8453168715629337,2.0754602339918633
