int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,50,12,210,4,false,false,0.8367162795065256,46904735.96271274,21596666.66666641,9130090.757790973,0.9999999999999982,0.42275462684632265,55.67881252068256,0.21296367214465278,false,false,1.3878836531282366
1,50,12,210,4,false,false,0.7511388165294755,43746610.29604634,19178499.999999814,9130090.757790985,0.9999999999999994,0.4760586468071576,59.698339650238616,0.19046492682769472,false,false,1.3224506608028963
2,50,12,210,4,false,false,0.7108262177539925,41842050.79663972,17935499.999999907,8992852.349100398,0.9849685602989782,0.5013995901480552,62.41567873173497,0.1766175084890715,false,false,1.2885633983615081
3,50,12,210,4,false,false,0.4759090491968717,43828383.686058015,19253666.666666497,9122089.646685539,0.9991236548115775,0.47378454216611304,59.586956678732385,0.19105513243868505,false,false,1.0459918153684473
4,50,12,210,4,false,false,0.7059179059222372,39791537.686058454,16162666.6666666,9122089.646685539,0.9991236548115775,0.5643926113689309,65.63204520027915,0.16152225133041204,false,false,1.3189542463477941
5,50,12,210,4,false,false,0.6285910766366877,46382771.29604599,21196999.999999724,9130090.75779098,0.9999999999999991,0.4307256101236543,56.30538941563054,0.20928912812094508,false,false,1.1824606928565562
6,50,12,210,4,false,false,0.6950723526329247,49261126.01939085,23413499.99999965,9122089.646685539,0.9991236548115775,0.3896081169703664,53.015434502491594,0.22931676948629262,false,false,1.2360756156955104
7,50,12,210,4,false,false,0.5887627873067653,37194386.62553548,14292666.666666672,9046476.63520519,0.9908419176978664,0.6329453310699091,70.21489630392315,0.1422152127145502,false,false,1.237334264877243
8,50,12,210,4,false,false,0.6406360654735862,51664670.629380114,25241333.33333317,9130090.757790986,0.9999999999999997,0.36171190472469944,50.549049634603946,0.24557809716067402,false,false,1.17558368641402
9,50,12,210,4,false,false,0.6963504361002304,49806667.96271266,23818666.66666633,9130090.757790985,0.9999999999999994,0.38331661824582036,52.434746326639484,0.23304569441022477,false,false,1.2360494251071115
10,50,9,210,4,false,false,0.6129989351824863,52178157.9627133,25633666.666666474,9130090.75779099,1.0,0.3561757619975446,50.051594421295185,0.2489950985477903,false,false,1.1469346433283123
11,50,9,210,4,false,false,0.7090191055579947,40331734.86277471,16587999.999999888,9114091.522421554,0.9982476367657372,0.5494388426827596,64.75297948094092,0.1655149303778518,false,false,1.3140851100820543
12,50,9,210,4,false,false,0.6512948118853746,31678432.38405588,12934166.6666667,7219803.506127729,0.7907701793617821,0.5581962636011374,82.44094809800148,0.10126379492983222,false,false,1.1991156176961169
13,50,9,210,4,false,false,0.7102759556772043,40898453.629379846,16996833.333333176,9130090.75779099,1.0,0.5371642222251836,63.85571502693512,0.16969206584206797,false,false,1.309699399299419
