int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,10,15,90,4,false,false,1.0,17491513.389036246,7353500.000000006,3854079.578185892,0.9849685602989803,0.524114989894049,73.97873307012328,0.12809734356353258,false,false,1.5473893354787718
1,10,15,90,4,false,false,1.0,18691362.085039526,8187666.666666677,3907972.7110978467,0.9987417687803878,0.4772999280744829,69.22983965067539,0.1461603311265473,false,false,1.5280002735861338
2,10,15,90,4,false,false,1.0,18562822.230846547,8096000.000000013,3903666.616648686,0.9976412809559777,0.48217225996154645,69.70922761139796,0.14422691318460756,false,false,1.5299647211538447
3,10,15,90,4,false,false,1.0,14552335.167258533,6046333.3333333125,3252801.6108306213,0.8313028453517595,0.5379792068191134,88.92043683211651,0.0845838326360423,false,false,1.514967198091333
4,10,15,90,4,false,false,0.9261501210653761,14728928.7430002,5364333.333333317,3773682.809338011,0.9644219451971558,0.703476569192448,87.85431870698422,0.08712619083619082,false,false,1.5760575672555255
5,10,15,90,4,false,false,0.7733850129198958,9233688.64577937,3448499.999999997,2312891.318909736,0.5910944977391571,0.6706948873161483,140.13901157382807,0.02038919201945126,false,false,1.3303301147922657
6,10,15,90,4,false,false,1.0,14630285.055702852,5162666.666666655,3854079.578185891,0.98496856029898,0.7465288439151407,88.44667038771071,0.08570432780194548,false,false,1.682927402934058
7,10,15,90,4,false,false,0.9386041439476545,16035812.072679784,6170999.999999986,3897341.502853341,0.9960248020788963,0.6315575276054691,80.69438542526873,0.10629779827095251,false,false,1.5501479643029823
8,10,15,90,4,false,false,0.832797164667394,13165600.35125808,4678666.666666654,3447744.436924413,0.8811234447615403,0.7369074744067587,98.28644083642929,0.06520762219030785,false,false,1.4875307663831085
9,10,15,90,4,false,false,1.0,13695609.370277278,4839999.999999991,3603580.301095156,0.9209496662137329,0.744541384523794,94.48283497397983,0.07247430500089583,false,false,1.6681074126199311
10,10,12,60,4,false,false,0.9076335877862586,8956254.293316893,3791333.3333333335,1958438.080356381,0.7507628853960897,0.5165565536371673,107.70127426147101,0.05020191714779107,false,false,1.3710807478437834
11,10,12,60,4,false,false,1.0,15149031.910302533,7516666.6666666735,2606311.3276244397,0.9991236548115778,0.3467376489079074,63.674035787329494,0.17055060610214012,false,false,1.4479407252284662
12,10,12,60,4,false,false,0.8123076923076921,14338312.370468615,6953833.333333336,2569386.38545726,0.9849685602989797,0.3694920862052957,67.27430502816381,0.15431941592427106,false,false,1.2622207771961997
