int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,10,27,30,4,false,false,1.0,11924724.725270765,7186666.666666659,1245731.9303420114,0.9550971336131494,0.17333932240380512,53.26747699709077,0.22771688847594115,false,false,1.3663883463989852
1,10,27,30,4,false,false,1.0,10347197.955151197,5888666.66666665,1303155.6638122203,0.9991236548115782,0.22129893532416348,61.38860034892589,0.18172896619688744,false,false,1.3587681144562183
2,10,27,30,4,false,false,0.874249084249085,9437270.245730055,5243333.33333332,1270397.061524367,0.974007780052141,0.2422880600491488,67.30759885650194,0.1541767628952639,false,false,1.222256295183668
3,10,27,30,4,false,false,1.0,11333210.756553695,6876833.333333327,1154530.546552955,0.885173438059672,0.16788694600997878,56.047665012554425,0.2107928073385198,false,false,1.345102364146503
4,10,27,30,4,false,false,1.0,11695687.351900978,6950166.66666666,1284693.1927286305,0.9849685602989803,0.18484350870175273,54.31061731457422,0.22121321722665216,false,false,1.3690880241880543
5,10,27,30,4,false,false,0.8715921483097069,8608911.955151217,4557666.66666666,1303155.6638122196,0.9991236548115777,0.2859260580294496,73.78400468132591,0.12879211506923258,false,false,1.2291251098024991
6,10,27,30,4,false,false,1.0,10120216.01856759,5743833.333333317,1284693.1927286305,0.9849685602989803,0.22366477545111585,62.76545864580328,0.1749097832306278,false,false,1.3538416035915206
7,10,27,30,4,false,false,1.0,12360746.059003085,7595499.999999996,1197945.2053049032,0.9184592639430904,0.15771775463167714,51.388483912534156,0.23991804659900995,false,false,1.3660922503043516
8,10,27,30,4,false,false,1.0,13446760.91311557,8268333.333333351,1299113.8342844471,0.9960248020788964,0.15711918979453066,47.238141891884524,0.2692350179569033,false,false,1.3949303697925277
9,10,27,30,4,false,false,1.0,14218834.955151271,8853166.666666675,1303155.6638122203,0.9991236548115782,0.14719655834773462,44.67313967730363,0.2891179488588659,false,false,1.4068751955370535
