int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,10,21,210,4,false,false,1.0,29007290.314472236,10851500.000000078,7245777.443210646,0.7936150510910966,0.6677212775386439,90.03253911989938,0.08201083843287853,false,false,1.6161878604637936
1,10,21,210,4,false,false,1.0,20701877.62571511,6676999.999999989,5853139.234935004,0.641082261963315,0.8766121364287875,126.15280832092093,0.03006947697901354,false,false,1.7313591861220436
2,10,21,210,4,false,false,0.8833699633699628,23437013.43303531,6997833.333333334,6983508.914772382,0.7648893203841526,0.9979530209025244,111.43057998673399,0.04526170860885273,false,false,1.726994088700835
3,10,21,210,4,false,false,1.0,23239654.720004883,7744000.0000000205,6411594.625022675,0.7022487284205212,0.8279435207932152,112.37688474570638,0.04408744936971435,false,false,1.7064422660042864
4,10,21,210,4,false,false,0.9173992673992674,16768106.666666614,5001333.333333317,5001333.333333338,0.5477857193331342,1.0000000000000042,155.74805503781832,0.01321589691615571,false,false,1.7306151643154264
5,10,21,210,4,false,false,1.0,27539076.845683277,8772500.00000004,7854347.73662751,0.8602704994936826,0.8953374450416045,94.8325179756113,0.07177373982446904,false,false,1.7880436958577528
6,10,21,210,4,false,false,1.0,21639566.666666627,6453333.333333321,6453333.333333329,0.7068202830104947,1.000000000000001,120.68633537024023,0.03500031544815552,false,false,1.8350003154481564
7,10,21,210,4,false,false,1.0,25944854.717389137,7788000.000000018,7703803.506127723,0.8437817005875685,0.9891889453168599,100.65965018681008,0.06104759982658916,false,false,1.8523987560800772
8,10,21,210,4,false,false,1.0,20089556.66666661,5991333.333333316,5991333.333333336,0.6562183763858804,1.000000000000003,129.99789110992532,0.02702338894252938,false,false,1.8270233889425318
9,10,21,210,4,false,false,1.0,24142955.833333343,7199500.000000004,7199499.999999985,0.788546378233582,0.9999999999999973,108.17233888131686,0.04954929773572277,false,false,1.8495492977357209
10,10,18,210,4,false,false,1.0,19721606.666666638,5881333.333333324,5881333.333333338,0.64417030338002,1.0000000000000024,132.42328802825753,0.02526274072247709,false,false,1.825262740722479
11,10,18,210,4,false,false,0.7300549450549438,16071121.5533381,4880333.333333319,4737761.291689355,0.5189172175146755,0.970786413159491,162.50265990039443,0.01095496199633561,false,false,1.5176390375788722
12,10,18,210,4,false,false,0.9852774443110576,23061509.166666664,6876833.333333333,6876833.333333321,0.7532053640830576,0.9999999999999983,113.24497374069658,0.04303705823516123,false,false,1.8283145025462173
13,10,18,210,4,false,false,1.0,22452576.666666653,6695333.333333329,6695333.333333324,0.7333260436233877,0.9999999999999992,116.31627134703032,0.03951766319951937,false,false,1.8395176631995187
14,10,18,210,4,false,false,1.0,27376992.384055823,8187666.666666693,8147470.172794389,0.8923755950445399,0.9950906045020188,95.39397035888348,0.07066304742533769,false,false,1.8667355310269529
15,10,18,210,4,false,false,1.0,12555885.833333347,3745500.0000000037,3745499.9999999986,0.41023688584955714,0.9999999999999987,207.99806836939598,0.00309575295488536,false,false,1.8030957529548843
16,10,18,210,4,false,false,0.9171153846153848,24008737.49999999,7159166.666666664,7159166.666666657,0.784128751464767,0.9999999999999989,108.77706501643418,0.04872392290890096,false,false,1.7658393075242849
17,10,18,210,4,false,false,0.9402930402930394,23670441.666666653,7058333.333333329,7058333.333333326,0.7730846845427282,0.9999999999999994,110.331697091978,0.04666460317645074,false,false,1.7869576434694898
18,10,18,210,4,false,false,0.9061050061050073,19361081.661475915,6412999.999999991,5366505.772641582,0.5877823030468977,0.8368167429660986,134.88915783029216,0.02359026738758624,false,false,1.5991486678654727
19,10,18,210,4,false,false,0.9463585434173668,19813869.166666597,5908833.3333333125,5908833.333333332,0.6471823216314845,1.0000000000000033,131.80666421243785,0.02569917912832243,false,false,1.7720577225456922
20,10,24,210,4,false,false,1.0,23263500.886671465,7098666.666666663,6835094.625022678,0.7486338094930852,0.9628702045016925,112.2616932302001,0.04422874475255857,false,false,1.8145249083539126
21,10,24,210,4,false,false,1.0,22327359.99999998,6658666.66666666,6658666.66666666,0.7293100192881011,1.0,116.96859816834602,0.03880804428541437,false,false,1.8388080442854144
22,10,24,210,4,false,false,1.0,18975155.8333333,5659499.999999989,5659500.000000004,0.6198733561515342,1.0000000000000027,137.6325982742261,0.02185932380183437,false,false,1.8218593238018364
23,10,24,210,4,false,false,1.0,24412492.5,7280166.666666667,7280166.666666656,0.7973816317712137,0.9999999999999984,106.97801545663557,0.05122069955466345,false,false,1.8512206995546623
