int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.off_grid_C,self.off_grid_J,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.off_grid_C,self.off_grid_J,self.metric
0,30,9,60,4,false,false,0.48141383637566887,13053655.37046856,5969333.333333324,2569386.38545726,0.9849685602989798,0.4304310451402609,73.8950104491211,0.1283955970576806,false,false,0.9541542695455583
1,30,9,60,4,false,false,0.6180172880554562,18019869.814781275,9830333.33333338,2532172.3514467925,0.9707026430707759,0.2575876387487824,53.52979848992923,0.22606361275636339,false,false,1.0501510118108455
2,30,9,60,4,false,false,0.7764675059146198,27994989.9316751,17357999.999999877,2602444.411099123,0.9976412809559774,0.1499276651168995,34.456165276508905,0.9571157021252473,false,false,1.8535253401333867
3,30,9,60,4,false,false,0.7960884099186748,21394553.243635945,12298000.000000067,2606311.3276244393,0.9991236548115776,0.21192969000035983,45.0862417651526,0.28581926611262287,false,false,1.2514514280315856
4,30,9,60,4,false,false,0.6737200458574497,18499928.63566641,10149333.333333384,2563136.1488529043,0.9825725459881058,0.2525423162952796,52.14074167509635,0.23495672389859393,false,false,1.1107106227922674
5,30,9,60,4,false,false,0.830378597190095,23257950.846733574,13773833.333333332,2575056.7008624095,0.9871422631070365,0.18695279945276017,41.473989104051775,0.31598666903274975,false,false,1.2959275057850528
6,30,9,60,4,false,false,0.7667465062503225,20556431.989346944,11652666.666666737,2608597.359368853,0.9999999999999998,0.22386269460800134,46.924485752191295,0.2715910226104663,false,false,1.2174276845471899
7,30,9,60,4,false,false,0.8596012977692358,26693108.32267981,16351499.999999925,2608597.3593688523,0.9999999999999997,0.15953260308649753,36.136668249325886,0.3664854932628818,false,false,1.3537128735013155
8,30,9,60,4,false,false,0.9162877834633537,24772079.158374604,15014999.999999953,2522916.4592686594,0.9671544173758864,0.16802640421369744,38.93900038963428,0.33903941846216745,false,false,1.389748325296479
9,30,9,60,4,false,false,0.8091146343054747,22962736.989346743,13495166.666666696,2608597.3593688523,0.9999999999999997,0.1932986397131452,42.00718757731334,0.3113410569333454,false,false,1.2750946030093362
10,30,6,60,4,false,false,0.5902796948598472,18137925.037135296,9861500.000000015,2569386.38545726,0.9849685602989797,0.2605472175082144,53.18138640583713,0.22826210350804144,false,false,1.0269795723744601
11,30,6,60,4,false,false,0.63921265333479,22614264.322680116,13227500.00000004,2608597.3593688523,0.9999999999999997,0.19721015757844226,42.65449391747806,0.3057929459554282,false,false,1.1027737253529721
12,30,6,60,4,false,false,0.7335724371422635,26015548.559676535,15869333.33333327,2584707.6100586257,0.9908419176978667,0.16287436628667257,37.07782666151835,0.35702851391322354,false,false,1.2209004440848252
13,30,6,60,4,false,false,0.5768180479900279,22180889.98934681,12895666.666666713,2608597.3593688537,1.0000000000000002,0.20228480053006265,43.487885313135976,0.29879522266533703,false,false,1.037441111079415
14,30,6,60,4,false,false,0.7080341880341875,20434090.703802064,11619666.666666724,2569386.385457261,0.9849685602989801,0.22112393230935323,47.20542812411623,0.26947978725993765,false,false,1.1544131211416078
15,30,6,60,4,false,false,0.6288004142741456,24513075.243635595,14684999.99999997,2606311.3276244416,0.9991236548115785,0.17748119357333653,39.35042790073604,0.33518674936582404,false,false,1.1059721184986389
16,30,6,60,4,false,false,0.8016076608158038,22428570.37046861,13146833.333333367,2569386.3854572596,0.9849685602989796,0.19543766322363457,43.00764534105462,0.3028078554574495,false,false,1.2607656468521609
17,30,6,60,4,false,false,0.5723151896355154,20282288.24363585,11445500.000000015,2606311.32762444,0.9991236548115779,0.22771493841461157,47.55873639172202,0.2668480160632881,false,false,1.0213351564304927
18,30,6,60,4,false,false,0.6638541483961331,20653409.910302646,11729666.666666742,2606311.3276244393,0.9991236548115776,0.22219824328265272,46.70415220485329,0.27325835903104456,false,false,1.1148711020533
19,30,6,60,4,false,false,0.6896734035195567,17401905.243635915,9240000.00000003,2606311.3276244393,0.9991236548115777,0.2820683255004795,55.43071212577518,0.21443641813760328,false,false,1.1297644820575437
20,30,12,60,4,false,false,0.6833021936640352,29013783.05162555,18131666.666666508,2607073.2316378537,0.9994157290217573,0.14378563645396875,33.24626775776338,0.9235074377156494,false,false,1.7218381405428596
21,30,12,60,4,false,false,0.768031257738026,27216367.32267985,16752999.999999916,2608597.3593688523,0.9999999999999997,0.15570926755619088,35.44190848703687,0.9844974579732464,false,false,1.8770961297562252
22,30,12,60,4,false,false,0.881352493660184,27090531.703801572,16718166.66666655,2569386.38545726,0.9849685602989797,0.1536882863226995,35.60653628162784,0.98907045226744,false,false,1.9933735749857835
23,30,12,60,4,false,false,0.9223289900490148,22276857.656013504,12970833.333333388,2608597.3593688523,0.9999999999999997,0.2011125493891815,43.300541525865164,0.3003542041854707,false,false,1.3835732337458309
24,30,12,60,4,false,false,0.8410699786352648,29610805.243635435,18589999.999999847,2606311.327624441,0.9991236548115783,0.14019964107716312,32.57594624878808,0.9048873957996688,false,false,1.8581170872966641
25,30,12,60,4,false,false,0.8524220690251232,25554804.57696886,15484333.333333267,2606311.3276244393,0.9991236548115777,0.16831924704267434,37.74632660933518,0.3504598700565814,false,false,1.337537336715844
26,30,12,60,4,false,false,0.5784051694871056,23241878.576969057,13713333.333333347,2606311.3276244397,0.9991236548115778,0.19005673269016315,41.50266927888719,0.3157350317012759,false,false,1.0461855873405121
27,30,12,60,4,false,false,0.7922327540483628,25478081.32267988,15421999.999999965,2608597.3593688523,0.9999999999999996,0.169147799206903,37.8599937641827,0.34935506579833636,false,false,1.2769060592122217
28,30,12,60,4,false,false,0.7556655310501463,16967557.226343606,8943000.000000035,2584707.6100586257,0.9908419176978667,0.28902019569032933,56.84966828945623,0.20614871514203825,false,false,1.193030402744448
29,30,12,60,4,false,false,0.7388239285966551,26624966.98934655,16300166.6666666,2608597.3593688533,0.9999999999999999,0.16003501146423024,36.22915289945582,0.36554519375263217,false,false,1.2323971315206714
30,30,9,30,4,false,false,0.8268214383655544,24118767.99467325,16426666.666666605,1304298.6796844269,1.0000000000000002,0.07940129949377629,26.336336919874476,0.7315649144409577,false,false,1.6219073924015333
31,30,9,30,4,false,false,0.7659624408670208,22529462.68523423,15240499.999999998,1284693.1927286307,0.9849685602989804,0.08429468801736367,28.194192150721328,0.7831720041867035,false,false,1.6165701954676153
32,30,9,30,4,false,false,0.7928603908717551,17620599.621818006,11452833.333333403,1303155.6638122203,0.999123654811578,0.11378456543320102,36.04871648144646,0.3673819503038044,false,false,1.2512699935221203
33,30,9,30,4,false,false,0.8246296112708332,25330300.66133982,17354333.333333224,1304298.6796844266,1.0,0.07515694522123782,25.07668615909756,0.6965746155304877,false,false,1.5813297829783113
34,30,9,30,4,false,false,0.7660539935292965,23575254.328006517,16010499.99999993,1304298.6796844266,1.0,0.08146520593887964,26.94350572690986,0.748430714636385,false,false,1.579656872916785
35,30,9,30,4,false,false,0.7286676110149392,18650110.66134008,12239333.333333388,1304298.6796844266,1.0,0.1065661539041686,34.05877914261976,0.9460771984061045,false,false,1.7599977325443785
36,30,9,30,4,false,false,0.7120924191310345,23869809.621817708,16237833.333333263,1303155.6638122203,0.999123654811578,0.08025428251791962,26.61102078583017,0.7391950218286159,false,false,1.5154908669739862
37,30,9,30,4,false,false,0.618864701879968,18729655.685234327,12331000.000000056,1284693.1927286307,0.9849685602989804,0.10418402341485888,33.91413118719342,0.9420591996442617,false,false,1.6442711202561169
38,30,9,30,4,false,false,0.7526415615555889,27140416.661339723,18740333.333333153,1304298.6796844269,1.0000000000000002,0.06959847813189589,23.40420959361369,0.6501169331559358,false,false,1.4584372772170413
39,30,9,30,4,false,false,0.7507985653023816,22085978.994673256,14870166.666666647,1304298.6796844266,1.0,0.0877124452551145,28.760327996019505,0.7988979998894307,false,false,1.6198665213959038
40,30,9,90,4,false,false,0.6496331446331436,22982143.428538404,11463833.333333366,3912808.082904653,0.9999775214706066,0.3413176002417436,56.30458290470666,0.20929381689480187,false,false,1.1319810417213403
41,30,9,90,4,false,false,0.7885186046522092,26794102.31735325,14382499.99999997,3912896.03905328,0.9999999999999999,0.2720595194891909,48.294209847886506,0.2614516704721447,false,false,1.2676178907157065
42,30,9,90,4,false,false,0.7632118243478813,30287591.53212006,17062833.333333254,3909466.9914366603,0.9991236548115779,0.22912179443253924,42.72376688082676,0.30520508996253615,false,false,1.251714349856449
43,30,9,90,4,false,false,0.8284832216129915,31972556.70383101,18349833.333333187,3911489.0371716954,0.9996404193038756,0.2131621015906626,40.47220908814435,0.3249031860112894,false,false,1.323916088896811
44,30,9,90,4,false,false,0.7622947249524781,35636375.317352965,21152999.99999977,3912896.0390532804,1.0,0.18498066652736364,36.31121258760267,0.3647129058918407,false,false,1.2749921640662096
45,30,9,90,4,false,false,0.7484361800201488,30835736.98401969,17477166.66666653,3912896.0390532804,1.0,0.2238861775299187,41.96429618888637,0.31171221827885426,false,false,1.239257340322938
46,30,9,90,4,false,false,0.7806652878208903,28565110.722369332,15830833.333333295,3854079.578185891,0.98496856029898,0.24345399241054272,45.30001695343225,0.28412704358988583,false,false,1.2595555253392103
47,30,9,90,4,false,false,0.9476926805171073,26731051.389036104,14426499.999999998,3854079.578185891,0.98496856029898,0.26715277982780933,48.408122118636214,0.26062568481343296,false,false,1.4220405891927876
48,30,9,90,4,false,false,0.870910048390965,26126083.31735343,13871000.000000007,3912896.03905328,0.9999999999999999,0.28209184911349416,49.5290466726982,0.25263567394473374,false,false,1.3492192016264941
49,30,9,90,4,false,false,0.8822959426591238,30282645.98401969,17053666.66666654,3912896.039053281,1.0000000000000002,0.22944602562811375,42.73074422502084,0.3051459423345053,false,false,1.3709987054961201
50,30,6,90,4,false,false,0.6512009785086706,19944216.389036413,9229000.000000047,3854079.578185892,0.9849685602989803,0.417605328658129,64.8809647247574,0.16492754542938576,false,false,1.1502127868645595
51,30,6,90,4,false,false,0.6663813603699091,23536618.91077243,11891000.000000054,3910609.8474567854,0.9994157290217585,0.3288714025276905,54.978159985746785,0.21714908998838728,false,false,1.1466275723804489
52,30,6,90,4,false,false,0.7217717353494183,26783230.650686655,14373333.333333308,3912896.0390532804,1.0,0.27223302683580386,48.31381310479903,0.26130933966475106,false,false,1.2008674964828125
53,30,6,90,4,false,false,0.709900419497943,30515996.317353144,17231499.99999992,3912896.0390532827,1.0000000000000007,0.22707808600837426,42.40398991214183,0.3079282096680333,false,false,1.1994910979726758
54,30,6,90,4,false,false,0.42635582010581985,16413372.984020136,6433166.666666659,3912896.039053279,0.9999999999999997,0.6082379396958394,78.8381523566072,0.11192249271587341,false,false,1.024868664578365
