int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,50,30,4,400,0,1.0,79123590.15221737,33610500.00000023,17200964.935195953,0.9890927517091628,0.5117735509794806,55.53084726751201,0.9255141211252002,2.334932961908785
1,50,30,4,400,0,1.0,70483221.92897804,26696999.999999873,17390649.06245898,0.9999999999999983,0.6514083628294963,62.3382399349931,0.9617789219563101,2.4829056122199074
2,50,30,4,400,0,1.0,78781981.2623126,33051333.333333526,17390649.062459,0.9999999999999996,0.5261708774973949,55.77163622441021,0.9295272704068368,2.3504639724047527
3,50,30,4,400,0,0.9746583755899135,72531555.12236069,28484499.999999955,17250999.571674444,0.9919698517126642,0.6056276070029128,60.577771875808565,0.9904166842092903,2.449577145401534
4,50,30,4,400,0,1.0,85416592.98555265,38270833.33333402,17301798.268529303,0.9948908868432342,0.45208835976559153,51.439654128363166,0.8573275688060528,2.218998256618526
5,50,30,4,400,0,1.0,85557944.59564787,38239666.6666673,17390649.062459003,0.9999999999999997,0.45478035188047444,51.354669876250185,0.8559111646041697,2.2197354461085492
6,50,30,4,400,0,1.0,62312468.26032561,23800333.333333045,15249259.603217877,0.8768654665188016,0.6407162197959999,70.51237292741837,0.8392839296037107,2.3518569054405107
7,50,30,4,400,0,1.0,78930429.92897908,33165000.00000016,17390649.062459003,0.9999999999999997,0.52436752788961,55.66674353545905,0.9277790589243174,2.3472730812360054
8,50,30,4,400,0,1.0,82552955.40201885,35962666.666667245,17375408.85082956,0.9991236548115766,0.48315129164029214,53.22401819054135,0.8870669698423559,2.2735880031545896
9,50,30,4,400,0,1.0,77324452.31972177,32668166.66666688,16923536.677918132,0.973140025834388,0.5180436616048658,56.822904892135284,0.9470484148689214,2.361483344152814
10,50,30,6,400,0,1.0,80231261.69201401,34571166.66666696,17129242.569715034,0.9849685602989788,0.4954777122471487,54.76418926161978,0.9127364876936629,2.309118657491382
11,50,30,6,400,0,1.0,78657475.92897947,32956000.000000246,17390649.06245898,0.9999999999999986,0.5276929561372391,55.859916023331344,0.9309986003888557,2.353152965298647
12,50,30,6,400,0,1.0,76176946.595646,31056666.66666691,17390649.06245897,0.9999999999999979,0.5599650873390202,57.67886737863991,0.9613144563106651,2.4092865261818814
13,50,30,6,400,0,0.9682956520733454,81595322.9289803,35205500.000000425,17390649.062459003,0.9999999999999997,0.4939753465355922,53.848674682301535,0.8974779113716923,2.2609538406735115
14,50,30,6,400,0,1.0,77490106.39416552,32510500.000000414,17104877.2055461,0.983567499068807,0.5261339322848274,56.701432020886,0.9450238670147667,2.3659310128426285
