int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,200,45,8,500,0,0.6564774757579792,146281360.91121227,77918499.99999663,21738311.32807362,0.9999999999999927,0.2789878055670292,37.54271881113639,0.6257119801856065,1.5053797003972091
1,200,45,8,500,0,0.6913028837083826,152693385.57787865,82828166.66666266,21738311.328073643,0.9999999999999937,0.2624507121539737,35.96619447015274,0.5994365745025457,1.5007000279341072
2,200,45,8,500,0,0.6679043650732499,138784703.24454743,72178333.33333105,21738311.328073684,0.9999999999999956,0.30117502474991625,39.57064338944546,0.6595107231574243,1.568355108030607
3,200,45,8,500,0,0.6695860721607451,144150404.24454695,76286833.33333056,21738311.328073703,0.9999999999999964,0.2849549572085331,38.09770793762966,0.6349617989604943,1.532511836888066
4,200,45,8,500,0,0.6046032289830813,148168095.5778777,79363166.66666277,21738311.32807361,0.9999999999999921,0.2739093239484481,37.064659423347244,0.617744323722454,1.4414750118642938
5,200,45,8,500,0,0.6765329121500956,139895987.09687203,73049166.66666372,21725610.26364863,0.9994157290217501,0.297410788582797,39.25630830423436,0.6542718050705727,1.568733348086906
6,200,45,8,500,0,0.6084693419406279,139407229.91121387,72654999.99999757,21738311.328073595,0.9999999999999915,0.29919910987646164,39.39393963639931,0.6565656606066551,1.5043942904484524
7,200,45,8,500,0,0.6184265637442908,134795019.2525107,69153333.33333111,21719261.063536838,0.9991236548115703,0.31407395734412713,40.74186146086188,0.6790310243476979,1.5487167539672906
8,200,45,8,500,0,0.6501049169114895,154422094.24454504,84151833.33332938,21738311.328073606,0.999999999999992,0.25832249241638183,35.5635637948486,0.5927260632474767,1.4494889740920716
9,200,45,8,500,0,0.6329358750670588,141023404.91121325,73892499.99999744,21738311.328073632,0.9999999999999931,0.29418833207801043,38.94247202056691,0.6490412003427818,1.517327741072249
10,200,45,4,200,0,0.6418197108369953,111288647.96448383,71587999.99999765,8695324.531229502,0.9999999999999997,0.12146343704573095,19.748644989391877,0.32914408315653126,1.0681345436301113
11,200,45,4,200,0,0.6427299288012999,113601573.96448298,73358999.99999718,8695324.5312295,0.9999999999999996,0.11853112135157014,19.34656293307285,0.3224427155512142,1.0599975414337701
12,200,45,4,200,0,0.7313393835262576,110855273.63115098,71256166.66666493,8695324.531229503,1.0,0.1220290809622987,19.825849758963614,0.3304308293160602,1.1593934776121568
13,200,45,4,200,0,0.659261910881615,111808218.29781677,71985833.33333093,8695324.531229502,0.9999999999999997,0.12079216324364458,19.656873470122324,0.3276145578353721,1.0835101993119027
14,200,45,4,200,0,0.6589486930674926,110541615.96448426,71015999.99999802,8695324.531229502,0.9999999999999997,0.12244176708389298,19.882104860002478,0.33136841433337466,1.0882705210679817
15,200,45,4,200,0,0.6493794681087213,117207439.96448365,76119999.99999763,8695324.531229498,0.9999999999999994,0.1142317988863606,18.75136937267788,0.3125228228779646,1.0532877300957744
16,200,45,4,200,0,0.6375921318407985,107869539.96448453,68969999.9999984,8695324.5312295,0.9999999999999996,0.12607401089212267,20.374611783118887,0.3395768630519814,1.078028203606478
17,200,45,4,200,0,0.6228916726190848,110304576.96448374,70834499.99999769,8695324.531229498,0.9999999999999992,0.12275550093852264,19.924830505516155,0.33208050842526926,1.0531765817951722
18,200,45,4,200,0,0.6966513971603691,118404606.63115032,77036666.66666427,8695324.531229515,1.000000000000001,0.11287254378300096,18.5617778102714,0.30936296350452336,1.0963123956912932
19,200,45,4,200,0,0.6241289866146165,102870171.96448462,65141999.99999866,8695324.531229498,0.9999999999999994,0.13348261538223694,21.364793681484063,0.35607989469140106,1.086994973611807
20,200,40,10,600,0,0.6532098333649439,149737262.89345878,73742166.66666453,26085973.593688287,0.9999999999999908,0.3537456895130879,44.00908546517764,0.7334847577529607,1.669691142728375
21,200,40,10,600,0,0.5853624577170089,140787244.89346147,66889166.66666529,26085973.59368824,0.9999999999999888,0.38998801889227863,46.80679705740906,0.7801132842901509,1.6774661571209828
22,200,40,10,600,0,0.6210142457068519,151937655.2267918,75426999.99999769,26085973.59368819,0.999999999999987,0.34584397621129026,43.37173684932577,0.7228622808220961,1.6205517074979803
23,200,40,10,600,0,0.5744793028063088,147192086.56012493,71793333.33333117,26085973.59368819,0.999999999999987,0.3633481325149361,44.770069872663996,0.7461678312110666,1.611325640029324
24,200,40,10,600,0,0.661952182038334,150146693.89345735,74055666.66666417,26085973.59368831,0.9999999999999916,0.352248177186835,43.889078268190566,0.7314846378031761,1.675235361590978
25,200,40,10,600,0,0.6459748696358109,144045932.56012797,69384333.33333202,26085973.593688294,0.999999999999991,0.37596345371465395,45.74790751033023,0.7624651251721705,1.7092107577797044
26,200,40,10,600,0,0.612786801254903,148968578.84958345,73177499.99999776,26070732.31637828,0.9994157290217478,0.35626705362138744,44.23617417102336,0.7372695695170559,1.6350700136690688
27,200,40,10,600,0,0.5536616966687,144136917.22679093,69453999.99999772,26085973.593688227,0.9999999999999885,0.3755863390688669,45.71902970306586,0.7619838283844309,1.6161145963082244
28,200,40,10,600,0,0.6254194286776008,144761838.2267931,69932499.9999983,26085973.59368832,0.9999999999999919,0.3730164600677647,45.52166565939844,0.7586944276566406,1.6825270243884534
29,200,40,10,600,0,0.6204788837345918,149621133.41246897,73654166.66666485,26085387.219364196,0.9999775214706007,0.3541603740820026,44.04324342226127,0.7340540570376878,1.6378612400378816
30,200,40,6,800,0,0.6070857437576883,162032342.9230509,70141499.99999805,34381508.34052012,0.988505610602513,0.4901735540374968,54.22250793579139,0.9037084655965232,1.902933052584209
31,200,40,6,800,0,0.6007290883511502,154427940.25638667,64318833.33333189,34381508.34052017,0.9885056106025145,0.5345480718273955,56.892554452345266,0.9482092408724211,1.9765767866854875
32,200,40,6,800,0,0.5540358389262615,160437716.9230532,68920499.99999858,34381508.34052022,0.9885056106025158,0.4988575001707899,54.76143745060718,0.9126906241767864,1.86581246323968
33,200,40,6,800,0,0.6413402500422896,146203405.256392,58021333.33333315,34381508.340520024,0.9885056106025101,0.5925666710035411,60.09299157288873,0.9984513408639273,2.1138449277090494
34,200,40,6,800,0,0.626879892409148,158306558.53579447,67336499.99999818,34351027.91726131,0.9876292654140918,0.5101397892266785,55.49864820043735,0.9249774700072891,1.9599691937977801
35,200,40,6,800,0,0.6078713995938182,159942089.92305073,68540999.99999799,34381508.34052014,0.9885056106025136,0.5016195903258073,54.931131662884425,0.9155188610480738,1.9246859329025379
36,200,40,6,800,0,0.5574103845601901,156968327.92305237,66263999.99999833,34381508.34052025,0.9885056106025167,0.5188565184794325,55.9718009120088,0.9328633485334801,1.9053589478772162
37,200,40,6,800,0,0.5353663341371171,151943397.8514713,62421333.333332084,34378381.25173722,0.9884157034123998,0.5507473073052681,57.82284800941698,0.963714133490283,1.9396783134716147
38,200,40,6,800,0,0.5791146036788442,156530164.92305312,65928499.99999852,34381508.34051998,0.9885056106025089,0.5214968995278333,56.128478522455474,0.9354746420409246,1.9317867653420353
39,200,40,6,800,0,0.5017239968089163,161208692.25638303,69510833.33333106,34381508.34052023,0.9885056106025163,0.49462086255890125,54.49954265510226,0.908325710918371,1.8057463977744084
40,200,50,8,800,0,0.6508571959698245,170906864.25637928,76939499.99999693,34381508.34052007,0.9885056106025114,0.44686420291945533,51.40694634020272,0.8567824390033787,1.8651309973087675
41,200,50,8,800,0,0.6810272292480787,181501332.75637397,84996999.9999951,34416341.67385359,0.9895071066711291,0.4049124283663609,48.406256122609435,0.8067709353768239,1.8117281073179914
42,200,50,8,800,0,0.6949249348124406,167863666.5897129,74609333.33333024,34381508.340520136,0.9885056106025134,0.4608204738529795,52.338902029788116,0.8723150338298019,1.935896347724626
43,200,50,8,800,0,0.7353922765711224,173691473.92304593,79071666.66666354,34381508.34052014,0.9885056106025136,0.43481451435012336,50.58279374088651,0.8430465623481085,1.9262904503993294
44,200,50,8,800,0,0.783902096837485,179643786.5897081,83629333.33332881,34381508.34052017,0.9885056106025145,0.41111780962647115,48.9067847365412,0.8151130789423533,1.9279094234810152
45,200,50,8,800,0,0.8040357035762521,161266406.50678593,69837166.66666497,34203465.18958511,0.9833866771373053,0.4897602068084942,54.48003828144024,0.908000638024004,2.1038445070470515
46,200,50,8,800,0,0.7346555128609676,176954148.08407566,81579666.66666245,34375274.15849662,0.9883263711157889,0.4213706130837144,49.650150025449705,0.8275025004241617,1.899254503752101
47,200,50,8,800,0,0.751924734040739,177508041.2563761,81993999.9999959,34381508.34052016,0.9885056106025141,0.41931736883823056,49.495222513951404,0.8249203752325234,1.9122990043438468
48,200,50,8,800,0,0.6730020443709767,175714685.58971128,80620833.3333299,34381508.34052022,0.9885056106025156,0.4264593519936536,50.000374018336686,0.8333395669722781,1.8475090929381777
49,200,50,8,800,0,0.6658618218252417,178812751.20245388,83040833.33332974,34351027.91726113,0.9876292654140868,0.41366429668852817,49.13407987360261,0.8189013312267102,1.8156945904027744
50,200,50,6,800,0,0.7403873079500215,188624930.92304146,90506166.66666152,34381508.340520225,0.988505610602516,0.3798802844799399,46.57814827025483,0.7763024711709138,1.8205940067048871
51,200,50,6,800,0,0.7132776867274192,168134226.2563824,74816499.99999766,34381508.34052015,0.9885056106025139,0.45954446332722365,52.25467886950525,0.8709113144917542,1.9518245718809524
52,200,50,6,800,0,0.694668724383649,162660323.7563831,70570499.99999774,34416341.673853524,0.9895071066711271,0.4876873718317799,54.01317172562943,0.9002195287604905,1.9850381506095633
