int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,150,25,6,400,0,0.9025270193195217,98596113.55985649,48224000.000000864,17389085.518067487,0.9999100928098829,0.3605898622691435,44.563622655700094,0.7427270442616682,1.9337259533965048
1,150,25,6,400,0,0.5958217580388102,103625022.92897943,52072166.666667156,17390649.062459007,1.0,0.3339720656100766,42.400955636085506,0.7066825939347584,1.56968200446163
2,150,25,6,400,0,0.6237999184326593,101175619.9289793,50196666.66666715,17390649.062459044,1.000000000000002,0.34645027682699137,43.427458147370366,0.7237909691228395,1.6247511090170919
3,150,25,6,400,0,0.6202136453859469,109680291.92897666,56708666.66666657,17390649.062458996,0.9999999999999994,0.3066665129808323,40.060068429113954,0.6676678071518992,1.533214662922512
4,150,25,6,400,0,0.8555152187942251,93068407.2623161,43989000.00000124,17390649.06245898,0.9999999999999986,0.39534085936162433,47.210435090136905,0.786840584835615,1.9586284911191396
5,150,25,6,400,0,0.5055357144639758,102281701.0686845,51067500.00000055,17375408.850829598,0.9991236548115786,0.3402439682935215,42.95783071743657,0.7159638452906095,1.4936947343894027
6,150,25,6,400,0,0.8940503703658405,95352601.26231602,45738000.00000132,17390649.062459003,0.9999999999999999,0.3802232074524138,46.0794980087917,0.7679916334798617,1.9662205698076334
7,150,25,6,400,0,0.6040508579552245,99698316.26231441,49065500.00000091,17390649.062458977,0.9999999999999982,0.35443741656476857,44.07095490398808,0.7345159150664681,1.6221167062735073
8,150,25,6,400,0,0.547630631203773,98510726.92898196,48156166.666667864,17390649.06245898,0.9999999999999986,0.3611302615267387,44.6022492877102,0.7433708214618366,1.5799056618870007
9,150,25,6,400,0,0.9554513478594261,95098701.06868649,45567500.00000099,17375408.85082964,0.9991236548115809,0.38131143580028004,46.20252380551982,0.7700420634253303,2.0305425599249807
10,150,20,6,400,0,1.0,82077856.26231304,35572166.66666693,17390649.062459048,1.0000000000000024,0.4888836045726458,53.53209988767046,0.8922016647945077,2.2833085484526245
11,150,20,6,400,0,0.5452301856659435,91047028.92898239,42439833.33333437,17390649.062458996,0.9999999999999994,0.4097718510312695,48.25857638284066,0.8043096063806776,1.6773572728716366
12,150,20,6,400,0,0.85680967931083,85508935.92897992,38199333.33333368,17390649.062458962,0.9999999999999974,0.4552605384681794,51.38410333686415,0.8564017222810691,2.0774198323664423
13,150,20,6,400,0,0.5483330143172501,102957525.70044836,51689000.00000046,17308211.339082733,0.9952596522947362,0.33485289595624945,42.675850746293385,0.7112641791048897,1.5274795101871395
14,150,20,6,400,0,0.985310070437101,88408473.5956477,40419500.00000062,17390649.062458977,0.9999999999999982,0.4302539383826794,49.69885601798587,0.8283142669664312,2.1578274881096755
15,150,20,6,400,0,0.8993824470159112,83958152.76770262,37249666.66666724,17239102.701008704,0.9912857558733995,0.4627988447594638,52.33321428779964,0.872220238129994,2.141841760953476
16,150,20,6,400,0,0.8635830577981954,80593369.5956471,34435500.00000051,17390649.062459003,0.9999999999999999,0.5050209540288002,54.51813247224387,0.9086355412040645,2.1762353622253
17,150,20,6,400,0,0.8988330207027526,85429922.92898086,38138833.33333389,17390649.06245899,0.9999999999999988,0.45598272266129625,51.431627810932596,0.8571937968488766,2.1208129956806663
18,150,20,6,400,0,0.8701979098445031,99575644.26231378,48970166.66666733,17390649.06245904,1.000000000000002,0.3551274223923846,44.12524802174856,0.735420800362476,1.8897206481208868
19,150,20,6,400,0,0.5860771931144163,86691711.38542245,39886000.000000626,16892839.784652643,0.9713748879631537,0.42352804955754847,50.68304604653167,0.8447174341088612,1.7696170668693163
20,150,30,6,400,0,0.6109676066292273,114421632.92897429,60340499.999999404,17390649.062459018,1.0000000000000007,0.28820856742087303,38.40008123924777,0.6400013539874628,1.4815358145533886
21,150,30,6,400,0,0.5916793051654015,111852513.26230855,58373333.33333294,17390649.06245903,1.000000000000001,0.2979211237287428,39.28208559512626,0.6547014265854377,1.4847176307338334
22,150,30,6,400,0,0.5488173542503416,106994410.92897767,54653500.000000246,17390649.06245903,1.000000000000001,0.3181982684084084,41.06569644013071,0.6844282740021784,1.4878042429792466
23,150,30,6,400,0,0.6031212761154093,111086326.59564203,57786666.666666366,17390649.06245901,1.0000000000000002,0.3009457036650744,39.55302272253164,0.6592170453755273,1.503094884422996
24,150,30,6,400,0,0.6591057753600087,112750388.26230876,59060833.333332956,17390649.062458992,0.9999999999999991,0.29445316093506585,38.96926713704985,0.6494877856174974,1.5441560897255588
25,150,30,6,400,0,0.8475114824820338,106453291.5956449,54239166.66666682,17390649.06245898,0.9999999999999983,0.3206289869705274,41.2744400303706,0.68790733383951,1.7919220058979657
26,150,30,6,400,0,0.6942610575671045,109589868.26230994,56640833.333333224,17390649.062458966,0.9999999999999977,0.30703377826583883,40.09312238137905,0.6682187063563174,1.608106786536093
27,150,30,6,400,0,0.6223745862073241,109288182.26231045,56409833.33333343,17390649.06245902,1.0000000000000009,0.308291091017683,40.203797968330406,0.6700632994721735,1.539070758493644
28,150,30,6,400,0,0.6294986997129559,107331911.06868221,54935833.33333336,17375408.85082955,0.999123654811576,0.3162855243389326,40.93656729160805,0.6822761215268008,1.5648032407109027
29,150,30,6,400,0,0.8769363433314867,92546902.73535325,43615000.000000976,17375408.850829575,0.9991236548115773,0.39838149377116094,47.47646728453456,0.7912744547422427,1.9869159930906584
30,150,25,4,400,0,0.5804762537839001,100567459.26231441,49731000.00000095,17390649.06245899,0.999999999999999,0.3496943367810552,43.690076613544186,0.7281679435590698,1.5883996667678142
31,150,25,4,400,0,0.6340465312409126,103273055.9289791,51802666.666667126,17390649.062458996,0.9999999999999994,0.3357095335335152,42.54546319440394,0.7090910532400657,1.6117052113077905
32,150,25,4,400,0,0.5594589360694717,98692696.26231495,48295500.00000096,17390649.06245897,0.9999999999999979,0.3600883946218307,44.520011777991506,0.7420001962998585,1.5895298480667948
33,150,25,4,400,0,0.5425221306965259,101292942.26231405,50286500.000000864,17390649.06245899,0.9999999999999988,0.34583136751332244,43.37715838702327,0.7229526397837212,1.542139864490905
34,150,25,4,400,0,0.5635994380273293,98994382.26231466,48526500.00000101,17390649.06245898,0.9999999999999986,0.3583742710160143,44.38433676324519,0.7397389460540864,1.590037800894227
35,150,25,4,400,0,0.49215283700760176,78422191.34206688,36212000.0000007,15199602.737301525,0.8740100891411081,0.41973938852593706,56.02750860193188,0.9337918100321979,1.7617361578605495
36,150,25,4,400,0,0.5570695451131358,100196337.59564751,49446833.33333418,17390649.06245902,1.0000000000000009,0.35170399983400474,43.85190222951687,0.7308650371586144,1.569297782138954
37,150,25,4,400,0,0.5954403835304749,98697484.92898206,48299166.666667834,17390649.06245902,1.0000000000000007,0.3600610582472148,44.51785172805128,0.7419641954675213,1.6254534255957682
38,150,25,4,400,0,0.5264346048116518,106038510.92897871,53920166.66666706,17390649.062459014,1.0000000000000002,0.32252587737659477,41.435889296322074,0.6905981549387012,1.4750534616516289
39,150,25,4,400,0,0.5165903814708366,94751623.59564894,45277833.33333449,17390649.06245905,1.0000000000000024,0.3840874834807011,46.371764759941975,0.7728627459990329,1.5967231142544305
40,150,25,8,400,0,0.9257852656287142,94524161.92898127,45103666.66666754,17390649.062459033,1.0000000000000016,0.385570627571861,46.48335314838537,0.7747225524730895,2.0089643201592926
41,150,25,8,400,0,0.9995677952688802,95359784.26231539,45743500.00000108,17390649.062458966,0.9999999999999977,0.3801774910633982,46.07602705888626,0.767933784314771,2.0716435724343696
42,150,25,8,400,0,0.5704364677343874,93927972.9289821,44647166.66666774,17390649.062458992,0.9999999999999991,0.3895129380167889,46.778396924653144,0.779639948744219,1.6616867668920374
43,150,25,8,400,0,0.5777850496187299,97990860.69201475,47851833.333334096,17330909.236381724,0.9965648305671212,0.3621785839563399,44.83887547237402,0.7473145912062337,1.6148425079900355
44,150,25,8,400,0,0.5223128364383168,106141366.402017,54022833.333333746,17375408.85082961,0.9991236548115792,0.32163083234859596,41.3957361671623,0.6899289361193717,1.4695464384365653
45,150,25,8,400,0,0.9510244435469386,95296690.16517927,45705000.00000073,17384395.720763125,0.9996404193038785,0.38036091720299414,46.106533106072796,0.7684422184345466,2.0237553957438807
46,150,25,8,400,0,0.8001606620282882,95649498.59564874,45965333.33333437,17390649.062458992,0.9999999999999991,0.3783427161583788,45.93646662565863,0.7656077770943105,1.8684426120493018
47,150,25,8,400,0,1.0,79073027.13393547,35051500.00000033,16256922.791898899,0.9348082830900504,0.46380105821145307,55.56635630703368,0.9261059384505613,2.297146785019724
48,150,25,8,400,0,0.901797116542089,78781333.45340258,33267666.666667134,17251550.733724155,0.9920015447246805,0.5185681011710243,55.77209482749915,0.9295349137916525,2.246186511270561
49,150,25,8,400,0,0.8376527656664344,98719009.09394696,48321166.66666738,17387131.329401825,0.9997977227276252,0.3598243281115916,44.50814529366472,0.7418024215610787,1.8673146497167865
50,150,25,6,300,0,0.8683642338987121,81097694.94673634,41644166.666667454,13042986.796844313,1.0000000000000038,0.31320081156250135,40.63987271357871,0.6773312118929785,1.7962560950416915
51,150,25,6,300,0,0.5002539227909336,85275806.61340359,44843333.333334334,13042986.796844337,1.0000000000000056,0.29085676347678685,38.648710940272345,0.6441451823378724,1.3770845159102354
52,150,25,6,300,0,0.8705551891550608,88175867.21818157,47081833.33333433,13031556.638122253,0.9991236548115823,0.27678524210941896,37.37757397775179,0.6229595662958631,1.7149429491384591
53,150,25,6,300,0,0.5531614790591534,94333569.61340104,51778833.333333924,13042986.796844292,1.0000000000000022,0.25189804321928483,34.937721677520386,0.5822953612920064,1.3369752749265875
54,150,25,6,300,0,0.5828331046585153,89226456.61340328,47868333.33333442,13042986.796844311,1.0000000000000036,0.27247630925477556,36.937474882364846,0.6156245813727474,1.4164387334350832
55,150,25,6,300,0,0.5324860206812817,85529605.94673693,45037666.66666778,13042986.796844296,1.0000000000000024,0.2896017436555469,38.53402530642361,0.6422337551070602,1.4064011707127793
56,150,25,6,300,0,0.5742567346914194,89243216.94673643,47881166.666667596,13042986.796844319,1.0000000000000042,0.27240327888510235,36.93053783535227,0.6155089639225378,1.407688321722039
