int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,100,50,2,700,0,0.9458711733747305,148672528.69798684,66350166.66666531,30279670.260936793,0.9949409397195164,0.4563616307560756,51.709620246097955,0.8618270041016326,2.1727874820812234
1,100,50,2,700,0,1.0,135424740.2327316,56274166.66666654,30236462.615616605,0.9935212064507101,0.5373062704725378,56.76806163178366,0.9461343605297277,2.375979376907758
2,100,50,2,700,0,1.0,139569273.36465812,59379833.333332956,30279670.260936797,0.9949409397195165,0.5099318836238508,55.08232445915071,0.9180387409858451,2.325984247884926
3,100,50,2,700,0,1.0,137942082.17774615,58215666.66666633,30227552.38868423,0.9932284308200373,0.5192339814944043,55.73208609461061,0.9288681015768435,2.3442552867723667
4,100,50,2,700,0,0.9930239423503245,146114958.62017173,64349999.999998935,30306340.631288294,0.9958172849079387,0.47096100437123223,52.61473618169762,0.8769122696949604,2.246705015542271
5,100,50,2,700,0,1.0,135464108.51108065,56231999.999999896,30282552.388684314,0.9950356417709191,0.5385288161311063,56.75156382379437,0.9458593970632395,2.3766824499681247
6,100,50,2,700,0,0.986070128461567,145959326.95350537,64230833.333332315,30306340.631288208,0.9958172849079359,0.4718347724683943,52.670837557704765,0.8778472926284128,2.2413852390646953
7,100,50,2,700,0,0.9841139093811917,150095879.5110738,67435499.99999838,30282552.38868426,0.9950356417709174,0.44905950706504716,51.219260815436364,0.8536543469239394,2.1970158619571687
8,100,50,2,700,0,1.0,143858641.17774305,62659666.66666562,30282552.388684273,0.9950356417709177,0.48328620306552506,53.43995979012077,0.8906659965020128,2.2772949589544327
9,100,50,2,700,0,0.9866009744073372,150226028.95350352,67497833.33333187,30306340.63128817,0.9958172849079348,0.4489972364242136,51.174886626201456,0.8529147771033576,2.1987135406500657
10,100,45,8,200,0,0.9675537078146923,93707058.2978201,58125833.333333224,8695324.531229507,1.0000000000000004,0.14959483645360538,23.45394295715638,0.39089904928593966,1.4781286262635163
11,100,45,8,200,0,0.9648630626807999,97006449.63115294,60652166.66666614,8695324.531229509,1.0000000000000007,0.14336379076146635,22.656225522701657,0.37760375871169427,1.4571578540016672
12,100,45,8,200,0,0.9283372057310199,96054651.70100558,59935333.333332814,8687704.425414788,0.9991236548115774,0.14495129904588608,22.880724265610883,0.38134540442684806,1.4256436493945768
13,100,45,8,200,0,0.992856776987029,110125001.96448468,70696999.99999811,8695324.531229502,0.9999999999999999,0.12299425055136336,19.957320869867413,0.3326220144977902,1.42387419192591
14,100,45,8,200,0,1.0,96896310.29781938,60567833.33333271,8695324.531229502,0.9999999999999999,0.14356340738449602,22.68197822233754,0.37803297037229233,1.4928836962798893
15,100,45,8,200,0,1.0,100667385.297818,63455333.33333199,8695324.531229502,0.9999999999999997,0.13703063358839845,21.83229447648759,0.3638715746081265,1.4734960814788451
16,100,45,8,200,0,0.8876192161514436,98534034.29781839,61821833.333332315,8695324.531229502,0.9999999999999997,0.14065135345219965,22.304983406618323,0.3717497234436387,1.371890022356842
17,100,45,8,200,0,0.975763357188847,107968854.36767057,69057999.99999838,8687704.425414788,0.9991236548115774,0.12580301232898422,20.355870337530355,0.3392645056255059,1.4156702726775403
18,100,45,8,200,0,1.0,106555050.96448459,67963499.99999827,8695324.531229498,0.9999999999999994,0.1279410938405132,20.62595794480488,0.343765965746748,1.4461188408191585
19,100,45,8,200,0,0.9814856525437188,107868292.36767083,68980999.9999985,8687704.425414788,0.9991236548115773,0.1259434398662672,20.374847434394926,0.33958079057324875,1.4218211950099815
20,100,45,4,300,0,0.933686071098953,104928344.28006361,59896833.33333301,13042986.79684432,1.0000000000000042,0.21775753526498715,31.41000672995659,0.5235001121659432,1.6313922114768857
21,100,45,4,300,0,0.9650816859288133,105548476.6133963,60371666.66666601,13042986.796844332,1.000000000000005,0.2160448355494212,31.225462514934055,0.520424375248901,1.6583419296172512
22,100,45,4,300,0,1.0,102172466.61339816,57786666.66666659,13042986.796844319,1.0000000000000042,0.22570927774880598,32.257222608422495,0.5376203768070416,1.7181877990060863
23,100,45,4,300,0,0.9872232917914473,110835164.61339438,64419666.66666528,13042986.796844339,1.0000000000000058,0.20246902028124877,29.736050029754765,0.4956008338292461,1.6447993418456925
24,100,45,4,300,0,0.9686229130860704,109391381.61339508,63314166.6666653,13042986.796844326,1.0000000000000047,0.20600424018075902,30.128516080433396,0.5021419346738899,1.6355682399045675
25,100,45,4,300,0,1.0,104985808.28006336,59940833.33333287,13042986.796844305,1.000000000000003,0.21759768877939759,31.392814457436216,0.5232135742906036,1.6972917253141215
26,100,45,4,300,0,1.0,98710260.61339912,55135666.666666776,13042986.796844307,1.0000000000000033,0.2365616956388354,33.38862626356618,0.5564771043927697,1.745726460903838
27,100,45,4,300,0,1.0,116442693.28006177,68713333.33333163,13042986.796844337,1.0000000000000056,0.1898174075411564,28.304051608228583,0.4717341934704764,1.6235881195034014
28,100,45,4,300,0,1.0,97299998.28006697,54055833.333333746,13042986.796844328,1.0000000000000049,0.2412873133675532,33.87255969433232,0.5645426615722052,1.7575725122662478
29,100,45,4,300,0,1.0,111076992.28006245,64604833.33333229,13042986.796844298,1.0000000000000024,0.2018887151917608,29.67131115407032,0.49452185256783865,1.6560328247212475
30,100,50,2,490,0,0.9762864327686854,125302629.24632663,62538666.66666567,21303545.101512097,0.9999999999999909,0.340645975314138,42.952011720518456,0.7158668620086409,1.9646700750286366
31,100,50,2,490,0,1.0,129061732.5796583,65416999.99999869,21303545.101512164,0.999999999999994,0.3256576287740586,41.700974351000376,0.6950162391833395,1.9555423422025866
32,100,50,2,490,0,0.9437670532407788,124969816.91299394,62283833.333332494,21303545.10151213,0.9999999999999925,0.3420397230128592,43.06639901494805,0.7177733169158008,1.935172148566867
33,100,50,2,490,0,1.0,119692706.2463311,58243166.66666677,21303545.101512205,0.9999999999999959,0.3657690046874541,44.96514590390902,0.7494190983984836,2.042034302148447
34,100,50,2,490,0,0.9871225153576493,123478147.24632806,61141666.666666016,21303545.10151213,0.9999999999999923,0.3484292506721388,43.5866598262394,0.7264443304373233,1.9923102463326834
35,100,50,2,490,0,1.0,126071266.26746444,63156499.999998964,21284875.84226609,0.9991236548115705,0.3370179766495363,42.69013994498878,0.7115023324164796,1.9811167137361085
36,100,50,2,490,0,0.9431406849970211,129155111.57965825,65488499.99999863,21303545.101512123,0.9999999999999921,0.32530207748707896,41.67082459357851,0.6945137432263084,1.8978960902129927
37,100,50,2,490,0,1.0,125886846.57965903,62985999.99999881,21303545.101512134,0.9999999999999926,0.3382266710302692,42.75267945959996,0.7125446576599993,1.9831259944842148
38,100,50,2,490,0,0.9433080541105064,128326672.24632515,64854166.666665405,21303545.101512164,0.999999999999994,0.3284838306690022,41.939839207153774,0.6989973201192295,1.905092438764938
39,100,50,2,490,0,1.0,124507710.57966037,61929999.99999917,21303545.10151214,0.9999999999999929,0.3439939464155083,43.22623855939092,0.7204373093231821,1.995632466455589
40,100,45,2,754,0,0.9811365542580144,155844947.38716587,68520833.3333314,32395675.47771626,0.9882342329182109,0.472785777722841,53.13435012704129,0.8855725021173548,2.244937678553642
41,100,45,2,754,0,0.9074249587845952,151746350.01706204,65207999.99999891,32506931.194273505,0.9916281028125228,0.4985113972867447,54.56948387271874,0.9094913978786457,2.2157254744926367
42,100,45,2,754,0,0.9495952112875152,149383961.7205026,63550666.66666554,32410342.14438289,0.9886816414648466,0.5099921660048172,55.432456768640456,0.9238742794773409,2.28146322356871
43,100,45,2,754,0,0.96014824453747,155956483.7204991,68456666.66666478,32491008.811049543,0.9911423884713483,0.47462154371695636,53.096349715350584,0.8849391619225098,2.224784641433545
44,100,45,2,754,0,1.0,143559327.8871727,58972833.33333301,32485508.81104954,0.9909746102663594,0.5508554867532177,57.68151830933654,0.9613586384889423,2.4020430278915166
45,100,45,2,754,0,0.9388712043670497,142459008.88717338,58153333.3333332,32470842.144382805,0.9905272017197205,0.5583659660274483,58.12703643444745,0.9687839405741241,2.3543479177631323
