int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,100,40,10,200,0,0.8893681247208564,101444982.63115323,64049333.33333243,8695324.5312295,0.9999999999999996,0.13575979762312837,21.664945303318206,0.3610824217219701,1.359058384541329
1,100,40,10,200,0,0.8531125730013276,93761566.96448588,58166166.66666617,8695324.531229498,0.9999999999999992,0.14949110504496435,23.440307912435614,0.3906717985405936,1.3633772555778927
2,100,40,10,200,0,0.9899328049073531,96924481.29782037,60587999.99999959,8695324.531229502,0.9999999999999997,0.14351562242076912,22.67538572888317,0.3779230954813862,1.4826683983253546
3,100,40,10,200,0,0.9058253300138853,97077718.63115375,60705333.333332926,8695324.531229494,0.9999999999999988,0.14323823054365709,22.639592596428113,0.3773265432738019,1.3977424577226127
4,100,40,10,200,0,0.9227231362625926,88901070.29782006,54444500.000000045,8695324.531229502,0.9999999999999997,0.15970987944107293,24.72186209499316,0.4120310349165527,1.4625220747320036
5,100,40,10,200,0,0.9836819054138511,105996610.2978186,67534499.99999845,8695324.531229502,0.9999999999999999,0.12875381517934836,20.734625322685723,0.3455770887114287,1.4322620462687585
6,100,40,10,200,0,0.9642468969279632,97944467.29781899,61368999.99999904,8695324.531229498,0.9999999999999994,0.1416892002677188,22.439246040485028,0.3739874340080838,1.451585691150222
7,100,40,10,200,0,0.9667710343185534,91151743.63115281,56167833.33333311,8695324.531229498,0.9999999999999994,0.1548096840343886,24.111442222031844,0.4018573703671974,1.4924761519132614
8,100,40,10,200,0,0.941664452931656,90342458.9644873,55548166.666666776,8695324.531229496,0.9999999999999991,0.15653666093803537,24.327431699240474,0.40545719498734123,1.4723509766694254
9,100,40,10,200,0,0.9843436566233329,97598435.70100594,61115999.999999374,8687704.425414791,0.9991236548115778,0.14215106396712612,22.518803546534173,0.3753133924422362,1.47337790023927
10,100,45,10,200,0,0.9944273205267611,94482822.29781961,58719833.33333287,8695324.531229498,0.9999999999999994,0.14808156014117152,23.26137118419587,0.3876895197365978,1.5005820883762961
11,100,45,10,200,0,1.0,101723286.29781905,64263833.333332136,8695324.53122949,0.9999999999999983,0.13530665819649182,21.605672407843954,0.36009454013073255,1.468339866687926
12,100,45,10,200,0,0.938560996983746,98888395.63115339,62093166.6666661,8695324.531229505,1.0000000000000002,0.1400367383082344,22.225054678787956,0.37041757797979924,1.4210079656101327
13,100,45,10,200,0,0.9049588223765663,105114847.0469687,66863499.99999893,8693565.664700938,0.9997977227276281,0.13001960209532973,20.908559178304774,0.3484759863050796,1.3574504903579099
14,100,45,10,200,0,0.8617276104766859,107715055.03433716,68863666.6666649,8687704.425414804,0.9991236548115792,0.12615802855034866,20.403833051000998,0.34006388418335,1.3027179175003147
15,100,45,10,200,0,0.9890781520795241,108453757.29781786,69417333.33333167,8695324.531229498,0.9999999999999994,0.12526157536873173,20.264858081078405,0.3377476346846401,1.4270350470591495
16,100,45,10,200,0,0.9457392671367542,97620545.70100516,61134333.333332725,8687704.425414786,0.9991236548115772,0.1421084348470015,22.513703280572525,0.37522838800954206,1.4346544030238975
17,100,45,10,200,0,0.9258263868351078,101706525.96448578,64250999.9999991,8695324.531229498,0.9999999999999992,0.135333684008492,21.609232831012584,0.3601538805168764,1.3942472145587779
18,100,45,10,200,0,0.9959234947442486,99666553.96448606,62688999.99999902,8695324.531229496,0.9999999999999991,0.13870574632279398,22.051529952396436,0.36752549920660726,1.474413591009091
19,100,45,10,200,0,0.917201374966621,97602238.13748917,61108666.666666,8695129.073121447,0.999977521470607,0.1422896218723183,22.517926247798016,0.3752987707966336,1.4063318432611092
20,100,40,8,200,0,0.895876195299545,85589707.2978223,51909000.00000066,8695324.531229507,1.0000000000000002,0.1675109235629543,25.67832125365756,0.4279720208942927,1.457856955044201
21,100,40,8,200,0,0.9258958846875774,92686511.2978214,57343000.000000134,8695324.531229494,0.9999999999999988,0.15163707045723931,23.71218820544451,0.3952031367574085,1.4424086778107774
22,100,40,8,200,0,0.9658192633775234,98667555.96448551,61922666.66666568,8695324.531229502,0.9999999999999999,0.14042232027953644,22.274799233813777,0.37124665389689626,1.449403773498049
23,100,40,8,200,0,0.9453924178784112,102342857.63115217,64736833.33333215,8695324.531229498,0.9999999999999992,0.134318039414393,21.474874269399052,0.3579145711566509,1.4107614205665766
24,100,40,8,200,0,0.9673635586488997,96843073.96448576,60525666.66666585,8695324.531229502,0.9999999999999999,0.1436634242976195,22.694446902893397,0.37824078171488995,1.4605350798018852
25,100,40,8,200,0,0.9778254290410292,94999036.80415584,59113999.999999456,8695129.073121442,0.9999775214706065,0.1470908595784674,23.134971405350658,0.3855828567558443,1.4810809734596475
26,100,40,8,200,0,0.9423896543114969,84428455.63115577,51019833.33333397,8695324.531229507,1.0000000000000004,0.17043028099326207,26.031507784550406,0.4338584630758401,1.5125923421819465
27,100,40,8,200,0,0.9455393327939716,98140802.63115206,61519333.333332464,8695324.531229498,0.9999999999999994,0.14134295773517735,22.394355263835692,0.3732392543972615,1.4318529533793751
28,100,40,8,200,0,0.9541599650977887,89315289.96448687,54761666.6666668,8695324.531229496,0.9999999999999991,0.15878487746104894,24.607208921046766,0.4101201486841128,1.4913080157507406
29,100,40,8,200,0,0.9294921267537095,97776863.96448678,61240666.666666195,8695324.531229502,0.9999999999999997,0.14198611812242795,22.47771007258175,0.3746285012096958,1.4177095224613478
30,100,40,10,300,0,0.9595836029095445,100629954.94673093,56604166.66666653,13042986.796844313,1.0000000000000038,0.23042449990744518,32.751679176887755,0.5458613196147959,1.6897845224502965
31,100,40,10,300,0,0.8933589051437898,115671156.94672841,68121166.66666503,13042986.796844332,1.000000000000005,0.19146746063036663,28.492842010025534,0.4748807001670922,1.5214135738151755
32,100,40,10,300,0,0.9353691225316236,108588718.94672969,62698166.666665815,13042986.79684428,1.000000000000001,0.20802820066792688,30.351219095022373,0.5058536515837062,1.6076453346496713
33,100,40,10,300,0,0.8643237477763436,104538029.88484299,59614499.9999997,13031556.63812227,0.9991236548115834,0.21859709698349117,31.527282498346175,0.5254547083057696,1.564656133668906
34,100,40,10,300,0,0.920579173391316,101973175.94673029,57632666.666666344,13042986.79684429,1.000000000000002,0.22631239453627625,32.32026431854678,0.5386710719757797,1.6403001609961168
35,100,40,10,300,0,0.9226455595259833,108763505.28006409,62831999.999999344,13042986.796844304,1.0000000000000029,0.20758509671575692,30.302443742626476,0.5050407290437746,1.5937543659423634
36,100,40,10,300,0,0.855153297403546,98498998.2800657,54972500.00000012,13042986.796844315,1.000000000000004,0.2372638464112836,33.46023875927078,0.5576706459878463,1.602635020520419
37,100,40,10,300,0,0.9057240142789174,106802546.28006265,61330499.999999255,13042986.796844296,1.0000000000000024,0.2126672177276307,30.85881483909193,0.5143135806515322,1.590171369112554
38,100,40,10,300,0,0.9721100556587338,104978064.28006396,59933499.99999968,13042986.79684432,1.0000000000000042,0.21762431356160394,31.395130236040128,0.5232521706006688,1.6694616771086856
39,100,40,10,300,0,1.0,110971080.61339636,64522333.333332494,13042986.79684429,1.000000000000002,0.20214685556181258,29.699629685341037,0.49499382808901726,1.6567113125384672
40,100,45,10,300,0,0.9233021573948409,101749192.55150983,57480499.999999896,13031556.638122236,0.9991236548115808,0.22671265278002556,32.39141183682145,0.5398568639470241,1.6445291435658853
41,100,45,10,300,0,0.9942985457361821,105476646.61339645,60316666.66666604,13042986.796844339,1.0000000000000058,0.21624183691922313,31.24672717440568,0.5207787862400947,1.6880708015116554
42,100,45,10,300,0,0.9503367628418324,103644981.6133983,58914166.66666653,13042986.796844307,1.0000000000000033,0.22138965099244956,31.798934677739847,0.5299822446289975,1.6574307282647895
43,100,45,10,300,0,0.9611300863115474,106934795.61339633,61433166.666666046,13042986.796844315,1.000000000000004,0.21231180980161823,30.82065085639081,0.5136775142731802,1.6446570484260221
44,100,45,10,300,0,1.0,105402422.28006452,60259833.33333311,13042986.79684428,1.000000000000001,0.21644578279358548,31.268731104136656,0.5211455184022776,1.6943021446371462
45,100,45,10,300,0,1.0,90708398.61340214,49008666.666667454,13042986.796844332,1.000000000000005,0.2661363322849861,36.33401151801446,0.6055668586335743,1.8184759244615631
46,100,45,10,300,0,0.9777459941356141,111457682.83655258,64898166.66666568,13041814.13855068,0.9999100928098871,0.20095812884109535,29.56996696973447,0.4928327828289078,1.6313452800373982
47,100,45,10,300,0,0.9827841327577636,114848067.2800611,67492333.33333157,13042986.796844313,1.0000000000000038,0.19325138356719015,28.69704365127081,0.4782840608545135,1.6156693004660292
48,100,45,10,300,0,0.9597417725332098,123228233.9467292,73908999.99999796,13042986.796844287,1.0000000000000018,0.17647359315975927,26.745494067737383,0.44575823446228974,1.5466788815233068
49,100,45,10,300,0,0.9007557190502145,107973936.28006284,62228833.33333248,13042986.796844311,1.0000000000000036,0.2095971609652196,30.52403305415626,0.5087338842359377,1.5771673320583277
50,100,40,8,300,0,0.9423140337469422,102466408.61339676,58010333.33333284,13042986.796844326,1.0000000000000047,0.22483902517674043,32.16468737998784,0.5360781229997973,1.6582633768881319
51,100,40,8,300,0,0.9257005397001924,101415296.28006467,57205499.99999988,13042986.796844328,1.0000000000000049,0.22800232139994156,32.49805621923583,0.5416342703205971,1.649736667140743
52,100,40,8,300,0,0.9073291972639487,106491282.94673121,61092166.666666314,13042986.796844283,1.0000000000000013,0.21349687707116335,30.94901205809133,0.5158168676348555,1.5939435665557347
