int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,200,40,6,700,0,0.5524827702750061,149781498.78683537,67099999.99999819,30341173.964621544,0.9969618518434927,0.45217844954727815,51.32676640484851,0.8554461067474752,1.7696716366603038
1,200,40,6,700,0,0.6093420420599113,148381270.28683734,66082499.99999872,30306340.631288163,0.9958172849079345,0.4586137121217985,51.8111213439448,0.8635186890657466,1.8397517008230966
2,200,40,6,700,0,0.5807658311084589,168737892.28682974,81669499.9999964,30306340.631288238,0.9958172849079369,0.37108517416280956,45.56060227972899,0.7593433713288165,1.636977341767523
3,200,40,6,700,0,0.6048702937611533,150502649.62016925,67706833.33333173,30306340.631288223,0.9958172849079364,0.4476112548652983,51.08082827380162,0.8513471378966937,1.8143064355500855
4,200,40,6,700,0,0.6585739038236783,143243030.95350626,62148166.66666584,30306340.631288208,0.9958172849079359,0.4876465752213974,53.66962670941598,0.8944937784902663,1.9431849424910626
5,200,40,6,700,0,0.6146393076062283,141461190.45350823,60729166.666666314,30341173.96462152,0.9969618518434921,0.49961452840543447,54.34564756138275,0.9057607926897124,1.9200917230202883
6,200,40,6,700,0,0.5339484441898055,147021288.95350438,65041166.666665375,30306340.631288197,0.9958172849079355,0.4659562886780239,52.2903863428328,0.8715064390472133,1.778219914179438
7,200,40,6,700,0,0.6467600986006375,144404704.69798812,63079499.99999888,30279670.260936737,0.9949409397195145,0.48002394218307487,53.2378776444886,0.8872979607414766,1.918077213088574
8,200,40,6,700,0,0.634513129441106,161107151.95349842,75826666.66666412,30306340.631288182,0.9958172849079351,0.399679188912729,47.71855194994067,0.7953091991656778,1.7495656797369672
9,200,40,6,700,0,0.567135227768797,148883157.2888151,66804833.33333227,30090879.268986136,0.988737573390779,0.45042967353639507,51.636465400089605,0.8606077566681601,1.788086723266073
10,200,45,6,700,0,0.6353194127160696,151429817.62016875,68418166.66666485,30306340.631288115,0.9958172849079329,0.4429575083316894,50.76807276677372,0.8461345461128953,1.8358199654943164
11,200,45,6,700,0,0.6916846607953658,146904071.12017074,64898166.66666532,30341173.964621563,0.9969618518434934,0.4675197393550746,52.33210993663485,0.8722018322772475,1.9379022845566731
12,200,45,6,700,0,0.6926056301444519,162252204.28683117,76704833.33333056,30306340.631288264,0.9958172849079377,0.39510340240996583,47.381790797796654,0.789696513296611,1.7983848653690355
13,200,45,6,700,0,0.6586186129875995,179809394.12016225,90093666.66666198,30341173.964621577,0.996961851843494,0.3367736610929717,42.75527448172385,0.7125879080287308,1.6406254498907078
14,200,45,6,700,0,0.6841196937132987,164338589.67773426,78371333.33333012,30262385.722017594,0.994372997755595,0.3861410088980516,46.78024811503903,0.7796708019173172,1.7727033027490573
15,200,45,6,700,0,0.7261738991523742,160195471.9534973,75129999.99999705,30306340.63128824,0.9958172849079371,0.4033853404936701,47.99012048375294,0.7998353413958823,1.8487175129431925
16,200,45,6,700,0,0.5819455193896371,170742510.2868274,83205833.33332884,30306340.63128828,0.9958172849079383,0.36423336462335265,45.025693877203736,0.750428231286729,1.6237604423750482
17,200,45,6,700,0,0.8007457459464639,162664866.34440106,77049499.99999692,30288052.38868428,0.995216362866006,0.39309862346524627,47.26158864399802,0.7876931440666336,1.9029177887852944
18,200,45,6,700,0,0.6815829483377929,155762003.34440526,71763999.99999802,30288052.38868418,0.9952163628660026,0.4220507829647876,49.35606781457164,0.8226011302428606,1.8418247049524836
19,200,45,6,700,0,0.6151412380124813,162656390.12016383,76959666.66666378,30341173.964621518,0.996961851843492,0.39424773103603167,47.264051503421236,0.7877341917236873,1.718273614564994
20,200,40,4,700,0,0.5932656726240799,149166611.62016878,66683833.333331525,30306340.631288238,0.9958172849079369,0.4544780813633848,51.53834304137626,0.8589723840229376,1.8158205217377255
21,200,40,4,700,0,0.5740715979009048,159981815.2868322,74964999.99999756,30306340.631288156,0.9958172849079342,0.40427320257839183,48.05421157533751,0.8009035262556252,1.6983936862192435
22,200,40,4,700,0,0.582756188950595,153160578.5110709,69802333.33333102,30267885.722017612,0.9945537188506836,0.4336228357507431,50.19437817965869,0.8365729696609782,1.7662274272121676
23,200,40,4,700,0,0.5434063638654326,137544517.62017646,57784833.333333336,30306340.63128824,0.9958172849079371,0.5244687729125274,55.89317650034983,0.9315529416724971,1.8945343238679517
24,200,40,4,700,0,0.6131871561218356,147878460.2868373,65697499.999998614,30306340.631288223,0.9958172849079364,0.46130127678052985,51.98728729720411,0.8664547882867352,1.8486829658329946
25,200,40,4,700,0,0.6502811473974303,151390947.2868362,68386999.9999984,30306340.63128829,0.9958172849079386,0.44315938162646396,50.78110770675171,0.8463517951125286,1.85116044781113
26,200,40,4,700,0,0.5489275297629216,153483594.62016782,69989333.33333132,30306340.631288223,0.9958172849079364,0.4330137063450968,50.08874087830244,0.8348123479717073,1.7301508428107064
27,200,40,4,700,0,0.5710607974163321,150318285.9535034,67565666.6666653,30306340.631288163,0.9958172849079345,0.4485464604501612,51.14347832823212,0.8523913054705353,1.7822892712469964
28,200,40,4,700,0,0.6039526066752627,148840525.78683674,66379499.99999847,30341173.96462159,0.9969618518434943,0.4570865096094771,51.651255324172595,0.8608542554028766,1.8304760697657212
29,200,40,4,700,0,0.5763427588043538,142053047.28684095,61236999.99999948,30306340.631288256,0.9958172849079375,0.49490243857942934,54.11921917082421,0.9019869861804035,1.8742516958483009
30,200,40,8,700,0,0.5483382916978324,144887937.95350656,63407666.666665904,30306340.631288145,0.9958172849079339,0.4779601935300438,53.06031757085919,0.8843386261809865,1.815045072702854
31,200,40,8,700,0,0.6549070235732276,149606712.45350158,66966166.66666467,30341173.964621454,0.99696185184349,0.4530821379645298,51.38673174433535,0.8564455290722558,1.8738182630171072
32,200,40,8,700,0,0.6206685137117292,147455043.51107687,65347333.33333245,30322885.722017538,0.9963609298015601,0.4640263676459832,52.136568658110974,0.8689428109685162,1.860832418797032
33,200,40,8,700,0,0.6070054286549675,156395103.95349938,72218666.66666424,30306340.631288175,0.9958172849079349,0.4196469144351764,49.15627027739818,0.8192711712899696,1.7619941314930783
34,200,40,8,700,0,0.7514528483197227,160919937.45350114,75628666.66666472,30341173.964621425,0.996961851843489,0.4011861546938401,47.77406778586053,0.7962344630976755,1.8686362351724704
35,200,40,8,700,0,0.5775731333345118,153955278.28683636,70350499.99999845,30306340.63128831,0.9958172849079393,0.43079069276393167,49.935280462919536,0.8322546743819923,1.7544603619276495
36,200,40,8,700,0,0.6213444910605883,149880122.95350254,67230166.66666499,30306340.631288305,0.9958172849079391,0.450784850520313,51.29299234952585,0.8548832058254309,1.8368555773022694
37,200,40,8,700,0,0.792773010924302,145280608.62017226,63708333.33333236,30306340.631288283,0.9958172849079384,0.4757044965015892,52.9169038663605,0.881948397772675,2.0552850058982486
38,200,40,8,700,0,0.6314683413316866,161404049.2868301,76053999.99999696,30306340.63128816,0.9958172849079344,0.39848450615732733,47.63077527465287,0.7938462545775479,1.7441022008350964
39,200,40,8,700,0,0.6202649013301281,168330855.62016648,81357833.33333053,30306340.631288208,0.9958172849079359,0.3725067321682516,45.670771242007405,0.7611795207001234,1.6794498077648528
40,200,40,6,600,0,0.5834270530943733,152548210.22678944,75894499.99999702,26085973.59368823,0.9999999999999886,0.3437136234337041,43.19814693468456,0.719969115578076,1.5783670674194124
41,200,40,6,600,0,0.5991644680109609,141182309.89346132,67191666.66666533,26085973.593688287,0.9999999999999908,0.3882322747417409,46.675819406643654,0.7779303234440609,1.6876806112484144
42,200,40,6,600,0,0.5692628477697543,135311404.5601315,62696333.33333276,26085973.593688313,0.9999999999999918,0.4160685674391679,48.700994727104,0.8116832454517334,1.713800947172822
43,200,40,6,600,0,0.6651068108392851,142492010.22679475,68194499.99999867,26085973.593688298,0.9999999999999911,0.3825231300719091,46.24680351909885,0.7707800586516474,1.7419053735484598
44,200,40,6,600,0,0.6793922439841563,144053115.56012616,69389833.33333157,26085973.593688283,0.9999999999999906,0.37593365397460643,45.745626357171645,0.7624271059528608,1.7425662731167022
45,200,40,6,600,0,0.5128167562650187,146418716.89345765,71201166.66666436,26085973.593688212,0.9999999999999878,0.36637003036498544,45.006541102221945,0.7501090183703657,1.5560217989273726
46,200,40,6,600,0,0.6246615469702691,151439633.89345568,75045666.6666637,26085973.593688205,0.9999999999999877,0.3476013306611872,43.51436827056917,0.7252394711761528,1.6279820826753717
47,200,40,6,600,0,0.6929044842091466,152284833.5601236,75692833.33333048,26085973.593688175,0.9999999999999865,0.3446293716977498,43.27285814314713,0.7212143023857855,1.689822283953132
48,200,40,6,600,0,0.5900633747905054,136124129.43635532,63354499.9999996,26063113.276244175,0.9991236548115695,0.4113853518888846,48.41022695451693,0.8068371159086155,1.7260087722102286
49,200,40,6,600,0,0.6815460678247506,148726854.2267917,72968499.99999794,26085973.593688335,0.9999999999999926,0.3574963661537385,44.30807088779876,0.7384678481299793,1.7060110088777207
50,200,40,6,800,0,0.6728047708283427,166794215.42304823,73732999.99999739,34416341.6738535,0.9895071066711265,0.46676985439158475,52.67448860691092,0.8779081434485153,1.924128797790126
51,200,40,6,800,0,0.713092721674874,156491653.86912978,65946833.33333212,34351027.917261235,0.9876292654140897,0.5208897255707785,56.14229118792082,0.9357048531320137,2.0655093552635106
52,200,40,6,800,0,0.64007591368542,155612678.7563874,65171333.333331995,34416341.67385354,0.9895071066711276,0.5280901880252195,56.459409800111615,0.9409901633351936,2.003538227440789
53,200,40,6,800,0,0.5784505707031333,165187617.75638393,72502833.3333314,34416341.67385325,0.9895071066711193,0.47468960993047393,53.18679522915064,0.8864465871525107,1.8446488458000232
54,200,40,6,800,0,0.6222005178414488,161213279.20245957,69562166.6666646,34351027.91726127,0.9876292654140909,0.49381768227358686,54.49799199832887,0.9082998666388146,1.925554530299133
55,200,40,6,800,0,0.5932000646298743,150000817.9230568,60928999.999999456,34381508.34052005,0.9885056106025109,0.5642880785918094,58.5716806191463,0.9761946769857717,2.0208252044890935
56,200,40,6,800,0,0.6518200575206695,159975610.58971837,68566666.66666494,34381508.340520054,0.9885056106025111,0.5014318182866444,54.91962160739934,0.915327026789989,1.968292538939974
57,200,40,6,800,0,0.5812042868764039,159894203.25638548,68504333.33333172,34381508.34052022,0.9885056106025156,0.5018880801777166,54.94758297092383,0.9157930495153972,1.8985078005339744
58,200,40,6,800,0,0.6222388467343378,157334660.92305323,66544499.9999986,34381508.3405202,0.9885056106025152,0.5166694218233051,55.841477958228296,0.9306912993038049,1.9662656834967867
59,200,40,6,800,0,0.5931408890052217,167333396.92304632,74200499.99999686,34381508.34052019,0.988505610602515,0.4633595237299162,52.504760923729016,0.875079348728817,1.8389078567179715
60,200,45,6,800,0,0.6265356469742819,165772852.58971676,73006999.99999782,34381508.340520225,0.988505610602516,0.47093440821457194,52.99902766193336,0.8833171276988894,1.886600301244829
61,200,45,6,800,0,0.6579304576078336,163068230.2507493,70977499.99999759,34355107.49182987,0.9877465576023796,0.4840281426061926,53.87806065283296,0.897967677547216,1.943120649240004
62,200,45,6,800,0,0.6264702296861853,167705079.58971417,74486499.99999729,34381508.340520084,0.988505610602512,0.4615803983342127,52.38839527994153,0.8731399213323587,1.868874469685914
63,200,45,6,800,0,0.6467920433057158,177892511.42304277,82232333.33332935,34416341.673853464,0.9895071066711254,0.4185256611209921,49.38825097087228,0.8231375161812047,1.8047500883837142
64,200,45,6,800,0,0.6790890118505978,161613439.0897177,69767499.99999812,34416341.67385336,0.9895071066711225,0.4933004862415063,54.36305328001016,0.9060508880001694,1.9797802888439722
65,200,45,6,800,0,0.5888436667261681,155214757.6063741,64940333.33333207,34370269.53296539,0.9881824827102081,0.5292592102437529,56.60415372538776,0.943402562089796,1.9556535970109663
66,200,45,6,800,0,0.5886492741299424,168284508.25638035,74930166.6666637,34381508.340520196,0.9885056106025151,0.4588473490719789,52.20801421967428,0.8701335703279047,1.8258607237154303
