self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
20,2,200,50.0,0.0,0.914525937544972,56421142.48684269,29575883.333333462,8691006.435745146,0.9995034003079644,0.2959110022638495,39.08183522218668,0.6513639203697781,1.8026186597258296
20,2,300,50.0,0.0,0.8756645427021406,64032991.17595613,28630616.666666698,13008413.441982772,0.9973492762509076,0.4597807551554743,51.69231100220925,0.8615385167034875,2.1050276635300076
20,2,400,50.0,0.0,0.8883357973893515,73808030.77713731,29256333.33333338,17380230.735547654,0.9994009236300536,0.5975188641274295,59.61980538383229,0.9659874370510672,2.3323383257423624
20,2,500,50.0,0.0,0.912919905519003,82148215.60595751,30358533.33333353,20748074.3806523,0.9544473840457584,0.6939466446210453,67.38668490124226,0.8815102513072055,2.3495874725230452
20,2,600,50.0,0.0,0.8853723589995214,85610207.89633706,30004883.333333492,22663086.18659645,0.8687843719998153,0.7604098109373306,78.30086718491825,0.7479256203056425,2.2416258280550285
20,2,700,50.0,0.0,0.906971229351998,89660233.8200751,29401716.6666668,25024121.61383156,0.8222521203026718,0.8548394197437293,86.6870567066931,0.6484198265566332,2.239262591703614
20,2,800,50.0,0.0,0.8964595091105002,91036492.40224244,29405566.666666787,25693340.980433505,0.738711387026302,0.8756947702648283,97.59704407664704,0.5421826025625255,2.1391979278848887
20,2,900,50.0,0.0,0.9045930877253806,91498090.68795596,28710000.0000001,26361963.895211533,0.6737200179126093,0.9234236615423846,108.823933092952,0.4486699139455264,2.092001930904815
20,4,200,50.0,0.0,0.879670775115304,57425939.599220514,30341666.666666843,8693292.46748956,0.9997663038644908,0.2873974611579239,38.328020642364855,0.6388003440394143,1.7483890880810573
20,4,300,50.0,0.0,0.927069771761796,64795733.256710865,29266600.00000008,12975298.677425018,0.9948103819720476,0.4534665097831979,51.32732330964019,0.8444897489478758,2.13433272853623
20,4,400,50.0,0.0,0.9339107749997634,74698970.24243894,30823833.333333455,16815947.897724964,0.9669534378693984,0.5542188360052366,59.51841200871122,0.9064413433203882,2.2837271871243408
20,4,500,50.0,0.0,0.9000336380189976,80221666.05579178,29257250.00000007,20509775.93417506,0.9434852424662749,0.7075544931613815,68.96731330130025,0.8653835011858853,2.331460733733988
20,4,600,50.0,0.0,0.9012844828411672,83728215.97461967,28626216.66666671,22623333.499895506,0.867260461590331,0.7966639390495864,79.85541548856699,0.7276913636077326,2.2663069976885692
20,4,700,50.0,0.0,0.90760907414274,90599774.95459616,30650583.33333358,24686650.295068298,0.8111633591594611,0.8074320032706721,86.22262311038955,0.6569210340832857,2.2104757108425637
20,4,800,50.0,0.0,0.8838303999631447,86865192.75640534,28307216.66666671,24357638.420239825,0.7003084914415407,0.8593437971519299,102.20909697534672,0.5023885891765001,2.0736940268611885
20,4,900,50.0,0.0,0.9056615399146116,89158931.77700235,28769766.666666795,25182259.562551543,0.6435708823136624,0.8805639039345406,112.082512743552,0.4278514615295721,2.0379641245918165
20,6,200,50.0,0.0,0.9257936663757416,55421006.521436736,28825500.00000007,8681179.528926034,0.9983732634414432,0.3044557117532006,39.85116953624494,0.6641861589374155,1.8335443947157173
20,6,300,50.0,0.0,0.9192332110749616,66156026.05996798,30249816.66666681,13012493.326810168,0.997662079207082,0.4351783206451534,50.04048825937608,0.8340081376562679,2.101384005247352
20,6,400,50.0,0.0,0.9004248739260099,70566443.98686191,28512916.666666698,16272039.118364338,0.9356775046131316,0.5757657614388288,63.27420675692849,0.90312590654104,2.264163389618113
20,6,500,50.0,0.0,0.9191338181521974,77107036.64570951,28329216.666666698,19581216.6971088,0.9007699080940472,0.6944627148106796,71.85723485327902,0.8259102619910872,2.3006142519918287
20,6,600,50.0,0.0,0.9007724886006752,82843418.0157632,29549483.333333455,21603038.61188995,0.8281476838233395,0.7355296836248323,80.78945692903429,0.7169930530027318,2.206189288503273
20,6,700,50.0,0.0,0.9085043348819016,81980188.95343374,27900033.33333335,22233078.94262249,0.7305429770339462,0.7972468811613532,95.46556577416963,0.566083898023833,2.1123857378348174
20,6,800,50.0,0.0,0.9112627530114754,86709370.938766,28791400.00000013,23972979.92781772,0.689249143080229,0.835118586154338,106.4856576992988,0.5008962387611304,2.080253860696076
20,6,900,50.0,0.0,0.9266009225822288,87478926.43932989,28145333.33333335,24760348.67707634,0.6327883089648115,0.8800904225864331,114.79496347149798,0.4127657819298976,2.043439042581273
20,8,200,50.0,0.0,0.9711504119948534,55297083.444310114,28864183.33333339,8596043.603860272,0.988582263144675,0.3036159117122385,40.15333095256464,0.669222182542744,1.8832653239073884
20,8,300,50.0,0.0,0.962671595965911,66277100.471037254,30642700.000000127,12821165.253474904,0.9829930408713572,0.4265563255156341,50.12743700306599,0.8354572833844331,2.1393739397628515
20,8,400,50.0,0.0,0.9286838685584122,68299907.60012588,27137183.333333325,16042742.5574065,0.9224924555597974,0.599757534428071,65.20149383486202,0.8920728368028549,2.3005627329037237
20,8,500,50.0,0.0,0.9550683135618062,74758123.46484494,27538316.66666663,18938953.260864656,0.8712246767947466,0.6898296334538271,73.96669815728866,0.7963675216921607,2.3032995420170286
20,8,600,50.0,0.0,0.9142091956941436,79295054.3805465,27876749.999999978,20937458.37671048,0.802632813435657,0.7526323829072772,84.62112540873926,0.6755434255369259,2.1918585275568914
20,8,700,50.0,0.0,0.9498743050639272,82483737.3317778,28031850.000000037,22394814.331435185,0.7358573400486187,0.8062423826364198,94.00339142446516,0.5733894721792152,2.168257683352278
20,8,800,50.0,0.0,0.9530264835051624,80436821.75244716,26585899.999999955,22317457.142889403,0.6416510695700783,0.8402989278937578,111.62656932489864,0.4391488477592895,2.0644144735794585
20,8,900,50.0,0.0,0.9310680324218448,83246548.89875764,27906450.000000037,22847027.102045204,0.5838904707412829,0.8171895773255129,121.89678694757336,0.3754274637084626,1.9602471579907177
20,10,200,50.0,0.0,0.9508580485941944,57041465.61950433,30204533.333333485,8593059.257932497,0.9882390504311004,0.2878843331597479,38.8078326944939,0.6467972115748982,1.827962726696891
20,10,300,50.0,0.0,0.939838059684185,64231586.471019626,29089133.33333332,12813085.246959316,0.9823735503634357,0.4429533122096502,51.47893376929577,0.8579822294882629,2.152182938940168
