,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,40,4,500,50.0,0.0,1.0,87625189.03614733,33757900.00000034,21257949.39131899,0.9779025183002863,0.6364438589862413,62.91521916592865,0.9377003087659201,2.4468553959549135
1,40,8,500,50.0,0.0,1.0,86071234.90569082,33087266.66666702,20927004.053533155,0.9626784591362039,0.638672693843325,64.23339447508087,0.9320889726905722,2.4430271277652325
2,40,8,600,50.0,0.0,1.0,97585554.97284809,35272966.666667104,25153356.355708253,0.9642483254600119,0.7173851310101772,67.68340486524997,0.8811202224419759,2.4550283272501177
3,40,8,900,50.0,0.0,1.0,100887112.65357655,33749283.33333368,27735829.81303487,0.7088312476542444,0.8231215161366782,99.46418129882764,0.5285342547761934,2.1870314676855362
4,45,2,600,50.0,0.0,1.0,90335906.61244471,31587600.000000246,23965105.42334964,0.9186969900616619,0.7641708679424773,73.71519389553899,0.8021500188407771,2.413486713194759
5,45,4,500,50.0,0.0,1.0,87196833.91352496,33089283.333333682,21475954.065490566,0.9879311111786133,0.65255137330489,63.11819602466543,0.9457859006142157,2.467826999258128
6,45,4,900,50.0,0.0,1.0,101753698.45433965,32780550.000000387,28777110.861072768,0.7354427660192923,0.8778835925797258,97.46883712352773,0.5379648869003064,2.240271760964087
7,45,8,500,50.0,0.0,1.0,84719791.55643918,31725650.00000024,21136209.20275166,0.9723022586145159,0.6702860326250033,65.04071802733948,0.9157365576122414,2.451965383712244
8,45,8,600,50.0,0.0,1.0,92160678.57656169,32509216.666666925,24268248.71151478,0.9303179206386398,0.7510908575473598,72.19111752555924,0.8219137973126692,2.4227864833505572
9,45,8,900,50.0,0.0,1.0,106216043.28583463,33817300.000000484,30294118.83154372,0.7742122082771548,0.8987143332943278,93.69681395357777,0.5749407535530857,2.293912220188548
10,45,10,200,50.0,0.0,1.0,62673175.34397179,34365833.33333371,8693702.78703618,0.9998134923903645,0.2564062117253403,35.305740977237306,0.5884290162872884,1.7935539856675606
11,50,2,600,50.0,0.0,1.0,93696233.11889568,32693100.000000328,24901355.71118953,0.9545879367605581,0.7633269902184645,70.55447284556672,0.8405690374278277,2.451230629602599
12,50,4,500,50.0,0.0,1.0,88000888.01342879,33771833.33333374,21434215.233492978,0.9860110525610113,0.6389236598678569,62.62530999071239,0.949054414152184,2.4601933420464697
13,50,4,600,50.0,0.0,1.0,95855326.55659129,34501683.333333865,24802323.795309387,0.95079157027554,0.7227392162622676,68.9933077827092,0.8628232020083975,2.4410145750182117
14,50,8,500,50.0,0.0,1.0,83714602.44903196,32073983.333333593,20424506.36848753,0.9395626946473274,0.6404193540837324,66.23245065346036,0.8994145077823186,2.4117499910493043
15,50,8,600,50.0,0.0,1.0,96102179.40882657,34200466.66666703,25114789.299898304,0.9627698659472228,0.7371117352161392,68.86327527145752,0.8652034485267046,2.4548928366996163
