,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,20,4,400,150.0,0.0,0.5143859031561675,93409340.79836544,44259050.00000094,17384018.951535128,0.9996187542569535,0.39507993616922904,47.146236846229215,0.7857706141038202,1.616220466195371
1,20,4,500,150.0,0.0,0.5497438388632313,103052147.1786892,44814000.00000081,21736406.301619966,0.9999123654811515,0.49101908471803607,53.50852432506995,0.8918087387511656,1.834367845388826
2,20,6,300,150.0,0.0,0.6596330181065684,82571826.74587479,42809433.33333401,13018809.24639969,0.9981463179545328,0.3103316981090344,40.29411729633556,0.6715686216055927,1.5794669981993885
3,20,6,400,150.0,0.0,0.8053756578206903,88624862.13564382,40700000.000000566,17317469.72619571,0.9957920296131288,0.43214808218105166,49.86407550109109,0.8310679250181847,1.9821620485837166
4,20,6,500,150.0,0.0,0.7181419442316637,93164078.64372918,38170916.66666726,21144799.809855282,0.97269744143134,0.5683268274194669,59.481185962969676,0.9253154764757779,2.0981188826430155
5,20,6,600,150.0,0.0,0.6794202612162817,102825092.2123425,39816516.666667424,24810910.092243068,0.9511207240601532,0.6264489393215011,64.35573434394213,0.928566560506981,2.109145973180464
6,20,8,400,150.0,0.0,0.7787894598522248,87352147.4186313,39783150.00000067,17280715.88675558,0.9936786042137585,0.43968462047335394,50.537994599682875,0.8422999099947145,1.9728370662256225
7,20,8,500,150.0,0.0,0.8521261151773916,91386034.63206062,38453433.333334,20096966.340682276,0.9244952856447594,0.5285108196550479,62.01804776848125,0.8819791394809942,2.156913910382424
8,20,8,600,150.0,0.0,0.8197286473637055,104380785.14697857,41211500.00000055,24681014.875700124,0.9461412198037211,0.6079969785927861,63.77731699861265,0.9055673088615854,2.21169353909952
9,20,10,400,150.0,0.0,0.9311421582677044,85642312.62840368,39128466.66666723,16863527.816041134,0.9696893862601274,0.4350901948003706,51.61217096411008,0.8586253996854252,2.137839713793426
10,20,10,500,150.0,0.0,0.9185303075688142,87819903.72904643,36382133.33333386,19676754.967810854,0.9051648341423585,0.5442713475539291,63.22544760372175,0.9118292873256004,2.265776672937558
11,20,10,600,150.0,0.0,0.8988914140575431,103680881.69870186,42055016.66666734,23801787.830827635,0.9124362464503317,0.5683994512236613,64.15488308351333,0.909069407125233,2.2626803821617054
12,25,4,400,150.0,0.0,0.5567791041751841,98092668.43695614,48179816.66666752,17171544.429943256,0.9874010089141105,0.358781571093019,45.07219633519722,0.751203272253287,1.5950076333028862
13,25,6,300,150.0,0.0,0.657705257957031,87586557.43216461,46617450.00000084,13039938.701234402,0.9997663038644953,0.28248111783078267,37.80334676568545,0.6300557794280908,1.5137459316497481
14,25,6,400,150.0,0.0,0.7104596481819403,99708750.22000913,49078516.66666746,17387444.665693972,0.9998157402433039,0.3560365866686391,44.15755966818532,0.7359593278030887,1.7312482453199405
15,25,6,500,150.0,0.0,0.5591033716899401,111752812.29753868,51486600.0000005,21730590.22167091,0.9996448157225121,0.42640934170476746,49.324553491429434,0.8220758915238239,1.722306736577578
16,25,8,400,150.0,0.0,0.8086522402472779,93546370.46564236,44567966.66666742,17254891.491283532,0.9921936455224932,0.39399675938124257,47.346198493139006,0.7891033082189834,1.9129529559712555
17,25,8,500,150.0,0.0,0.7203618085658351,109838753.33093353,50054583.33333376,21709191.881047033,0.9986604549641745,0.43991385492597157,50.25138449269515,0.8375230748782526,1.909815967384865
18,25,10,500,150.0,0.0,0.88929669003724,105734074.0703974,47073033.333333924,21606324.647988547,0.9939283839442128,0.46466064037920995,52.17013887664418,0.8695023146107366,2.1305275169513442
19,30,6,400,150.0,0.0,0.6684273486821294,108231542.79025121,55605549.99999998,17387601.020133115,0.9998247309623153,0.3150347698522307,40.72545480903089,0.6787575801505148,1.5992127447144289
