,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_electrical,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period,self.payback_period_norm,self.metric
0,40,2,800,150.0,0.0,0.7569942095355583,156682408.3885928,66057383.33333175,34373661.5041155,0.988280005555328,0.5208739220438278,56.091224897157076,0.9348537482859511,2.1085470954565717
1,40,2,900,150.0,0.0,0.723342799325065,166099864.44959036,67167099.99999836,38262468.77318881,0.9778554909536101,0.5716375572043042,59.59366682386748,0.9679567072578715,2.1486095523463797
2,40,4,900,150.0,0.0,0.7606001531417802,166038913.33703515,66878716.66666527,38416532.960976556,0.9817928352185762,0.5764931594250255,59.589036921654156,0.9790270569143985,2.200821737596199
3,45,2,700,150.0,0.0,0.78912964078228,159764236.59818444,74809533.33333044,30300139.611939013,0.9956135294520362,0.4059471886347062,48.16072235650725,0.8026787059417876,1.9165660976318324
4,45,2,800,150.0,0.0,0.8029632341586301,164900016.72209442,72393016.66666406,34346870.158828095,0.9875097253549981,0.4751066594845966,53.30401464425468,0.8884002440709112,2.0714488058172185
5,45,2,900,150.0,0.0,0.7946425041513565,173686779.55854315,72819633.33333088,38363269.119189955,0.9804315968607206,0.5306426611604056,57.04475030695553,0.9403333246261223,2.1594899577058033
6,45,4,800,150.0,0.0,0.7947492303947167,164884194.91307348,72347183.33333072,34368361.87396341,0.9881276354473162,0.4757404362087395,53.31045800727031,0.8885076334545051,2.0638492128162134
7,45,4,900,150.0,0.0,0.7885123071073596,171820362.87484783,71259833.3333312,38446569.32236384,0.9825604600439612,0.5413121004253891,57.580086950119004,0.9585083484333335,2.1800703358810045
8,45,6,900,150.0,0.0,0.8100195583540659,176084809.1261477,74574866.66666406,38414852.73767303,0.9817498945606399,0.5179806001952595,56.22832358211083,0.9371387263685138,2.1615427648787873
9,50,2,800,150.0,0.0,0.8136120231438733,172199120.03626066,77964333.33332989,34358972.19925563,0.9878576721275444,0.44261196427518207,51.09735101748221,0.8516225169580369,2.0193241115220557
10,50,2,900,150.0,0.0,0.8617904118007841,182201929.98492742,79244733.33332983,38424666.46410068,0.9820006992416156,0.48719988769942535,54.32962442573147,0.9054937404288579,2.157044062389182
11,50,4,800,150.0,0.0,0.8606211434466106,169629445.51169866,75976816.66666362,34371672.17099939,0.9882228100731767,0.4560094470627746,51.93570648364486,0.8655951080607475,2.0910238091575777
12,50,4,900,150.0,0.0,0.8790424781717572,178709362.85129395,76542399.9999971,38442567.97688614,0.9824581995842465,0.5049850010553385,55.4005747829563,0.9233429130492716,2.2063733920652995
13,50,6,900,150.0,0.0,0.8481297461710803,185615938.93960804,81866949.99999629,38419490.274747156,0.9818684138626568,0.47008015584484575,53.27853114036925,0.8879755190061542,2.1121693898531113
