int(self),self.cycle,self.current_date,self.nb_electrical,self.nb_activeCS_Cparking,self.nb_activeCS_Cparking_fast,self.nb_solar,self.nb_wind,self.payback_process,100 * self.avg_statisfied_day,self.monthly_revenue,self.monthly_cost,self.monthly_profit,self.monthly_renew_charge / 1000,self.monthly_energy_consumption / 1000,self.self_consumption,self.self_sufficiency
0,287,date ('2024-01-01 23:55:00'),50,20,2,500,20,6960995059.660935,87.4168272761623,64429979.16666603,13625038.827601835,50804940.339064196,12560.825771464917,19204.166666666475,0.8695444269897351,0.6540677338146259
0,575,date ('2024-01-02 23:55:00'),50,20,2,500,20,6892118513.494705,82.1277897615625,98776232.50000039,29899686.33376997,68876546.16623041,14855.432161817196,29441.50000000012,0.9955912699791083,0.5045745686129149
0,863,date ('2024-01-03 23:55:00'),50,20,2,500,20,6821515205.429702,93.09983391590997,101673275.00000067,31069966.934997626,70603308.06500305,15147.784967464964,30305.0000000002,1.0068806778532857,0.499844414039428
0,1151,date ('2024-01-04 23:55:00'),50,20,2,500,20,6748157351.484147,93.24848910155468,117167224.1666684,43809370.22111409,73357853.9455543,13548.575701424481,34923.16666666718,0.9911122131665504,0.3879538138892793
0,1439,date ('2024-01-05 23:55:00'),50,20,2,500,20,6671030104.487522,97.4005686733076,129198254.16666913,52071007.17004392,77127246.99662521,13102.542051385637,38509.1666666674,1.00472223824319,0.34024475691204403
0,1727,date ('2024-01-06 23:55:00'),50,20,2,500,20,6603980769.51499,97.83633812225693,96457368.33333334,29408033.3608008,67049334.972532555,14404.213261362918,28750.333333333336,0.9873523381172664,0.5010103046235841
0,2015,date ('2024-01-07 23:55:00'),50,20,2,500,20,6532345352.499493,84.72356404503634,106593941.6666678,34958524.651170805,71635417.015497,14716.66846372011,31771.666666667006,1.0105172061852268,0.4632010217820895
0,2303,date ('2024-01-08 23:55:00'),50,20,2,500,20,6471549724.8259945,85.84011800901952,85976348.33333294,25180720.65983508,60795627.67349787,13343.323413127593,25626.33333333322,0.9848587328477972,0.5206879673172513
0,2591,date ('2024-01-09 23:55:00'),50,20,2,500,20,6406910969.6025915,98.71938825639457,95110335.83333339,30471580.60993006,64638755.22340332,13483.656526795183,28348.833333333347,1.008528697334767,0.47563356023334913
0,2879,date ('2024-01-10 23:55:00'),50,20,2,500,20,6334034199.045186,96.12794875068872,107036801.66666764,34160031.10926228,72876770.55740535,15238.367605695885,31903.666666666955,1.0036379097972743,0.4776368736831424
0,3167,date ('2024-01-11 23:55:00'),50,20,2,500,20,6263676957.758436,77.82045567173145,99114528.33333404,28757287.046583757,70357241.28675029,15513.805410809917,29542.333333333547,0.9938611913470721,0.5251381208032475
0,3455,date ('2024-01-12 23:55:00'),50,20,2,500,20,6195021074.182015,94.21290853537243,87827749.16666624,19171865.59024526,68655883.57642098,16827.73608740268,26178.16666666654,0.988829488100065,0.6428156830718766
0,3743,date ('2024-01-13 23:55:00'),50,20,2,500,20,6125848555.073485,90.33252623784965,83854310.83333252,14681791.724802656,69172519.10852987,17834.75163910718,24993.83333333309,1.0112325408480818,0.7135660785303316
0,4031,date ('2024-01-14 23:55:00'),50,20,2,500,20,6041086791.087167,90.83539167197628,108168555.000001,23406791.013682526,84761763.98631848,20823.74393345568,32241.0000000003,0.9742633448757505,0.645877731256955
0,4319,date ('2024-01-15 23:55:00'),50,20,2,500,20,5977515601.372352,92.89828324173656,96352804.16666673,32781614.451851323,63571189.71481541,12726.59413444703,28719.16666666669,1.006538075790843,0.4431393947519492
0,4607,date ('2024-01-16 23:55:00'),50,20,2,500,20,5912894215.653183,95.94357730115404,105400680.00000088,40779294.28083263,64621385.71916825,11520.216228648245,31416.000000000262,0.9969890939651913,0.3666990141535571
0,4895,date ('2024-01-17 23:55:00'),50,20,2,500,20,5850356105.333915,94.5082306170923,101027437.50000048,38489327.18073242,62538110.31926804,11334.318522499058,30112.50000000014,0.9906245651723186,0.3763991207139562
0,5183,date ('2024-01-18 23:55:00'),50,20,2,500,20,5777768607.329486,89.25888910765788,94101599.16666654,21514101.162237663,72587498.00442886,17554.62453445374,28048.166666666628,1.0126702631646824,0.6258742235483161
0,5471,date ('2024-01-19 23:55:00'),50,20,2,500,20,5699635303.359372,87.37702994073653,111975920.83333452,33842616.86322121,78133303.97011329,16865.446056667603,33375.833333333685,0.9806337092153762,0.505319099847717
0,5759,date ('2024-01-20 23:55:00'),50,20,2,500,20,5628031987.545059,87.81922578272714,102823480.83333397,31220165.01902149,71603315.81431247,15417.315185120458,30647.83333333352,1.0100972141753344,0.503047475410019
0,6047,date ('2024-01-21 23:55:00'),50,20,2,500,20,5548945171.136438,94.4372990946092,108433040.83333439,29346224.42471398,79086816.40862042,18003.878676729775,32319.83333333365,0.9909210046334584,0.5570535742262367
0,6335,date ('2024-01-22 23:55:00'),50,20,2,500,20,5478315125.896801,93.09011321868063,83239227.4999993,12609182.26036225,70630045.23963705,18662.940738394802,24810.499999999796,1.0048935927037008,0.7522194529894584
0,6623,date ('2024-01-23 23:55:00'),50,20,2,500,20,5398269144.478679,93.45590637183028,106341757.50000097,26295776.081878766,80045981.4181222,18869.29514468248,31696.500000000287,0.9998658331239039,0.5953116320313697
