int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
0,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
1,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.5873076923076926
2,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
3,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8355128205128215
4,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
5,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8269774011299448
6,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
7,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8284615384615381
8,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9883720930232558
9,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
10,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8179487179487168
11,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6677655677655682
12,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8124092009685239
13,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.7546153846153834
14,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.723076923076923
15,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6435531135531143
16,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.7931297709923669
17,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.7028571428571426
18,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8510622710622706
19,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
20,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9370229007633586
21,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6778248587570613
22,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9096692111959283
23,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6864406779661009
24,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
25,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.400254452926208
