int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
0,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9590330788804071
1,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6261904761904759
2,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8200109051254099
3,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.40251572327044005
4,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9199999999999992
5,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8262820512820515
6,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
7,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9336158192090395
8,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
9,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
10,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8776729559748416
11,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
12,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
13,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.5803663003662999
14,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9858757062146891
15,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6741575091575098
16,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6446153846153844
17,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.7797435897435913
18,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6058974358974366
19,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.7976190476190474
20,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6345328971283168
21,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.872829131652661
22,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
23,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,1.0
24,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8309251181388578
25,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8901129943502816
26,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.7138461538461546
27,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9466666666666667
28,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8826923076923091
29,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9183473389355733
30,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
31,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7880770628862225
32,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.8172893772893781
33,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
34,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.6497799119647847
35,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
36,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.8327106227106214
37,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
38,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.44934569247546324
39,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
40,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
41,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
42,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
43,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
44,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.8599054889131211
45,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7222222222222215
46,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7355507088331519
47,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.42558139534883693
48,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.8221794871794861
49,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.9855311355311358
50,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
51,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
52,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7239185750636115
53,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.8091575091575084
54,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7799816849816856
55,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7161577608142499
56,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7674358974358974
57,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.8083969465648855
58,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.4546118447378946
59,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0
60,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.8049450549450538
61,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.7889312977099234
62,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.6098717948717947
63,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.868650793650793
64,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.9090842490842483
65,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.7322344322344321
66,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.9115384615384611
67,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
68,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.735641025641026
69,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
70,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.6942493946731233
71,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.8537179487179475
72,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.9418575063613231
73,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
74,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.7192090395480244
75,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.8686440677966116
76,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
77,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.8984187568157038
78,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.9477099236641219
79,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.7078431372549019
80,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.604029304029305
81,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.6884180790960452
82,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.6780361757105936
83,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
84,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
85,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.4270308123249294
86,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.534314794620138
87,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0
88,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.971919302071974
89,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.9212820512820512
90,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.9589743589743591
91,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.5268361581920905
92,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.5575641025641018
93,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.7107692307692309
94,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8652930402930394
95,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.713595056343147
96,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8025793650793649
97,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8276836158192091
98,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.665311355311355
99,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8247863247863256
100,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8582051282051283
101,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.7179271708683473
102,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,1.0
103,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.763195201744819
104,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.7651282051282049
105,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.5021992002908023
106,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,1.0
107,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.929587912087913
108,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.9022546897546896
109,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,1.0
110,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.6561024409763901
111,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8424358974358971
112,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8928937728937737
113,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.5935574229691872
114,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.9236641221374038
115,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,1.0
116,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8805343511450381
117,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,1.0
118,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,1.0
119,date ('2023-11-01 23:55:00'),10,30,6,12,false,false,0.8326271186440677
120,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.5591603053435117
121,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.985593220338983
122,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9402035623409668
123,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9084249084249086
124,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8633453381352528
125,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.6654761904761903
126,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.5442263419362657
127,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
128,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
129,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7529411764705867
130,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9579831932773111
131,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
132,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8551282051282056
133,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7683933115230808
134,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9236263736263737
135,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7944871794871788
136,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9584615384615386
137,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7053435114503807
138,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.6216666666666658
139,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8508403361344538
140,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.49407488186114173
141,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
142,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.9637179487179487
143,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8175641025641028
144,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8271028037383178
145,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.724869947979191
146,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.7394871794871788
147,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8119592875318062
148,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,0.8595056343147927
149,date ('2023-11-01 23:55:00'),10,30,6,14,false,false,1.0
150,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.6585897435897416
151,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
152,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9230769230769234
153,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9109414758269718
154,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9000727008360606
155,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.7910256410256409
156,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9474736459469287
157,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
158,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
159,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.8834947538337373
160,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,1.0
161,date ('2023-11-01 23:55:00'),10,30,6,16,false,false,0.9107692307692303
