int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
0,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
1,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.683205128205129
2,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
3,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.930661577608142
4,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8582051282051267
5,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.35476190476190567
6,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6824427480916008
7,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8639937106918237
8,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9469780219780225
9,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8160396219556515
10,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6055979643765901
11,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
12,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9326923076923077
13,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7848600508905849
14,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
15,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.874293785310736
16,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
17,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
18,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9242784992784999
19,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8086513994910933
20,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9974358974358976
21,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6848717948717948
22,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
23,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
24,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
25,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.760359869138497
26,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.620356234096692
27,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
28,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9348964013086152
29,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7559796437659019
30,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.8528205128205129
31,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9774709883953581
32,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,1.0
33,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,1.0
34,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.7480992396958789
35,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9807342784442019
36,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.575787545787545
37,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.8305322128851527
38,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,1.0
39,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,1.0
40,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.8769774011299448
41,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9437271062271063
42,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.7966117216117211
43,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.851355311355311
44,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.6956776556776563
45,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9515806322529
46,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,1.0
47,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.816166466586635
48,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,1.0
49,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9300720288115262
50,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9433333333333331
51,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.777216117216116
52,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.7272709083633455
53,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9019230769230774
54,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.6969465648854964
55,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9346045197740106
56,date ('2023-11-01 23:55:00'),10,30,7,8,false,false,0.9776923076923076
