int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
0,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8560195360195342,4451.333333333333,1413441.3333333316
1,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9980916030534351,6583.5,4198051.0
2,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.979831932773109,4951.833333333333,2067094.3333333316
3,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9541984732824416,5283.666666666667,2500468.6666666684
4,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.819338422391859,5100.333333333333,2261035.3333333316
5,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8711710893008606,4093.833333333333,946546.3333333316
6,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.8703663003663012,4719.0,1763014.0
7,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9397435897435884,4873.0,1964138.0
8,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.9461538461538453,2379.666666666667,-1292155.333333333
9,date ('2023-11-01 23:55:00'),10,30,6,6,false,false,0.6186996336996331,2964.5,-528363.0
10,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0,4335.833333333334,529265.0
11,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.6865384615384623,3221.1666666666665,-926489.6666666684
12,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.5830769230769232,1330.9999999999998,-3395047.3333333335
13,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.9922603901611533,9370.166666666668,7104104.333333337
14,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0,1189.8333333333335,-3579411.0000000005
15,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7306410256410255,1875.5,-2683930.333333334
16,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.6023076923076923,2863.666666666667,-1393384.6666666658
17,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,1.0,3851.8333333333335,-102839.0
18,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.7747252747252739,4244.166666666666,409548.3333333316
19,date ('2023-11-01 23:55:00'),10,30,6,8,false,false,0.6788461538461541,3307.3333333333335,-813956.0
20,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.5824725274725276,2258.666666666667,-2916848.0
21,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.7964102564102561,6959.333333333334,3222222.6666666684
22,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.8693502824858772,2178.0,-3022198.666666667
23,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0,3589.6666666666665,-1178562.0000000026
24,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,1.0,5989.5,1955620.3333333316
25,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.6620512820512817,3560.3333333333335,-1216871.3333333342
26,date ('2023-11-01 23:55:00'),10,30,6,10,false,false,0.7999999999999985,2924.166666666667,-2047705.0
