int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
0,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,4053.5,893871.0
1,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,3107.5,-341605.0
2,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,0.7755311355311331,4678.666666666666,1710338.6666666658
3,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,3443.0000000000005,96558.00000000128
4,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,0.8236481033091204,4880.333333333333,1973715.3333333316
5,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,3146.0,-291324.0
6,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,3307.333333333333,-80622.6666666671
7,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,0.828363858363858,4598.0,1604988.0
8,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,7986.0,6029716.0
9,date ('2023-11-01 23:55:00'),10,30,6,6,true,false,1.0,5525.666666666666,2816520.666666666
10,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,4895.0,1259536.6666666658
11,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,3065.3333333333335,-1130008.0
12,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,4093.8333333333335,213213.0
13,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,4114.0,239550.6666666658
14,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,5243.333333333334,1714460.0
15,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,5740.166666666666,2363324.3333333316
16,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,4497.166666666666,739966.3333333316
17,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,6453.333333333333,3294719.999999997
18,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,5908.833333333334,2583603.0
19,date ('2023-11-01 23:55:00'),10,30,6,8,true,false,1.0,4053.5,160537.6666666658
20,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,5509.166666666666,1328304.9999999974
21,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,1573.0000000000002,-3812328.666666667
22,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,6970.333333333333,3236588.6666666633
23,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,4093.8333333333335,-520120.3333333342
24,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,7584.500000000001,4038690.3333333367
25,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,4356.0,-177730.66666666837
26,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,5485.333333333333,1297178.6666666658
27,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,5401.0,1187039.3333333316
28,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,5787.833333333333,1692243.6666666633
29,date ('2023-11-01 23:55:00'),10,30,6,10,true,false,1.0,3246.8333333333335,-1626302.3333333342
30,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,5518.333333333334,606943.3333333342
31,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,3609.833333333333,-1885557.6666666684
32,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,4537.5,-674025.0
33,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,1936.0,-4071584.0
34,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,0.9884615384615387,3589.6666666666665,-1911895.3333333342
35,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,8015.333333333332,3868025.3333333293
36,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,5215.833333333334,211878.3333333342
37,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,6049.999999999999,1301299.9999999974
38,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,0.8892584514721927,4799.666666666667,-331635.3333333316
39,date ('2023-11-01 23:55:00'),10,30,6,12,true,false,1.0,4416.500000000001,-832050.9999999974
40,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,4497.166666666666,-1460033.6666666658
41,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,2359.4999999999995,-4251826.333333333
42,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,6917.166666666666,1700486.3333333316
43,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,4601.666666666667,-1323556.6666666658
44,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,8127.166666666666,3280746.3333333316
45,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,0.8156227106227102,4698.833333333333,-1196657.0
46,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,4093.833333333333,-1986787.0
47,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,3751.0,-2434527.3333333316
48,date ('2023-11-01 23:55:00'),10,30,6,14,true,false,1.0,3991.166666666667,-2120869.666666666
