int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
0,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,6695.333333333332,4344105.333333329
1,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,2117.5,-1634545.0
2,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,3186.3333333333335,-238648.6666666658
3,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,6897.0,4607482.0
4,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,6587.166666666667,4202839.666666668
5,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,2863.6666666666665,-660051.3333333342
6,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,4638.333333333334,1657663.3333333342
7,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,6499.166666666667,4087911.6666666684
8,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,1.0,7784.333333333333,5766339.333333332
9,date ('2023-11-01 23:55:00'),10,30,6,6,true,true,0.9599475383373689,4416.5,1367949.0
10,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,6715.5,3637109.666666666
11,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,5021.5,1424745.6666666658
12,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,5182.833333333333,1635447.0
13,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,4093.8333333333335,213213.0
14,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,2641.833333333333,-1683099.0000000014
15,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,3659.3333333333335,-354244.0
16,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,2440.1666666666665,-1946475.666666667
17,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,8389.333333333332,5823135.999999997
18,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,4416.499999999999,634615.6666666658
19,date ('2023-11-01 23:55:00'),10,30,6,8,true,true,1.0,6280.999999999999,3069652.6666666633
20,date ('2023-11-01 23:55:00'),10,30,6,10,true,true,1.0,6990.500000000001,3262926.3333333367
