int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
0,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8774809160305336
1,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7493638676844783
2,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8383315158124299
3,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
4,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7496153846153846
5,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9298419367747092
6,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6326630652260898
7,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7274143302180687
8,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9297069597069606
9,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
10,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
11,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6586263736263732
12,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7870512820512817
13,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
14,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
15,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
16,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6848351648351656
17,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
18,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
19,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
20,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
21,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
22,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
23,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7941025641025653
24,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8880407124681939
25,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8241025641025628
26,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.866030534351145
27,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
28,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
29,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7879551820728282
30,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6380407124681923
31,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9033333333333331
32,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
33,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
34,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6978371501272259
35,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7195278111244487
36,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9321794871794874
37,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9637362637362635
38,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
39,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8630769230769245
40,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6420512820512826
41,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8937853107344628
42,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
43,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
44,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.899372955288985
45,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9956043956043955
46,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8699745547073799
47,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9468375136314064
48,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6461355311355312
49,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7911538461538459
50,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.3064102564102568
51,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8337545787545787
52,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7612868047982551
53,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8168498168498157
54,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.960378044347511
55,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8372161172161164
56,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9936868686868688
57,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7480916030534348
58,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9336080586080584
59,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6646310432569965
60,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
61,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6657692307692311
62,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7780303030303024
63,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7445787545787536
64,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9007692307692317
65,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6885593220338979
66,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8503816793893114
67,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6799119647859141
68,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9542307692307691
69,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.903871319520175
70,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
71,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9938461538461537
72,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
73,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6724089635854344
74,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8633333333333321
75,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9384453781512605
76,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8480734278444201
77,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9364102564102549
78,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8384615384615396
79,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9826923076923076
80,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
81,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9825641025641026
82,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8602197802197808
83,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
84,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
85,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
86,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6962752525252525
87,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8422210105416205
88,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
89,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5748091603053438
90,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8649999999999999
91,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.534615384615385
92,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8213736263736267
93,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.924063976735731
94,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5997527472527471
95,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7783333333333317
96,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.5676923076923076
97,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
98,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
99,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7359340659340642
100,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.983898305084746
101,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7170512820512821
102,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8841807909604523
103,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8525445292620853
104,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8642655367231625
105,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
106,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
107,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
108,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6778625954198485
109,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6610256410256408
110,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8297435897435884
111,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
112,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6993744955609357
113,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9809160305343512
114,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
115,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
116,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9385714285714276
117,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.9304071246819338
118,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.87076923076923
119,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8450564971751405
120,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
121,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8830769230769232
122,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.6256410256410262
123,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.46621228644129376
124,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.7126226826608496
125,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
126,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,0.8824427480916015
127,date ('2023-11-01 23:55:00'),10,30,7,6,false,false,1.0
